structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,93.9307,17925111424599279517,240217743
tlx_btree,16777216,50,0,329.8686,17925111424599279517,169677800
alex,16777216,50,0,100.0294,17925111424599279517,146439516
clusterjump_d,16777216,50,1,93.9680,17925111424599279517,240217743
tlx_btree,16777216,50,1,334.8552,17925111424599279517,169677800
alex,16777216,50,1,100.1291,17925111424599279517,146439516
tlx_btree,16777216,50,2,329.8017,17925111424599279517,169677800
alex,16777216,50,2,99.1162,17925111424599279517,146439516
clusterjump_d,16777216,50,2,94.9224,17925111424599279517,240217743
clusterjump_d,16777216,50,3,94.0354,17925111424599279517,240217743
tlx_btree,16777216,50,3,328.7972,17925111424599279517,169677800
alex,16777216,50,3,100.3247,17925111424599279517,146439516
tlx_btree,16777216,50,4,328.1941,17925111424599279517,169677800
alex,16777216,50,4,100.6543,17925111424599279517,146439516
clusterjump_d,16777216,50,4,94.1661,17925111424599279517,240217743
