structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,45.2345,5808100114473054505,162496231
tlx_btree,16777216,10,0,365.3576,5808100114473054505,161802000
alex,16777216,10,0,134.5166,5808100114473054505,174011846
clusterjump_d,16777216,10,1,39.4508,5808100114473054505,162496231
tlx_btree,16777216,10,1,372.5933,5808100114473054505,161802000
alex,16777216,10,1,123.1587,5808100114473054505,174011846
tlx_btree,16777216,10,2,320.8564,5808100114473054505,161802000
alex,16777216,10,2,120.7388,5808100114473054505,174011846
clusterjump_d,16777216,10,2,38.5488,5808100114473054505,162496231
clusterjump_d,16777216,10,3,37.5879,5808100114473054505,162496231
tlx_btree,16777216,10,3,313.8703,5808100114473054505,161802000
alex,16777216,10,3,121.6753,5808100114473054505,174011846
tlx_btree,16777216,10,4,367.9720,5808100114473054505,161802000
alex,16777216,10,4,121.1171,5808100114473054505,174011846
clusterjump_d,16777216,10,4,38.2213,5808100114473054505,162496231
