structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,84.2583,73909949139,212321727
tlx_btree,16777216,10,0,343.2334,73909949139,161783628
alex,16777216,10,0,250.2493,73909949139,133423202
clusterjump_d,16777216,10,1,83.3263,73909949139,212321727
tlx_btree,16777216,10,1,339.1204,73909949139,161783628
alex,16777216,10,1,251.2047,73909949139,133423202
tlx_btree,16777216,10,2,343.4667,73909949139,161783628
alex,16777216,10,2,251.6128,73909949139,133423202
clusterjump_d,16777216,10,2,82.4828,73909949139,212321727
clusterjump_d,16777216,10,3,85.6065,73909949139,212321727
tlx_btree,16777216,10,3,324.7362,73909949139,161783628
alex,16777216,10,3,236.6055,73909949139,133423202
tlx_btree,16777216,10,4,316.5267,73909949139,161783628
alex,16777216,10,4,326.9407,73909949139,133423202
clusterjump_d,16777216,10,4,80.8264,73909949139,212321727
