structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,10,0,81.3689,5647118415489332643,233503216
tlx_btree,16777216,10,0,307.2648,5647118415489332643,161721556
alex,16777216,10,0,153.0953,5647118415489332643,147537990
clusterjump_d,16777216,10,1,78.1278,5647118415489332643,233503216
tlx_btree,16777216,10,1,309.9643,5647118415489332643,161721556
alex,16777216,10,1,156.1028,5647118415489332643,147537990
tlx_btree,16777216,10,2,310.9063,5647118415489332643,161721556
alex,16777216,10,2,154.4456,5647118415489332643,147537990
clusterjump_d,16777216,10,2,79.9395,5647118415489332643,233503216
clusterjump_d,16777216,10,3,80.4494,5647118415489332643,233503216
tlx_btree,16777216,10,3,296.5041,5647118415489332643,161721556
alex,16777216,10,3,156.1869,5647118415489332643,147537990
tlx_btree,16777216,10,4,309.9782,5647118415489332643,161721556
alex,16777216,10,4,155.0506,5647118415489332643,147537990
clusterjump_d,16777216,10,4,81.7900,5647118415489332643,233503216
