structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,106.7588,8236459395817443451,207841953
tlx_btree,16777216,50,0,402.8800,8236459395817443451,169720780
alex,16777216,50,0,100.8546,8236459395817443451,145805562
clusterjump_d,16777216,50,1,92.5205,8236459395817443451,207841953
tlx_btree,16777216,50,1,347.0659,8236459395817443451,169720780
alex,16777216,50,1,100.1050,8236459395817443451,145805562
tlx_btree,16777216,50,2,345.0164,8236459395817443451,169720780
alex,16777216,50,2,100.1209,8236459395817443451,145805562
clusterjump_d,16777216,50,2,91.9146,8236459395817443451,207841953
clusterjump_d,16777216,50,3,91.4025,8236459395817443451,207841953
tlx_btree,16777216,50,3,360.4527,8236459395817443451,169720780
alex,16777216,50,3,101.5269,8236459395817443451,145805562
tlx_btree,16777216,50,4,357.0453,8236459395817443451,169720780
alex,16777216,50,4,100.1916,8236459395817443451,145805562
clusterjump_d,16777216,50,4,102.0452,8236459395817443451,207841953
