structure,n,write_pct,rep,ns_per_op,checksum,bytes_end
clusterjump_d,16777216,50,0,93.2673,1929651178,232982522
tlx_btree,16777216,50,0,365.0832,1929651178,169625684
alex,16777216,50,0,114.2869,1929651178,156388612
clusterjump_d,16777216,50,1,92.9314,1929651178,232982522
tlx_btree,16777216,50,1,369.1920,1929651178,169625684
alex,16777216,50,1,113.4980,1929651178,156388612
tlx_btree,16777216,50,2,364.0331,1929651178,169625684
alex,16777216,50,2,113.0107,1929651178,156388612
clusterjump_d,16777216,50,2,95.1190,1929651178,232982522
clusterjump_d,16777216,50,3,93.2716,1929651178,232982522
tlx_btree,16777216,50,3,374.1191,1929651178,169625684
alex,16777216,50,3,114.3767,1929651178,156388612
tlx_btree,16777216,50,4,374.6610,1929651178,169625684
alex,16777216,50,4,124.0222,1929651178,156388612
clusterjump_d,16777216,50,4,102.3152,1929651178,232982522
