"shape","write_pct","rival","sessions","clusterjump_ns","rival_ns","ratio_median","ratio_min","ratio_max","verdict","clusterjump_bytes_per_key","rival_bytes_per_key"
"books",10,"alex",3,46.9634,65.3039,0.722244294980339,0.719151536125714,0.723335010904211,"beats",16.8772608583624,11.86772108078
"clustered",10,"alex",3,37.685,108.7255,0.336778400651181,0.316816971069724,0.395345446000229,"beats",17.6026352969083,16.8341730941426
"fb",10,"alex",3,94.1883,236.9592,0.668070829978969,0.33170677140993,3.5698061100814,"ties",25.6342014399442,13.9826962080869
"osm",10,"alex",3,80.534,155.0506,0.525308844702906,0.518859004737808,0.543364441589706,"beats",25.3052295338024,15.9856877543709
"uniform",10,"alex",3,43.0744,65.2254,0.660393037068381,0.656974469138563,0.668589178775705,"beats",17.6227259635925,11.8510323221033
"wiki",10,"alex",3,47.5529,65.951,0.721033797819593,0.713434800663229,0.721410793214853,"beats",16.7057255181399,12.0961279218847
"books",50,"alex",3,97.8169,102.1635,0.949391058242552,0.939141568235408,0.958567394421687,"beats",19.0775648752848,11.6318985621134
"clustered",50,"alex",3,79.3805,146.4317,0.531660835734339,0.492648487154169,0.604424880663261,"beats",14.9807484944661,16.3217755158742
"fb",50,"alex",3,228.0482,344.6531,0.827923921004331,0.66167459396129,12.2382077960634,"ties",25.337634007136,14.6942042509715
"osm",50,"alex",3,172.5327,237.016,0.729974563621409,0.708682958112533,0.738264851904694,"beats",25.0415906111399,15.6635665893555
"uniform",50,"alex",3,93.5928,100.1916,0.948642657538995,0.923435697204157,0.961714081563737,"beats",16.533044497172,11.5875849723816
"wiki",50,"alex",3,93.2716,114.2464,0.817495189480286,0.81611803277541,0.821838587474091,"beats",18.5157872835795,12.3965612252553
"books",10,"tlx_btree",3,46.9634,302.866,0.155063295318722,0.149959909347066,0.162542849367155,"beats",16.8772608583624,17.5261016325517
"clustered",10,"tlx_btree",3,37.685,330.952,0.113868476395369,0.105509780007313,0.130669674767532,"beats",17.6026352969083,17.5323481993242
"fb",10,"tlx_btree",3,94.1883,315.5015,0.303273051132006,0.245713026995722,2.68112322762332,"ties",25.6342014399442,17.5261016325517
"osm",10,"tlx_btree",3,80.534,309.9643,0.264779033996585,0.259544082979879,0.284767247134435,"beats",25.3052295338024,17.5261016325517
"uniform",10,"tlx_btree",3,43.0744,315.6408,0.138538943828312,0.136466515101977,0.146103924934618,"beats",17.6227259635925,17.5317686254328
"wiki",10,"tlx_btree",3,47.5529,316.0043,0.153319116227216,0.148680869956727,0.167256156060122,"beats",16.7057255181399,17.5296501679854
"books",50,"tlx_btree",3,97.8169,367.5067,0.266163582868013,0.263937274247825,0.285127093038029,"beats",19.0775648752848,13.4850454330444
"clustered",50,"tlx_btree",3,79.3805,372.6687,0.21300554621303,0.211987260094173,0.237548404774524,"beats",14.9807484944661,13.4831040700277
"fb",50,"tlx_btree",3,228.0482,352.6593,0.627189577212308,0.581466871850537,12.3283643944341,"ties",25.337634007136,13.4850454330444
"osm",50,"tlx_btree",3,172.5327,334.5368,0.513017960391369,0.50834412249466,0.51573608643354,"beats",25.0415906111399,13.4850454330444
"uniform",50,"tlx_btree",3,93.5928,357.0453,0.26075957698424,0.259128183454592,0.283282761250838,"beats",16.533044497172,13.4858830769857
"wiki",50,"tlx_btree",3,93.2716,369.1358,0.254356526784993,0.252637110229907,0.259398772829739,"beats",18.5157872835795,13.4806381861369
