structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4739,3802318259966007189
sorted_array,256,1,4.4647,3802318259966007189
sorted_array,256,2,4.4693,3802318259966007189
sorted_array,256,3,4.5227,3802318259966007189
sorted_array,256,4,4.4754,3802318259966007189
sorted_array,256,5,4.4662,3802318259966007189
sorted_array,256,6,4.4693,3802318259966007189
sorted_array,256,7,4.4724,3802318259966007189
sorted_array,256,8,4.4891,3802318259966007189
sorted_array,256,9,4.5197,3802318259966007189
sorted_array,256,10,4.4861,3802318259966007189
sorted_array,256,11,4.4739,3802318259966007189
sorted_array,256,12,4.4601,3802318259966007189
sorted_array,256,13,4.4708,3802318259966007189
sorted_array,256,14,4.4647,3802318259966007189
btree8,256,0,21.3440,3802318259966007189
btree8,256,1,20.9778,3802318259966007189
btree8,256,2,20.8740,3802318259966007189
btree8,256,3,21.0175,3802318259966007189
btree8,256,4,21.0632,3802318259966007189
btree8,256,5,20.8099,3802318259966007189
btree8,256,6,20.6757,3802318259966007189
btree8,256,7,20.9167,3802318259966007189
btree8,256,8,20.7199,3802318259966007189
btree8,256,9,20.6070,3802318259966007189
btree8,256,10,21.8430,3802318259966007189
btree8,256,11,21.0190,3802318259966007189
btree8,256,12,20.6894,3802318259966007189
btree8,256,13,20.6604,3802318259966007189
btree8,256,14,20.8176,3802318259966007189
fusion8,256,0,37.8006,3802318259966007189
fusion8,256,1,36.7493,3802318259966007189
fusion8,256,2,35.5789,3802318259966007189
fusion8,256,3,35.5728,3802318259966007189
fusion8,256,4,35.4614,3802318259966007189
fusion8,256,5,35.4019,3802318259966007189
fusion8,256,6,35.4172,3802318259966007189
fusion8,256,7,35.4645,3802318259966007189
fusion8,256,8,35.4538,3802318259966007189
fusion8,256,9,35.5148,3802318259966007189
fusion8,256,10,36.4746,3802318259966007189
fusion8,256,11,35.4004,3802318259966007189
fusion8,256,12,35.4568,3802318259966007189
fusion8,256,13,35.3973,3802318259966007189
fusion8,256,14,35.3973,3802318259966007189
sorted_array,512,0,5.1163,18445980686323395203
sorted_array,512,1,5.0781,18445980686323395203
sorted_array,512,2,5.1086,18445980686323395203
sorted_array,512,3,5.0705,18445980686323395203
sorted_array,512,4,5.0674,18445980686323395203
sorted_array,512,5,5.0659,18445980686323395203
sorted_array,512,6,5.0537,18445980686323395203
sorted_array,512,7,5.1117,18445980686323395203
sorted_array,512,8,5.0537,18445980686323395203
sorted_array,512,9,5.0507,18445980686323395203
sorted_array,512,10,5.0507,18445980686323395203
sorted_array,512,11,5.0522,18445980686323395203
sorted_array,512,12,5.0552,18445980686323395203
sorted_array,512,13,5.0995,18445980686323395203
sorted_array,512,14,5.0537,18445980686323395203
btree8,512,0,24.1989,18445980686323395203
btree8,512,1,23.8998,18445980686323395203
btree8,512,2,23.6465,18445980686323395203
btree8,512,3,23.8220,18445980686323395203
btree8,512,4,23.8525,18445980686323395203
btree8,512,5,23.9578,18445980686323395203
btree8,512,6,23.5352,18445980686323395203
btree8,512,7,23.5504,18445980686323395203
btree8,512,8,23.7366,18445980686323395203
btree8,512,9,23.7747,18445980686323395203
btree8,512,10,23.6282,18445980686323395203
btree8,512,11,23.6465,18445980686323395203
btree8,512,12,23.6526,18445980686323395203
btree8,512,13,23.7564,18445980686323395203
btree8,512,14,23.7854,18445980686323395203
fusion8,512,0,36.3937,18445980686323395203
fusion8,512,1,35.2036,18445980686323395203
fusion8,512,2,35.0693,18445980686323395203
fusion8,512,3,35.0510,18445980686323395203
fusion8,512,4,35.0006,18445980686323395203
fusion8,512,5,35.0662,18445980686323395203
fusion8,512,6,36.1649,18445980686323395203
fusion8,512,7,35.0357,18445980686323395203
fusion8,512,8,35.1685,18445980686323395203
fusion8,512,9,35.0143,18445980686323395203
fusion8,512,10,35.0433,18445980686323395203
fusion8,512,11,34.9228,18445980686323395203
fusion8,512,12,34.9442,18445980686323395203
fusion8,512,13,34.9594,18445980686323395203
fusion8,512,14,35.0220,18445980686323395203
sorted_array,1024,0,5.8380,13330139387826418850
sorted_array,1024,1,5.8090,13330139387826418850
sorted_array,1024,2,5.8075,13330139387826418850
sorted_array,1024,3,5.8411,13330139387826418850
sorted_array,1024,4,5.8136,13330139387826418850
sorted_array,1024,5,5.8044,13330139387826418850
sorted_array,1024,6,5.8075,13330139387826418850
sorted_array,1024,7,5.8487,13330139387826418850
sorted_array,1024,8,5.8121,13330139387826418850
sorted_array,1024,9,5.8121,13330139387826418850
sorted_array,1024,10,5.8090,13330139387826418850
sorted_array,1024,11,5.8014,13330139387826418850
sorted_array,1024,12,5.8502,13330139387826418850
sorted_array,1024,13,7.4631,13330139387826418850
sorted_array,1024,14,5.8105,13330139387826418850
btree8,1024,0,27.3407,13330139387826418850
btree8,1024,1,26.8387,13330139387826418850
btree8,1024,2,29.8523,13330139387826418850
btree8,1024,3,26.8829,13330139387826418850
btree8,1024,4,26.8402,13330139387826418850
btree8,1024,5,26.8478,13330139387826418850
btree8,1024,6,26.7975,13330139387826418850
btree8,1024,7,26.8524,13330139387826418850
btree8,1024,8,26.8250,13330139387826418850
btree8,1024,9,26.8265,13330139387826418850
btree8,1024,10,26.7929,13330139387826418850
btree8,1024,11,26.7883,13330139387826418850
btree8,1024,12,26.8280,13330139387826418850
btree8,1024,13,26.8845,13330139387826418850
btree8,1024,14,26.7441,13330139387826418850
fusion8,1024,0,45.9198,13330139387826418850
fusion8,1024,1,43.4250,13330139387826418850
fusion8,1024,2,43.2419,13330139387826418850
fusion8,1024,3,43.1473,13330139387826418850
fusion8,1024,4,43.2129,13330139387826418850
fusion8,1024,5,43.1686,13330139387826418850
fusion8,1024,6,43.2175,13330139387826418850
fusion8,1024,7,43.0771,13330139387826418850
fusion8,1024,8,43.2465,13330139387826418850
fusion8,1024,9,43.1229,13330139387826418850
fusion8,1024,10,43.1763,13330139387826418850
fusion8,1024,11,43.1824,13330139387826418850
fusion8,1024,12,43.2251,13330139387826418850
fusion8,1024,13,43.8217,13330139387826418850
fusion8,1024,14,43.5730,13330139387826418850
sorted_array,2048,0,6.4575,8649855807846794996
sorted_array,2048,1,6.4346,8649855807846794996
sorted_array,2048,2,6.4148,8649855807846794996
sorted_array,2048,3,6.4209,8649855807846794996
sorted_array,2048,4,6.3995,8649855807846794996
sorted_array,2048,5,6.4346,8649855807846794996
sorted_array,2048,6,6.3919,8649855807846794996
sorted_array,2048,7,6.3873,8649855807846794996
sorted_array,2048,8,6.4148,8649855807846794996
sorted_array,2048,9,6.4651,8649855807846794996
sorted_array,2048,10,6.3843,8649855807846794996
sorted_array,2048,11,6.3995,8649855807846794996
sorted_array,2048,12,6.3950,8649855807846794996
sorted_array,2048,13,6.3995,8649855807846794996
sorted_array,2048,14,6.4621,8649855807846794996
btree8,2048,0,31.3919,8649855807846794996
btree8,2048,1,30.9540,8649855807846794996
btree8,2048,2,30.9738,8649855807846794996
btree8,2048,3,31.3065,8649855807846794996
btree8,2048,4,30.8685,8649855807846794996
btree8,2048,5,30.8990,8649855807846794996
btree8,2048,6,31.0043,8649855807846794996
btree8,2048,7,30.9753,8649855807846794996
btree8,2048,8,30.8533,8649855807846794996
btree8,2048,9,30.5649,8649855807846794996
btree8,2048,10,30.5908,8649855807846794996
btree8,2048,11,30.9509,8649855807846794996
btree8,2048,12,30.6107,8649855807846794996
btree8,2048,13,30.7251,8649855807846794996
btree8,2048,14,30.8792,8649855807846794996
fusion8,2048,0,52.6550,8649855807846794996
fusion8,2048,1,52.1362,8649855807846794996
fusion8,2048,2,51.6083,8649855807846794996
fusion8,2048,3,51.1246,8649855807846794996
fusion8,2048,4,51.1795,8649855807846794996
fusion8,2048,5,51.1566,8649855807846794996
fusion8,2048,6,51.2192,8649855807846794996
fusion8,2048,7,51.2024,8649855807846794996
fusion8,2048,8,51.1230,8649855807846794996
fusion8,2048,9,51.1856,8649855807846794996
fusion8,2048,10,51.4328,8649855807846794996
fusion8,2048,11,51.1826,8649855807846794996
fusion8,2048,12,51.1627,8649855807846794996
fusion8,2048,13,51.1368,8649855807846794996
fusion8,2048,14,51.0696,8649855807846794996
sorted_array,4096,0,7.2769,201817674810245547
sorted_array,4096,1,7.3013,201817674810245547
sorted_array,4096,2,7.2586,201817674810245547
sorted_array,4096,3,7.2723,201817674810245547
sorted_array,4096,4,7.3013,201817674810245547
