structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4800,3802318259966007189
sorted_array,256,1,4.4739,3802318259966007189
sorted_array,256,2,4.4632,3802318259966007189
sorted_array,256,3,4.4617,3802318259966007189
sorted_array,256,4,4.5135,3802318259966007189
sorted_array,256,5,4.4632,3802318259966007189
sorted_array,256,6,4.4800,3802318259966007189
sorted_array,256,7,4.4785,3802318259966007189
sorted_array,256,8,4.4785,3802318259966007189
sorted_array,256,9,4.4662,3802318259966007189
sorted_array,256,10,4.5074,3802318259966007189
sorted_array,256,11,4.4815,3802318259966007189
sorted_array,256,12,4.4830,3802318259966007189
sorted_array,256,13,4.4876,3802318259966007189
sorted_array,256,14,4.4907,3802318259966007189
btree8,256,0,21.3867,3802318259966007189
btree8,256,1,21.0434,3802318259966007189
btree8,256,2,20.9717,3802318259966007189
btree8,256,3,20.6238,3802318259966007189
btree8,256,4,20.9091,3802318259966007189
btree8,256,5,20.9473,3802318259966007189
btree8,256,6,20.9412,3802318259966007189
btree8,256,7,20.9061,3802318259966007189
btree8,256,8,20.9106,3802318259966007189
btree8,256,9,20.8710,3802318259966007189
btree8,256,10,20.8405,3802318259966007189
btree8,256,11,20.6482,3802318259966007189
btree8,256,12,27.2583,3802318259966007189
btree8,256,13,20.9213,3802318259966007189
btree8,256,14,20.9366,3802318259966007189
fusion8,256,0,37.6434,3802318259966007189
fusion8,256,1,37.7762,3802318259966007189
fusion8,256,2,36.6287,3802318259966007189
fusion8,256,3,36.7462,3802318259966007189
fusion8,256,4,36.4075,3802318259966007189
fusion8,256,5,35.8505,3802318259966007189
fusion8,256,6,35.7849,3802318259966007189
fusion8,256,7,36.6211,3802318259966007189
fusion8,256,8,35.8307,3802318259966007189
fusion8,256,9,35.8597,3802318259966007189
fusion8,256,10,35.8093,3802318259966007189
fusion8,256,11,35.7925,3802318259966007189
fusion8,256,12,35.7239,3802318259966007189
fusion8,256,13,35.7941,3802318259966007189
fusion8,256,14,35.7330,3802318259966007189
sorted_array,512,0,5.0476,18445980686323395203
sorted_array,512,1,5.0522,18445980686323395203
sorted_array,512,2,5.0629,18445980686323395203
sorted_array,512,3,5.1147,18445980686323395203
sorted_array,512,4,5.0583,18445980686323395203
sorted_array,512,5,5.0537,18445980686323395203
sorted_array,512,6,5.0537,18445980686323395203
sorted_array,512,7,5.0522,18445980686323395203
sorted_array,512,8,5.0690,18445980686323395203
sorted_array,512,9,5.1041,18445980686323395203
sorted_array,512,10,5.0507,18445980686323395203
sorted_array,512,11,5.0507,18445980686323395203
sorted_array,512,12,5.0507,18445980686323395203
sorted_array,512,13,5.0507,18445980686323395203
sorted_array,512,14,5.0598,18445980686323395203
btree8,512,0,24.0967,18445980686323395203
btree8,512,1,23.8205,18445980686323395203
btree8,512,2,23.6221,18445980686323395203
btree8,512,3,23.5428,18445980686323395203
btree8,512,4,23.7045,18445980686323395203
btree8,512,5,23.6328,18445980686323395203
btree8,512,6,23.4421,18445980686323395203
btree8,512,7,23.6588,18445980686323395203
btree8,512,8,23.4695,18445980686323395203
btree8,512,9,23.4787,18445980686323395203
btree8,512,10,23.5672,18445980686323395203
btree8,512,11,23.3948,18445980686323395203
btree8,512,12,23.6053,18445980686323395203
btree8,512,13,23.5214,18445980686323395203
btree8,512,14,23.7274,18445980686323395203
fusion8,512,0,36.8408,18445980686323395203
fusion8,512,1,35.2890,18445980686323395203
fusion8,512,2,35.6537,18445980686323395203
fusion8,512,3,35.2234,18445980686323395203
fusion8,512,4,35.0449,18445980686323395203
fusion8,512,5,35.0571,18445980686323395203
fusion8,512,6,35.0479,18445980686323395203
fusion8,512,7,35.1318,18445980686323395203
fusion8,512,8,34.9670,18445980686323395203
fusion8,512,9,34.9777,18445980686323395203
fusion8,512,10,34.9716,18445980686323395203
fusion8,512,11,35.0037,18445980686323395203
fusion8,512,12,35.1562,18445980686323395203
fusion8,512,13,35.0082,18445980686323395203
fusion8,512,14,36.4807,18445980686323395203
sorted_array,1024,0,5.8121,13330139387826418850
sorted_array,1024,1,5.8121,13330139387826418850
sorted_array,1024,2,5.8136,13330139387826418850
sorted_array,1024,3,5.8594,13330139387826418850
sorted_array,1024,4,5.8060,13330139387826418850
sorted_array,1024,5,5.8167,13330139387826418850
sorted_array,1024,6,5.8060,13330139387826418850
sorted_array,1024,7,5.8487,13330139387826418850
sorted_array,1024,8,5.8090,13330139387826418850
sorted_array,1024,9,5.8075,13330139387826418850
sorted_array,1024,10,5.8044,13330139387826418850
sorted_array,1024,11,5.8105,13330139387826418850
sorted_array,1024,12,5.8441,13330139387826418850
sorted_array,1024,13,5.8014,13330139387826418850
sorted_array,1024,14,5.8060,13330139387826418850
btree8,1024,0,27.3300,13330139387826418850
btree8,1024,1,26.8829,13330139387826418850
btree8,1024,2,26.7334,13330139387826418850
btree8,1024,3,26.5594,13330139387826418850
btree8,1024,4,26.8784,13330139387826418850
btree8,1024,5,26.6418,13330139387826418850
btree8,1024,6,26.3794,13330139387826418850
btree8,1024,7,27.0233,13330139387826418850
btree8,1024,8,26.7761,13330139387826418850
btree8,1024,9,26.7792,13330139387826418850
btree8,1024,10,26.1780,13330139387826418850
btree8,1024,11,26.8051,13330139387826418850
btree8,1024,12,26.7059,13330139387826418850
btree8,1024,13,26.7075,13330139387826418850
btree8,1024,14,26.7838,13330139387826418850
fusion8,1024,0,44.4931,13330139387826418850
fusion8,1024,1,43.3487,13330139387826418850
fusion8,1024,2,43.3121,13330139387826418850
fusion8,1024,3,43.3807,13330139387826418850
fusion8,1024,4,43.1351,13330139387826418850
fusion8,1024,5,43.2312,13330139387826418850
fusion8,1024,6,43.2846,13330139387826418850
fusion8,1024,7,43.2465,13330139387826418850
fusion8,1024,8,46.9498,13330139387826418850
fusion8,1024,9,43.3044,13330139387826418850
fusion8,1024,10,43.2678,13330139387826418850
fusion8,1024,11,43.2098,13330139387826418850
fusion8,1024,12,43.2434,13330139387826418850
fusion8,1024,13,43.1900,13330139387826418850
fusion8,1024,14,44.2902,13330139387826418850
sorted_array,2048,0,6.4178,8649855807846794996
sorted_array,2048,1,6.4484,8649855807846794996
sorted_array,2048,2,6.3889,8649855807846794996
sorted_array,2048,3,6.3919,8649855807846794996
sorted_array,2048,4,6.3965,8649855807846794996
sorted_array,2048,5,6.4087,8649855807846794996
sorted_array,2048,6,6.4438,8649855807846794996
sorted_array,2048,7,6.3980,8649855807846794996
sorted_array,2048,8,6.4468,8649855807846794996
sorted_array,2048,9,6.3980,8649855807846794996
sorted_array,2048,10,6.4117,8649855807846794996
sorted_array,2048,11,6.3797,8649855807846794996
sorted_array,2048,12,6.3965,8649855807846794996
sorted_array,2048,13,6.3751,8649855807846794996
sorted_array,2048,14,6.4407,8649855807846794996
btree8,2048,0,31.5857,8649855807846794996
btree8,2048,1,31.2286,8649855807846794996
btree8,2048,2,30.8731,8649855807846794996
btree8,2048,3,31.1569,8649855807846794996
btree8,2048,4,31.0608,8649855807846794996
btree8,2048,5,30.7404,8649855807846794996
btree8,2048,6,31.6818,8649855807846794996
btree8,2048,7,31.8985,8649855807846794996
btree8,2048,8,31.0394,8649855807846794996
btree8,2048,9,30.8960,8649855807846794996
btree8,2048,10,30.9113,8649855807846794996
btree8,2048,11,30.8029,8649855807846794996
btree8,2048,12,30.8716,8649855807846794996
btree8,2048,13,30.6366,8649855807846794996
btree8,2048,14,33.6685,8649855807846794996
fusion8,2048,0,56.0013,8649855807846794996
fusion8,2048,1,51.7761,8649855807846794996
fusion8,2048,2,51.6953,8649855807846794996
fusion8,2048,3,52.2949,8649855807846794996
fusion8,2048,4,51.4771,8649855807846794996
fusion8,2048,5,52.5696,8649855807846794996
fusion8,2048,6,51.3931,8649855807846794996
fusion8,2048,7,51.4450,8649855807846794996
fusion8,2048,8,51.5884,8649855807846794996
fusion8,2048,9,51.4481,8649855807846794996
fusion8,2048,10,51.3443,8649855807846794996
fusion8,2048,11,51.7273,8649855807846794996
fusion8,2048,12,51.4359,8649855807846794996
fusion8,2048,13,51.8280,8649855807846794996
fusion8,2048,14,51.5411,8649855807846794996
sorted_array,4096,0,7.2800,201817674810245547
sorted_array,4096,1,7.2998,201817674810245547
sorted_array,4096,2,7.2891,201817674810245547
sorted_array,4096,3,7.2723,201817674810245547
sorted_array,4096,4,7.3456,201817674810245547
sorted_array,4096,5,7.2861,201817674810245547
sorted_array,4096,6,7.2739,201817674810245547
sorted_array,4096,7,7.3578,201817674810245547
sorted_array,4096,8,7.2815,201817674810245547
