structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4662,3802318259966007189
btree8,256,0,21.3013,3802318259966007189
fusion8,256,0,37.5916,3802318259966007189
sorted_array,256,1,4.4617,3802318259966007189
btree8,256,1,20.9991,3802318259966007189
fusion8,256,1,37.5824,3802318259966007189
btree8,256,2,21.2692,3802318259966007189
fusion8,256,2,37.1689,3802318259966007189
sorted_array,256,2,4.5227,3802318259966007189
sorted_array,256,3,4.4708,3802318259966007189
btree8,256,3,20.7047,3802318259966007189
fusion8,256,3,37.2894,3802318259966007189
btree8,256,4,20.8725,3802318259966007189
fusion8,256,4,36.8790,3802318259966007189
sorted_array,256,4,4.4708,3802318259966007189
sorted_array,256,5,4.4601,3802318259966007189
btree8,256,5,21.1380,3802318259966007189
fusion8,256,5,36.6531,3802318259966007189
btree8,256,6,21.1044,3802318259966007189
fusion8,256,6,35.9467,3802318259966007189
sorted_array,256,6,4.4647,3802318259966007189
btree8,256,7,21.1655,3802318259966007189
sorted_array,256,7,4.4662,3802318259966007189
fusion8,256,7,36.7493,3802318259966007189
fusion8,256,8,36.6257,3802318259966007189
sorted_array,256,8,5.4947,3802318259966007189
btree8,256,8,21.4264,3802318259966007189
btree8,256,9,21.0876,3802318259966007189
sorted_array,256,9,4.4754,3802318259966007189
fusion8,256,9,36.5341,3802318259966007189
fusion8,256,10,36.5524,3802318259966007189
sorted_array,256,10,4.4617,3802318259966007189
btree8,256,10,21.2158,3802318259966007189
fusion8,256,11,36.8683,3802318259966007189
sorted_array,256,11,4.4952,3802318259966007189
btree8,256,11,21.0709,3802318259966007189
fusion8,256,12,36.7737,3802318259966007189
sorted_array,256,12,4.4678,3802318259966007189
btree8,256,12,21.0571,3802318259966007189
sorted_array,256,13,4.4662,3802318259966007189
fusion8,256,13,36.5875,3802318259966007189
btree8,256,13,21.2021,3802318259966007189
btree8,256,14,21.0861,3802318259966007189
fusion8,256,14,37.1063,3802318259966007189
sorted_array,256,14,4.4617,3802318259966007189
sorted_array,512,0,5.0735,18445980686323395203
btree8,512,0,24.6552,18445980686323395203
fusion8,512,0,37.0834,18445980686323395203
sorted_array,512,1,5.1071,18445980686323395203
fusion8,512,1,36.7981,18445980686323395203
btree8,512,1,24.2096,18445980686323395203
fusion8,512,2,36.8256,18445980686323395203
sorted_array,512,2,5.0552,18445980686323395203
btree8,512,2,24.1592,18445980686323395203
btree8,512,3,24.0829,18445980686323395203
sorted_array,512,3,5.0873,18445980686323395203
fusion8,512,3,36.8500,18445980686323395203
fusion8,512,4,36.0901,18445980686323395203
btree8,512,4,24.4949,18445980686323395203
sorted_array,512,4,5.0568,18445980686323395203
fusion8,512,5,36.6318,18445980686323395203
sorted_array,512,5,5.0552,18445980686323395203
btree8,512,5,24.2065,18445980686323395203
fusion8,512,6,36.7691,18445980686323395203
sorted_array,512,6,5.0552,18445980686323395203
btree8,512,6,24.0906,18445980686323395203
fusion8,512,7,36.6623,18445980686323395203
sorted_array,512,7,5.0766,18445980686323395203
btree8,512,7,24.1165,18445980686323395203
btree8,512,8,23.9960,18445980686323395203
fusion8,512,8,36.7676,18445980686323395203
sorted_array,512,8,5.0781,18445980686323395203
sorted_array,512,9,5.1041,18445980686323395203
btree8,512,9,24.1196,18445980686323395203
fusion8,512,9,36.7157,18445980686323395203
btree8,512,10,24.3286,18445980686323395203
fusion8,512,10,36.6638,18445980686323395203
sorted_array,512,10,5.0552,18445980686323395203
sorted_array,512,11,5.0552,18445980686323395203
btree8,512,11,24.0021,18445980686323395203
fusion8,512,11,36.7081,18445980686323395203
btree8,512,12,24.2722,18445980686323395203
sorted_array,512,12,5.0720,18445980686323395203
