structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4739,3802318259966007189
btree8,256,0,21.9086,3802318259966007189
fusion8,256,0,36.5707,3802318259966007189
sorted_array,256,1,4.4785,3802318259966007189
btree8,256,1,21.2692,3802318259966007189
fusion8,256,1,36.7416,3802318259966007189
btree8,256,2,21.6049,3802318259966007189
fusion8,256,2,36.6180,3802318259966007189
sorted_array,256,2,4.5135,3802318259966007189
sorted_array,256,3,4.4632,3802318259966007189
btree8,256,3,21.2967,3802318259966007189
fusion8,256,3,36.7889,3802318259966007189
btree8,256,4,21.2418,3802318259966007189
fusion8,256,4,36.4929,3802318259966007189
sorted_array,256,4,4.4693,3802318259966007189
sorted_array,256,5,4.4800,3802318259966007189
btree8,256,5,21.2219,3802318259966007189
fusion8,256,5,36.5555,3802318259966007189
btree8,256,6,20.9976,3802318259966007189
fusion8,256,6,36.5341,3802318259966007189
sorted_array,256,6,4.4601,3802318259966007189
btree8,256,7,21.1761,3802318259966007189
sorted_array,256,7,4.4693,3802318259966007189
fusion8,256,7,36.5265,3802318259966007189
fusion8,256,8,36.8210,3802318259966007189
sorted_array,256,8,4.4876,3802318259966007189
btree8,256,8,21.7194,3802318259966007189
btree8,256,9,21.3058,3802318259966007189
sorted_array,256,9,4.5273,3802318259966007189
fusion8,256,9,39.0045,3802318259966007189
fusion8,256,10,37.3749,3802318259966007189
sorted_array,256,10,4.4647,3802318259966007189
btree8,256,10,21.1517,3802318259966007189
fusion8,256,11,37.1567,3802318259966007189
sorted_array,256,11,4.4968,3802318259966007189
btree8,256,11,20.9213,3802318259966007189
fusion8,256,12,36.8317,3802318259966007189
sorted_array,256,12,4.4693,3802318259966007189
btree8,256,12,21.0205,3802318259966007189
sorted_array,256,13,4.4693,3802318259966007189
fusion8,256,13,36.6684,3802318259966007189
btree8,256,13,21.1197,3802318259966007189
btree8,256,14,21.0892,3802318259966007189
fusion8,256,14,36.6425,3802318259966007189
sorted_array,256,14,4.4617,3802318259966007189
sorted_array,512,0,5.0720,18445980686323395203
btree8,512,0,24.0341,18445980686323395203
fusion8,512,0,38.0722,18445980686323395203
sorted_array,512,1,5.0659,18445980686323395203
fusion8,512,1,36.5143,18445980686323395203
btree8,512,1,24.2401,18445980686323395203
fusion8,512,2,36.6653,18445980686323395203
sorted_array,512,2,5.0690,18445980686323395203
btree8,512,2,24.2630,18445980686323395203
btree8,512,3,23.8739,18445980686323395203
sorted_array,512,3,5.1117,18445980686323395203
fusion8,512,3,36.8469,18445980686323395203
fusion8,512,4,35.4248,18445980686323395203
btree8,512,4,23.9471,18445980686323395203
sorted_array,512,4,5.0537,18445980686323395203
fusion8,512,5,36.8958,18445980686323395203
sorted_array,512,5,5.0964,18445980686323395203
btree8,512,5,23.9243,18445980686323395203
fusion8,512,6,36.7126,18445980686323395203
sorted_array,512,6,5.0690,18445980686323395203
btree8,512,6,24.3073,18445980686323395203
fusion8,512,7,36.7722,18445980686323395203
sorted_array,512,7,5.0568,18445980686323395203
btree8,512,7,25.1801,18445980686323395203
btree8,512,8,24.5087,18445980686323395203
fusion8,512,8,36.7279,18445980686323395203
sorted_array,512,8,5.0598,18445980686323395203
sorted_array,512,9,5.1102,18445980686323395203
btree8,512,9,24.3362,18445980686323395203
fusion8,512,9,36.6119,18445980686323395203
btree8,512,10,24.1898,18445980686323395203
fusion8,512,10,36.7310,18445980686323395203
sorted_array,512,10,5.0751,18445980686323395203
sorted_array,512,11,5.0797,18445980686323395203
btree8,512,11,24.0112,18445980686323395203
fusion8,512,11,36.6577,18445980686323395203
btree8,512,12,24.4537,18445980686323395203
sorted_array,512,12,5.0522,18445980686323395203
fusion8,512,12,36.6440,18445980686323395203
sorted_array,512,13,5.0537,18445980686323395203
fusion8,512,13,36.4075,18445980686323395203
btree8,512,13,23.8464,18445980686323395203
sorted_array,512,14,5.0552,18445980686323395203
btree8,512,14,23.8419,18445980686323395203
fusion8,512,14,36.9385,18445980686323395203
fusion8,1024,0,45.1218,13330139387826418850
btree8,1024,0,27.3834,13330139387826418850
sorted_array,1024,0,5.8319,13330139387826418850
sorted_array,1024,1,5.8289,13330139387826418850
btree8,1024,1,26.7609,13330139387826418850
fusion8,1024,1,45.4742,13330139387826418850
sorted_array,1024,2,5.8212,13330139387826418850
fusion8,1024,2,43.3563,13330139387826418850
btree8,1024,2,27.2751,13330139387826418850
sorted_array,1024,3,5.8182,13330139387826418850
fusion8,1024,3,45.5734,13330139387826418850
btree8,1024,3,27.3392,13330139387826418850
sorted_array,1024,4,5.8548,13330139387826418850
fusion8,1024,4,47.1771,13330139387826418850
btree8,1024,4,27.1835,13330139387826418850
btree8,1024,5,26.5808,13330139387826418850
fusion8,1024,5,45.7916,13330139387826418850
sorted_array,1024,5,5.8105,13330139387826418850
btree8,1024,6,27.4170,13330139387826418850
fusion8,1024,6,45.8405,13330139387826418850
sorted_array,1024,6,5.8487,13330139387826418850
btree8,1024,7,27.0050,13330139387826418850
fusion8,1024,7,45.7047,13330139387826418850
sorted_array,1024,7,5.8670,13330139387826418850
btree8,1024,8,26.7212,13330139387826418850
sorted_array,1024,8,5.8533,13330139387826418850
fusion8,1024,8,45.7047,13330139387826418850
fusion8,1024,9,43.3472,13330139387826418850
btree8,1024,9,27.1240,13330139387826418850
sorted_array,1024,9,5.8167,13330139387826418850
sorted_array,1024,10,5.8258,13330139387826418850
btree8,1024,10,26.7883,13330139387826418850
fusion8,1024,10,45.3690,13330139387826418850
sorted_array,1024,11,5.8075,13330139387826418850
fusion8,1024,11,43.3273,13330139387826418850
btree8,1024,11,26.9974,13330139387826418850
