structure,n,rep,ns_per_query,checksum
fusion8,256,0,40.8722,11530405409878601149
fusion8_c,256,0,41.9724,11530405409878601149
btree8_a64,256,0,19.9463,11530405409878601149
btree16_bl_a64,256,0,20.5933,11530405409878601149
btree8,256,0,22.1146,11530405409878601149
btree8_bl,256,0,29.6158,11530405409878601149
fusion16_w,256,0,37.4924,11530405409878601149
fusion8_bf,256,0,45.4269,11530405409878601149
btree8_bl_a64,256,0,28.1036,11530405409878601149
sorted_array,256,0,23.2025,11530405409878601149
btree8_bl,256,1,29.6371,11530405409878601149
fusion8,256,1,40.9409,11530405409878601149
btree16_bl_a64,256,1,20.6100,11530405409878601149
fusion16_w,256,1,37.7472,11530405409878601149
btree8_bl_a64,256,1,27.9816,11530405409878601149
btree8_a64,256,1,20.3278,11530405409878601149
fusion8_c,256,1,41.9052,11530405409878601149
sorted_array,256,1,23.2605,11530405409878601149
btree8,256,1,22.8806,11530405409878601149
fusion8_bf,256,1,43.5806,11530405409878601149
btree8_bl,256,2,29.6570,11530405409878601149
sorted_array,256,2,22.9828,11530405409878601149
btree16_bl_a64,256,2,20.6024,11530405409878601149
fusion8_c,256,2,41.8213,11530405409878601149
btree8_a64,256,2,21.4767,11530405409878601149
btree8,256,2,22.6151,11530405409878601149
fusion16_w,256,2,37.4847,11530405409878601149
fusion8,256,2,40.8218,11530405409878601149
fusion8_bf,256,2,43.8568,11530405409878601149
btree8_bl_a64,256,2,27.9739,11530405409878601149
fusion8_c,256,3,42.1448,11530405409878601149
fusion8_bf,256,3,43.6188,11530405409878601149
btree16_bl_a64,256,3,20.5902,11530405409878601149
btree8_bl_a64,256,3,27.9572,11530405409878601149
fusion8,256,3,40.7089,11530405409878601149
btree8,256,3,24.2676,11530405409878601149
sorted_array,256,3,23.6893,11530405409878601149
fusion16_w,256,3,37.4725,11530405409878601149
btree8_a64,256,3,21.1258,11530405409878601149
btree8_bl,256,3,29.6616,11530405409878601149
btree8_bl,256,4,29.7531,11530405409878601149
fusion16_w,256,4,37.5214,11530405409878601149
btree8_bl_a64,256,4,28.1509,11530405409878601149
btree16_bl_a64,256,4,20.5460,11530405409878601149
btree8,256,4,21.7438,11530405409878601149
fusion8,256,4,41.0385,11530405409878601149
fusion8_c,256,4,41.9510,11530405409878601149
fusion8_bf,256,4,43.4891,11530405409878601149
sorted_array,256,4,23.2162,11530405409878601149
btree8_a64,256,4,20.2469,11530405409878601149
fusion8_bf,256,5,43.5120,11530405409878601149
btree8,256,5,22.1313,11530405409878601149
btree8_a64,256,5,20.1675,11530405409878601149
btree8_bl,256,5,29.5944,11530405409878601149
btree16_bl_a64,256,5,20.5872,11530405409878601149
fusion8,256,5,40.7272,11530405409878601149
fusion16_w,256,5,37.4146,11530405409878601149
sorted_array,256,5,24.4827,11530405409878601149
btree8_bl_a64,256,5,28.1189,11530405409878601149
fusion8_c,256,5,41.9083,11530405409878601149
fusion8,256,6,41.2109,11530405409878601149
btree8_a64,256,6,21.4844,11530405409878601149
sorted_array,256,6,24.2447,11530405409878601149
btree8_bl,256,6,29.7226,11530405409878601149
btree16_bl_a64,256,6,20.5429,11530405409878601149
fusion8_bf,256,6,43.5760,11530405409878601149
fusion16_w,256,6,37.5076,11530405409878601149
btree8_bl_a64,256,6,27.9633,11530405409878601149
fusion8_c,256,6,41.8594,11530405409878601149
btree8,256,6,22.1680,11530405409878601149
fusion8_c,256,7,41.8030,11530405409878601149
fusion8_bf,256,7,43.7851,11530405409878601149
sorted_array,256,7,23.2925,11530405409878601149
btree8_bl,256,7,29.6021,11530405409878601149
btree8,256,7,21.7346,11530405409878601149
fusion16_w,256,7,37.4695,11530405409878601149
btree8_a64,256,7,20.6833,11530405409878601149
fusion8,256,7,41.0049,11530405409878601149
btree8_bl_a64,256,7,28.0090,11530405409878601149
btree16_bl_a64,256,7,20.5856,11530405409878601149
fusion8_c,256,8,41.7984,11530405409878601149
btree8_bl,256,8,29.6219,11530405409878601149
btree16_bl_a64,256,8,20.5719,11530405409878601149
fusion16_w,256,8,37.4359,11530405409878601149
btree8_bl_a64,256,8,27.9541,11530405409878601149
btree8,256,8,21.5454,11530405409878601149
btree8_a64,256,8,20.8237,11530405409878601149
fusion8_bf,256,8,43.5730,11530405409878601149
fusion8,256,8,40.7959,11530405409878601149
sorted_array,256,8,26.1871,11530405409878601149
fusion8_bf,256,9,43.8828,11530405409878601149
sorted_array,256,9,23.2346,11530405409878601149
btree8,256,9,21.6034,11530405409878601149
btree8_a64,256,9,20.3079,11530405409878601149
fusion16_w,256,9,37.5397,11530405409878601149
btree8_bl,256,9,29.8141,11530405409878601149
btree8_bl_a64,256,9,27.9755,11530405409878601149
btree16_bl_a64,256,9,20.5780,11530405409878601149
fusion8_c,256,9,41.9739,11530405409878601149
fusion8,256,9,41.0919,11530405409878601149
fusion8,256,10,40.7898,11530405409878601149
btree16_bl_a64,256,10,20.7550,11530405409878601149
btree8_bl_a64,256,10,28.0319,11530405409878601149
sorted_array,256,10,23.8098,11530405409878601149
fusion16_w,256,10,37.5351,11530405409878601149
btree8_bl,256,10,29.6539,11530405409878601149
fusion8_c,256,10,41.8564,11530405409878601149
