structure,n,rep,ns_per_query,checksum
fusion8,256,0,36.8683,4651152958151299108
fusion8_c,256,0,35.8383,4651152958151299108
btree8_a64,256,0,21.3821,4651152958151299108
btree16_bl_a64,256,0,6.1188,4651152958151299108
btree8,256,0,21.8353,4651152958151299108
btree8_bl,256,0,16.9785,4651152958151299108
fusion16_w,256,0,27.0264,4651152958151299108
fusion8_bf,256,0,37.3230,4651152958151299108
btree8_bl_a64,256,0,16.0172,4651152958151299108
sorted_array,256,0,22.9156,4651152958151299108
btree8_bl,256,1,17.1890,4651152958151299108
fusion8,256,1,37.0071,4651152958151299108
btree16_bl_a64,256,1,6.1005,4651152958151299108
fusion16_w,256,1,26.7731,4651152958151299108
btree8_bl_a64,256,1,16.2292,4651152958151299108
btree8_a64,256,1,21.0892,4651152958151299108
fusion8_c,256,1,35.7773,4651152958151299108
sorted_array,256,1,22.8790,4651152958151299108
btree8,256,1,21.8964,4651152958151299108
fusion8_bf,256,1,37.2665,4651152958151299108
btree8_bl,256,2,16.9357,4651152958151299108
sorted_array,256,2,22.6913,4651152958151299108
btree16_bl_a64,256,2,6.0699,4651152958151299108
fusion8_c,256,2,35.9650,4651152958151299108
btree8_a64,256,2,21.3547,4651152958151299108
btree8,256,2,21.5500,4651152958151299108
fusion16_w,256,2,26.7853,4651152958151299108
fusion8,256,2,36.8820,4651152958151299108
fusion8_bf,256,2,37.3215,4651152958151299108
btree8_bl_a64,256,2,15.9012,4651152958151299108
fusion8_c,256,3,35.7117,4651152958151299108
fusion8_bf,256,3,37.2940,4651152958151299108
btree16_bl_a64,256,3,6.0135,4651152958151299108
btree8_bl_a64,256,3,16.0568,4651152958151299108
fusion8,256,3,36.8866,4651152958151299108
btree8,256,3,22.8271,4651152958151299108
sorted_array,256,3,23.4665,4651152958151299108
fusion16_w,256,3,27.0966,4651152958151299108
btree8_a64,256,3,21.3150,4651152958151299108
btree8_bl,256,3,16.8610,4651152958151299108
btree8_bl,256,4,16.4795,4651152958151299108
fusion16_w,256,4,26.6739,4651152958151299108
btree8_bl_a64,256,4,16.1560,4651152958151299108
btree16_bl_a64,256,4,6.0989,4651152958151299108
btree8,256,4,20.7336,4651152958151299108
fusion8,256,4,36.8515,4651152958151299108
fusion8_c,256,4,35.7376,4651152958151299108
fusion8_bf,256,4,37.2711,4651152958151299108
sorted_array,256,4,22.8165,4651152958151299108
btree8_a64,256,4,20.8008,4651152958151299108
fusion8_bf,256,5,37.0575,4651152958151299108
btree8,256,5,20.7458,4651152958151299108
btree8_a64,256,5,21.4355,4651152958151299108
btree8_bl,256,5,16.8304,4651152958151299108
btree16_bl_a64,256,5,6.0318,4651152958151299108
fusion8,256,5,36.8927,4651152958151299108
fusion16_w,256,5,27.0081,4651152958151299108
sorted_array,256,5,24.1501,4651152958151299108
btree8_bl_a64,256,5,16.1026,4651152958151299108
fusion8_c,256,5,35.7193,4651152958151299108
fusion8,256,6,36.9705,4651152958151299108
btree8_a64,256,6,22.1573,4651152958151299108
sorted_array,256,6,22.9553,4651152958151299108
btree8_bl,256,6,16.7389,4651152958151299108
btree16_bl_a64,256,6,6.0165,4651152958151299108
fusion8_bf,256,6,36.5509,4651152958151299108
fusion16_w,256,6,26.4282,4651152958151299108
btree8_bl_a64,256,6,15.7944,4651152958151299108
fusion8_c,256,6,35.1562,4651152958151299108
btree8,256,6,21.2067,4651152958151299108
fusion8_c,256,7,35.1822,4651152958151299108
fusion8_bf,256,7,36.6348,4651152958151299108
sorted_array,256,7,22.9477,4651152958151299108
btree8_bl,256,7,16.9647,4651152958151299108
btree8,256,7,20.8237,4651152958151299108
fusion16_w,256,7,27.1378,4651152958151299108
btree8_a64,256,7,22.3434,4651152958151299108
fusion8,256,7,36.9644,4651152958151299108
btree8_bl_a64,256,7,15.8920,4651152958151299108
btree16_bl_a64,256,7,6.1234,4651152958151299108
fusion8_c,256,8,35.3180,4651152958151299108
btree8_bl,256,8,16.7145,4651152958151299108
btree16_bl_a64,256,8,5.9525,4651152958151299108
fusion16_w,256,8,26.5167,4651152958151299108
btree8_bl_a64,256,8,15.8218,4651152958151299108
btree8,256,8,20.9152,4651152958151299108
btree8_a64,256,8,21.9849,4651152958151299108
fusion8_bf,256,8,37.3169,4651152958151299108
fusion8,256,8,36.7126,4651152958151299108
sorted_array,256,8,24.2996,4651152958151299108
fusion8_bf,256,9,36.7813,4651152958151299108
sorted_array,256,9,31.3889,4651152958151299108
btree8,256,9,20.8344,4651152958151299108
btree8_a64,256,9,21.0342,4651152958151299108
fusion16_w,256,9,27.2354,4651152958151299108
btree8_bl,256,9,17.1692,4651152958151299108
btree8_bl_a64,256,9,16.0339,4651152958151299108
btree16_bl_a64,256,9,5.9982,4651152958151299108
fusion8_c,256,9,35.9467,4651152958151299108
fusion8,256,9,37.0544,4651152958151299108
fusion8,256,10,36.5341,4651152958151299108
btree16_bl_a64,256,10,6.1111,4651152958151299108
btree8_bl_a64,256,10,16.0156,4651152958151299108
sorted_array,256,10,22.7890,4651152958151299108
fusion16_w,256,10,26.9012,4651152958151299108
btree8_bl,256,10,16.9220,4651152958151299108
fusion8_c,256,10,35.7285,4651152958151299108
btree8_a64,256,10,20.9076,4651152958151299108
btree8,256,10,21.2463,4651152958151299108
fusion8_bf,256,10,38.5513,4651152958151299108
fusion8,256,11,36.6302,4651152958151299108
btree8_a64,256,11,20.7443,4651152958151299108
fusion8_bf,256,11,37.2971,4651152958151299108
btree8,256,11,21.4157,4651152958151299108
btree8_bl_a64,256,11,15.9592,4651152958151299108
btree8_bl,256,11,17.0349,4651152958151299108
sorted_array,256,11,22.9019,4651152958151299108
fusion8_c,256,11,35.8948,4651152958151299108
btree16_bl_a64,256,11,5.9998,4651152958151299108
fusion16_w,256,11,27.0416,4651152958151299108
btree8_bl,256,12,17.0822,4651152958151299108
fusion16_w,256,12,26.8555,4651152958151299108
fusion8_bf,256,12,37.1094,4651152958151299108
fusion8,256,12,36.6013,4651152958151299108
sorted_array,256,12,23.1293,4651152958151299108
btree8_a64,256,12,21.1563,4651152958151299108
btree8_bl_a64,256,12,15.8325,4651152958151299108
fusion8_c,256,12,35.7590,4651152958151299108
btree16_bl_a64,256,12,6.0120,4651152958151299108
btree8,256,12,20.8618,4651152958151299108
fusion8,256,13,36.7508,4651152958151299108
fusion16_w,256,13,27.2568,4651152958151299108
btree8_a64,256,13,21.3074,4651152958151299108
fusion8_c,256,13,35.3622,4651152958151299108
btree8,256,13,20.3781,4651152958151299108
btree8_bl,256,13,16.7252,4651152958151299108
fusion8_bf,256,13,36.5814,4651152958151299108
btree16_bl_a64,256,13,5.9464,4651152958151299108
btree8_bl_a64,256,13,15.7639,4651152958151299108
sorted_array,256,13,22.3648,4651152958151299108
btree8_bl_a64,256,14,15.7394,4651152958151299108
fusion16_w,256,14,26.4786,4651152958151299108
btree8,256,14,21.7773,4651152958151299108
btree8_a64,256,14,22.1634,4651152958151299108
sorted_array,256,14,22.4686,4651152958151299108
btree8_bl,256,14,16.6962,4651152958151299108
btree16_bl_a64,256,14,5.9952,4651152958151299108
fusion8_bf,256,14,37.9196,4651152958151299108
fusion8,256,14,36.3403,4651152958151299108
fusion8_c,256,14,35.5240,4651152958151299108
fusion8_c,512,0,36.2076,5099789511540172029
btree8,512,0,25.0092,5099789511540172029
btree8_a64,512,0,26.5793,5099789511540172029
btree8_bl,512,0,13.9511,5099789511540172029
btree8_bl_a64,512,0,11.8042,5099789511540172029
fusion8,512,0,37.6709,5099789511540172029
sorted_array,512,0,30.3696,5099789511540172029
btree16_bl_a64,512,0,21.3287,5099789511540172029
fusion8_bf,512,0,38.4583,5099789511540172029
fusion16_w,512,0,41.4291,5099789511540172029
btree8_a64,512,1,25.1984,5099789511540172029
btree8,512,1,24.3790,5099789511540172029
fusion16_w,512,1,40.9897,5099789511540172029
fusion8,512,1,36.7218,5099789511540172029
btree8_bl,512,1,12.7869,5099789511540172029
btree16_bl_a64,512,1,21.6660,5099789511540172029
btree8_bl_a64,512,1,11.8988,5099789511540172029
fusion8_bf,512,1,38.4460,5099789511540172029
fusion8_c,512,1,36.5738,5099789511540172029
sorted_array,512,1,29.9225,5099789511540172029
fusion16_w,512,2,41.7892,5099789511540172029
btree8_bl_a64,512,2,12.0239,5099789511540172029
btree16_bl_a64,512,2,21.8002,5099789511540172029
fusion8_c,512,2,36.8118,5099789511540172029
fusion8_bf,512,2,37.8754,5099789511540172029
btree8_bl,512,2,12.5488,5099789511540172029
fusion8,512,2,36.6180,5099789511540172029
sorted_array,512,2,32.1625,5099789511540172029
btree8,512,2,24.5667,5099789511540172029
btree8_a64,512,2,27.4734,5099789511540172029
btree8_bl_a64,512,3,12.0041,5099789511540172029
btree8_a64,512,3,24.2172,5099789511540172029
sorted_array,512,3,30.0156,5099789511540172029
