structure,n,rep,ns_per_query,checksum
sorted_array,256,0,12.9700,4651152958151299108
sorted_array,256,1,12.9364,4651152958151299108
sorted_array,256,2,12.9791,4651152958151299108
sorted_array,256,3,12.9745,4651152958151299108
sorted_array,256,4,12.9578,4651152958151299108
sorted_array,256,5,12.9471,4651152958151299108
sorted_array,256,6,12.9639,4651152958151299108
sorted_array,256,7,12.9395,4651152958151299108
sorted_array,256,8,12.9837,4651152958151299108
sorted_array,256,9,12.9395,4651152958151299108
sorted_array,256,10,12.9395,4651152958151299108
sorted_array,256,11,12.9898,4651152958151299108
sorted_array,256,12,12.9395,4651152958151299108
sorted_array,256,13,12.9669,4651152958151299108
sorted_array,256,14,12.9395,4651152958151299108
btree8,256,0,20.3964,4651152958151299108
btree8,256,1,20.1614,4651152958151299108
btree8,256,2,20.1111,4651152958151299108
btree8,256,3,20.0974,4651152958151299108
btree8,256,4,20.2042,4651152958151299108
btree8,256,5,20.1004,4651152958151299108
btree8,256,6,20.1187,4651152958151299108
btree8,256,7,20.2423,4651152958151299108
btree8,256,8,20.1721,4651152958151299108
btree8,256,9,20.0043,4651152958151299108
btree8,256,10,20.0638,4651152958151299108
btree8,256,11,20.0363,4651152958151299108
btree8,256,12,20.2972,4651152958151299108
btree8,256,13,20.0119,4651152958151299108
btree8,256,14,20.0363,4651152958151299108
btree8_bl,256,0,27.2476,4651152958151299108
btree8_bl,256,1,26.8661,4651152958151299108
btree8_bl,256,2,26.5274,4651152958151299108
btree8_bl,256,3,26.4938,4651152958151299108
btree8_bl,256,4,26.9119,4651152958151299108
btree8_bl,256,5,26.5381,4651152958151299108
btree8_bl,256,6,26.7319,4651152958151299108
btree8_bl,256,7,26.4069,4651152958151299108
btree8_bl,256,8,26.5427,4651152958151299108
btree8_bl,256,9,26.6602,4651152958151299108
btree8_bl,256,10,27.0508,4651152958151299108
btree8_bl,256,11,26.8417,4651152958151299108
btree8_bl,256,12,27.1667,4651152958151299108
btree8_bl,256,13,28.1082,4651152958151299108
btree8_bl,256,14,26.4648,4651152958151299108
btree8_a64,256,0,19.9356,4651152958151299108
btree8_a64,256,1,19.7189,4651152958151299108
btree8_a64,256,2,19.6823,4651152958151299108
btree8_a64,256,3,19.6594,4651152958151299108
btree8_a64,256,4,19.6930,4651152958151299108
btree8_a64,256,5,20.5963,4651152958151299108
btree8_a64,256,6,19.6854,4651152958151299108
btree8_a64,256,7,19.6106,4651152958151299108
btree8_a64,256,8,19.6045,4651152958151299108
btree8_a64,256,9,19.6259,4651152958151299108
btree8_a64,256,10,19.6411,4651152958151299108
btree8_a64,256,11,20.0500,4651152958151299108
btree8_a64,256,12,19.6503,4651152958151299108
btree8_a64,256,13,19.5877,4651152958151299108
btree8_a64,256,14,19.6457,4651152958151299108
btree8_bl_a64,256,0,24.8291,4651152958151299108
btree8_bl_a64,256,1,24.6552,4651152958151299108
btree8_bl_a64,256,2,24.5819,4651152958151299108
btree8_bl_a64,256,3,24.5544,4651152958151299108
btree8_bl_a64,256,4,24.5132,4651152958151299108
btree8_bl_a64,256,5,24.5590,4651152958151299108
btree8_bl_a64,256,6,24.5499,4651152958151299108
btree8_bl_a64,256,7,24.5193,4651152958151299108
btree8_bl_a64,256,8,24.5224,4651152958151299108
btree8_bl_a64,256,9,24.5132,4651152958151299108
btree8_bl_a64,256,10,24.5026,4651152958151299108
btree8_bl_a64,256,11,24.4995,4651152958151299108
btree8_bl_a64,256,12,24.4690,4651152958151299108
btree8_bl_a64,256,13,24.4644,4651152958151299108
btree8_bl_a64,256,14,24.5621,4651152958151299108
btree16_bl_a64,256,0,17.2287,4651152958151299108
btree16_bl_a64,256,1,17.1829,4651152958151299108
btree16_bl_a64,256,2,17.2180,4651152958151299108
btree16_bl_a64,256,3,17.2134,4651152958151299108
btree16_bl_a64,256,4,17.1341,4651152958151299108
btree16_bl_a64,256,5,17.1631,4651152958151299108
btree16_bl_a64,256,6,17.1906,4651152958151299108
btree16_bl_a64,256,7,17.1417,4651152958151299108
btree16_bl_a64,256,8,17.1387,4651152958151299108
btree16_bl_a64,256,9,17.1021,4651152958151299108
btree16_bl_a64,256,10,17.1112,4651152958151299108
btree16_bl_a64,256,11,17.1326,4651152958151299108
btree16_bl_a64,256,12,17.0959,4651152958151299108
btree16_bl_a64,256,13,17.1356,4651152958151299108
btree16_bl_a64,256,14,17.1326,4651152958151299108
fusion8,256,0,38.8535,4651152958151299108
fusion8,256,1,38.5712,4651152958151299108
fusion8,256,2,38.5071,4651152958151299108
fusion8,256,3,38.4583,4651152958151299108
fusion8,256,4,38.4628,4651152958151299108
fusion8,256,5,38.7253,4651152958151299108
fusion8,256,6,39.0671,4651152958151299108
fusion8,256,7,40.2618,4651152958151299108
fusion8,256,8,38.6642,4651152958151299108
fusion8,256,9,38.4415,4651152958151299108
fusion8,256,10,38.7238,4651152958151299108
fusion8,256,11,38.7390,4651152958151299108
fusion8,256,12,38.6185,4651152958151299108
fusion8,256,13,38.4842,4651152958151299108
fusion8,256,14,38.6368,4651152958151299108
fusion8_bf,256,0,41.9846,4651152958151299108
fusion8_bf,256,1,41.7053,4651152958151299108
fusion8_bf,256,2,51.5656,4651152958151299108
fusion8_bf,256,3,42.5110,4651152958151299108
fusion8_bf,256,4,43.6401,4651152958151299108
fusion8_bf,256,5,43.1549,4651152958151299108
fusion8_bf,256,6,42.3264,4651152958151299108
fusion8_bf,256,7,41.5756,4651152958151299108
fusion8_bf,256,8,41.6855,4651152958151299108
fusion8_bf,256,9,58.5327,4651152958151299108
fusion8_bf,256,10,41.6580,4651152958151299108
fusion8_bf,256,11,41.5863,4651152958151299108
