structure,n,rep,ns_per_query,checksum
fusion8,256,0,39.1144,4651152958151299108
fusion8_c,256,0,41.0767,4651152958151299108
btree8_a64,256,0,19.9539,4651152958151299108
btree16_bl_a64,256,0,17.4011,4651152958151299108
btree8,256,0,20.5078,4651152958151299108
btree8_bl,256,0,27.1332,4651152958151299108
fusion16_w,256,0,38.2950,4651152958151299108
fusion8_bf,256,0,41.8335,4651152958151299108
btree8_bl_a64,256,0,24.7299,4651152958151299108
sorted_array,256,0,12.9288,4651152958151299108
btree8_bl,256,1,26.6388,4651152958151299108
fusion8,256,1,38.8535,4651152958151299108
btree16_bl_a64,256,1,17.1951,4651152958151299108
fusion16_w,256,1,38.2736,4651152958151299108
btree8_bl_a64,256,1,24.7116,4651152958151299108
btree8_a64,256,1,19.9585,4651152958151299108
fusion8_c,256,1,40.9424,4651152958151299108
sorted_array,256,1,12.9852,4651152958151299108
btree8,256,1,20.7306,4651152958151299108
fusion8_bf,256,1,42.0654,4651152958151299108
btree8_bl,256,2,26.6846,4651152958151299108
sorted_array,256,2,12.9318,4651152958151299108
btree16_bl_a64,256,2,17.1936,4651152958151299108
fusion8_c,256,2,41.1530,4651152958151299108
btree8_a64,256,2,19.8395,4651152958151299108
btree8,256,2,21.6217,4651152958151299108
fusion16_w,256,2,38.3041,4651152958151299108
fusion8,256,2,39.3723,4651152958151299108
fusion8_bf,256,2,41.8320,4651152958151299108
btree8_bl_a64,256,2,24.7131,4651152958151299108
fusion8_c,256,3,42.1951,4651152958151299108
fusion8_bf,256,3,41.7633,4651152958151299108
btree16_bl_a64,256,3,17.1906,4651152958151299108
btree8_bl_a64,256,3,24.6384,4651152958151299108
fusion8,256,3,39.1754,4651152958151299108
btree8,256,3,20.5963,4651152958151299108
sorted_array,256,3,12.9333,4651152958151299108
fusion16_w,256,3,38.3133,4651152958151299108
btree8_a64,256,3,20.0119,4651152958151299108
btree8_bl,256,3,26.6479,4651152958151299108
btree8_bl,256,4,26.6098,4651152958151299108
fusion16_w,256,4,38.2477,4651152958151299108
btree8_bl_a64,256,4,24.7055,4651152958151299108
btree16_bl_a64,256,4,17.1936,4651152958151299108
btree8,256,4,20.5673,4651152958151299108
fusion8,256,4,39.5386,4651152958151299108
fusion8_c,256,4,40.8798,4651152958151299108
fusion8_bf,256,4,42.4133,4651152958151299108
sorted_array,256,4,13.0371,4651152958151299108
btree8_a64,256,4,19.8654,4651152958151299108
fusion8_bf,256,5,42.2974,4651152958151299108
btree8,256,5,20.4819,4651152958151299108
btree8_a64,256,5,20.5078,4651152958151299108
btree8_bl,256,5,26.6205,4651152958151299108
btree16_bl_a64,256,5,17.1555,4651152958151299108
fusion8,256,5,38.9374,4651152958151299108
fusion16_w,256,5,38.3163,4651152958151299108
sorted_array,256,5,12.9929,4651152958151299108
btree8_bl_a64,256,5,24.6979,4651152958151299108
fusion8_c,256,5,41.1865,4651152958151299108
fusion8,256,6,39.2105,4651152958151299108
btree8_a64,256,6,19.7723,4651152958151299108
sorted_array,256,6,12.9349,4651152958151299108
btree8_bl,256,6,26.6357,4651152958151299108
btree16_bl_a64,256,6,17.1951,4651152958151299108
fusion8_bf,256,6,41.8213,4651152958151299108
fusion16_w,256,6,38.3926,4651152958151299108
btree8_bl_a64,256,6,24.6613,4651152958151299108
fusion8_c,256,6,41.1469,4651152958151299108
btree8,256,6,20.4742,4651152958151299108
fusion8_c,256,7,40.7959,4651152958151299108
fusion8_bf,256,7,42.2531,4651152958151299108
sorted_array,256,7,12.9272,4651152958151299108
btree8_bl,256,7,26.7365,4651152958151299108
btree8,256,7,20.4498,4651152958151299108
fusion16_w,256,7,38.2919,4651152958151299108
btree8_a64,256,7,19.7113,4651152958151299108
fusion8,256,7,40.0146,4651152958151299108
btree8_bl_a64,256,7,24.7253,4651152958151299108
btree16_bl_a64,256,7,17.1890,4651152958151299108
fusion8_c,256,8,41.0461,4651152958151299108
btree8_bl,256,8,26.5366,4651152958151299108
btree16_bl_a64,256,8,17.2333,4651152958151299108
fusion16_w,256,8,38.3148,4651152958151299108
btree8_bl_a64,256,8,24.7116,4651152958151299108
btree8,256,8,20.3827,4651152958151299108
btree8_a64,256,8,20.5582,4651152958151299108
fusion8_bf,256,8,42.8360,4651152958151299108
fusion8,256,8,41.1194,4651152958151299108
sorted_array,256,8,12.9486,4651152958151299108
fusion8_bf,256,9,42.0776,4651152958151299108
sorted_array,256,9,12.9852,4651152958151299108
btree8,256,9,20.6696,4651152958151299108
btree8_a64,256,9,20.9396,4651152958151299108
fusion16_w,256,9,38.3759,4651152958151299108
btree8_bl,256,9,26.6403,4651152958151299108
btree8_bl_a64,256,9,26.2207,4651152958151299108
btree16_bl_a64,256,9,17.1829,4651152958151299108
fusion8_c,256,9,41.0248,4651152958151299108
fusion8,256,9,38.8489,4651152958151299108
fusion8,256,10,38.7192,4651152958151299108
btree16_bl_a64,256,10,17.2028,4651152958151299108
btree8_bl_a64,256,10,24.7223,4651152958151299108
sorted_array,256,10,13.0096,4651152958151299108
fusion16_w,256,10,38.3301,4651152958151299108
btree8_bl,256,10,26.6251,4651152958151299108
fusion8_c,256,10,41.0110,4651152958151299108
btree8_a64,256,10,19.6472,4651152958151299108
btree8,256,10,21.6553,4651152958151299108
fusion8_bf,256,10,42.2668,4651152958151299108
fusion8,256,11,39.0747,4651152958151299108
btree8_a64,256,11,19.5145,4651152958151299108
fusion8_bf,256,11,42.3767,4651152958151299108
btree8,256,11,20.7672,4651152958151299108
btree8_bl_a64,256,11,24.8169,4651152958151299108
btree8_bl,256,11,26.7258,4651152958151299108
sorted_array,256,11,12.9700,4651152958151299108
fusion8_c,256,11,41.1575,4651152958151299108
btree16_bl_a64,256,11,17.1448,4651152958151299108
fusion16_w,256,11,39.3936,4651152958151299108
btree8_bl,256,12,27.4384,4651152958151299108
fusion16_w,256,12,38.3453,4651152958151299108
fusion8_bf,256,12,41.8121,4651152958151299108
fusion8,256,12,39.3387,4651152958151299108
sorted_array,256,12,12.9425,4651152958151299108
btree8_a64,256,12,19.7601,4651152958151299108
btree8_bl_a64,256,12,24.7391,4651152958151299108
fusion8_c,256,12,40.8569,4651152958151299108
btree16_bl_a64,256,12,17.1829,4651152958151299108
