structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.5227,3802318259966007189
sorted_array,256,1,4.5029,3802318259966007189
sorted_array,256,2,4.5074,3802318259966007189
sorted_array,256,3,4.5639,3802318259966007189
sorted_array,256,4,4.4952,3802318259966007189
sorted_array,256,5,4.5013,3802318259966007189
sorted_array,256,6,4.4968,3802318259966007189
sorted_array,256,7,4.5837,3802318259966007189
sorted_array,256,8,4.5639,3802318259966007189
sorted_array,256,9,4.5456,3802318259966007189
sorted_array,256,10,4.5013,3802318259966007189
sorted_array,256,11,4.5135,3802318259966007189
sorted_array,256,12,4.5242,3802318259966007189
sorted_array,256,13,4.5303,3802318259966007189
sorted_array,256,14,4.5074,3802318259966007189
btree8,256,0,21.9254,3802318259966007189
btree8,256,1,20.9747,3802318259966007189
btree8,256,2,20.8801,3802318259966007189
btree8,256,3,20.6055,3802318259966007189
btree8,256,4,20.3522,3802318259966007189
btree8,256,5,20.4727,3802318259966007189
btree8,256,6,20.5261,3802318259966007189
btree8,256,7,20.5185,3802318259966007189
btree8,256,8,20.4544,3802318259966007189
btree8,256,9,20.5093,3802318259966007189
btree8,256,10,20.5933,3802318259966007189
btree8,256,11,20.4742,3802318259966007189
btree8,256,12,20.2835,3802318259966007189
btree8,256,13,20.2423,3802318259966007189
btree8,256,14,20.5292,3802318259966007189
btree8_bl,256,0,17.4072,3802318259966007189
btree8_bl,256,1,17.3203,3802318259966007189
btree8_bl,256,2,17.0471,3802318259966007189
btree8_bl,256,3,16.9830,3802318259966007189
btree8_bl,256,4,16.9968,3802318259966007189
btree8_bl,256,5,16.9220,3802318259966007189
btree8_bl,256,6,16.9815,3802318259966007189
btree8_bl,256,7,16.9312,3802318259966007189
btree8_bl,256,8,17.0547,3802318259966007189
btree8_bl,256,9,17.0395,3802318259966007189
btree8_bl,256,10,16.9876,3802318259966007189
btree8_bl,256,11,16.9785,3802318259966007189
btree8_bl,256,12,16.9800,3802318259966007189
btree8_bl,256,13,16.9571,3802318259966007189
btree8_bl,256,14,16.9800,3802318259966007189
btree8_a64,256,0,19.9478,3802318259966007189
btree8_a64,256,1,19.7998,3802318259966007189
btree8_a64,256,2,19.7052,3802318259966007189
btree8_a64,256,3,19.5999,3802318259966007189
btree8_a64,256,4,19.3161,3802318259966007189
btree8_a64,256,5,19.6732,3802318259966007189
btree8_a64,256,6,20.7153,3802318259966007189
btree8_a64,256,7,19.9387,3802318259966007189
btree8_a64,256,8,19.9341,3802318259966007189
btree8_a64,256,9,19.8914,3802318259966007189
btree8_a64,256,10,19.6701,3802318259966007189
btree8_a64,256,11,19.6945,3802318259966007189
btree8_a64,256,12,19.4946,3802318259966007189
btree8_a64,256,13,19.2276,3802318259966007189
btree8_a64,256,14,19.3161,3802318259966007189
btree8_bl_a64,256,0,16.4230,3802318259966007189
btree8_bl_a64,256,1,16.3330,3802318259966007189
btree8_bl_a64,256,2,16.3361,3802318259966007189
btree8_bl_a64,256,3,16.2857,3802318259966007189
btree8_bl_a64,256,4,17.2958,3802318259966007189
btree8_bl_a64,256,5,16.6580,3802318259966007189
btree8_bl_a64,256,6,16.6031,3802318259966007189
btree8_bl_a64,256,7,16.6306,3802318259966007189
btree8_bl_a64,256,8,16.6077,3802318259966007189
btree8_bl_a64,256,9,16.2979,3802318259966007189
btree8_bl_a64,256,10,16.2643,3802318259966007189
btree8_bl_a64,256,11,16.3910,3802318259966007189
btree8_bl_a64,256,12,16.3544,3802318259966007189
btree8_bl_a64,256,13,16.2445,3802318259966007189
btree8_bl_a64,256,14,16.0782,3802318259966007189
btree16_bl_a64,256,0,12.7380,3802318259966007189
btree16_bl_a64,256,1,12.8372,3802318259966007189
btree16_bl_a64,256,2,12.7213,3802318259966007189
btree16_bl_a64,256,3,12.7502,3802318259966007189
btree16_bl_a64,256,4,12.6907,3802318259966007189
btree16_bl_a64,256,5,12.7182,3802318259966007189
btree16_bl_a64,256,6,12.6709,3802318259966007189
btree16_bl_a64,256,7,12.7045,3802318259966007189
btree16_bl_a64,256,8,12.7640,3802318259966007189
btree16_bl_a64,256,9,12.6999,3802318259966007189
btree16_bl_a64,256,10,12.6633,3802318259966007189
btree16_bl_a64,256,11,12.6602,3802318259966007189
btree16_bl_a64,256,12,12.7228,3802318259966007189
btree16_bl_a64,256,13,12.6740,3802318259966007189
btree16_bl_a64,256,14,12.7029,3802318259966007189
fusion8,256,0,34.9075,3802318259966007189
fusion8,256,1,34.6695,3802318259966007189
fusion8,256,2,34.6436,3802318259966007189
fusion8,256,3,34.6008,3802318259966007189
fusion8,256,4,34.5932,3802318259966007189
fusion8,256,5,34.6069,3802318259966007189
fusion8,256,6,35.7941,3802318259966007189
fusion8,256,7,34.7549,3802318259966007189
fusion8,256,8,34.8328,3802318259966007189
fusion8,256,9,35.1135,3802318259966007189
fusion8,256,10,34.4345,3802318259966007189
fusion8,256,11,34.4101,3802318259966007189
fusion8,256,12,34.3826,3802318259966007189
fusion8,256,13,34.4208,3802318259966007189
fusion8,256,14,34.5230,3802318259966007189
fusion8_bf,256,0,37.1307,3802318259966007189
fusion8_bf,256,1,37.7777,3802318259966007189
fusion8_bf,256,2,37.1780,3802318259966007189
fusion8_bf,256,3,36.9690,3802318259966007189
fusion8_bf,256,4,36.9873,3802318259966007189
fusion8_bf,256,5,36.9568,3802318259966007189
fusion8_bf,256,6,37.5336,3802318259966007189
fusion8_bf,256,7,37.3856,3802318259966007189
fusion8_bf,256,8,37.1902,3802318259966007189
fusion8_bf,256,9,37.0605,3802318259966007189
fusion8_bf,256,10,36.9812,3802318259966007189
fusion8_bf,256,11,37.0956,3802318259966007189
fusion8_bf,256,12,37.8113,3802318259966007189
fusion8_bf,256,13,37.2299,3802318259966007189
fusion8_bf,256,14,37.1902,3802318259966007189
fusion8_c,256,0,36.0123,3802318259966007189
fusion8_c,256,1,35.6766,3802318259966007189
fusion8_c,256,2,35.5576,3802318259966007189
fusion8_c,256,3,36.0214,3802318259966007189
fusion8_c,256,4,35.9955,3802318259966007189
fusion8_c,256,5,36.2503,3802318259966007189
fusion8_c,256,6,35.7208,3802318259966007189
fusion8_c,256,7,35.5759,3802318259966007189
fusion8_c,256,8,35.5423,3802318259966007189
fusion8_c,256,9,35.5408,3802318259966007189
fusion8_c,256,10,35.5118,3802318259966007189
fusion8_c,256,11,36.2213,3802318259966007189
fusion8_c,256,12,35.5362,3802318259966007189
fusion8_c,256,13,35.5774,3802318259966007189
fusion8_c,256,14,35.4843,3802318259966007189
fusion16_w,256,0,27.5375,3802318259966007189
fusion16_w,256,1,27.5116,3802318259966007189
fusion16_w,256,2,27.4231,3802318259966007189
fusion16_w,256,3,27.4826,3802318259966007189
fusion16_w,256,4,27.6199,3802318259966007189
fusion16_w,256,5,27.3743,3802318259966007189
fusion16_w,256,6,27.4307,3802318259966007189
fusion16_w,256,7,27.3819,3802318259966007189
fusion16_w,256,8,27.2644,3802318259966007189
fusion16_w,256,9,27.3193,3802318259966007189
fusion16_w,256,10,27.5101,3802318259966007189
fusion16_w,256,11,27.4353,3802318259966007189
fusion16_w,256,12,28.2990,3802318259966007189
fusion16_w,256,13,27.8351,3802318259966007189
fusion16_w,256,14,27.3682,3802318259966007189
sorted_array,512,0,4.9194,18445980686323395203
sorted_array,512,1,4.9255,18445980686323395203
sorted_array,512,2,4.9210,18445980686323395203
sorted_array,512,3,4.9606,18445980686323395203
sorted_array,512,4,4.9286,18445980686323395203
sorted_array,512,5,4.9179,18445980686323395203
sorted_array,512,6,4.9179,18445980686323395203
sorted_array,512,7,4.9194,18445980686323395203
sorted_array,512,8,4.9179,18445980686323395203
sorted_array,512,9,4.9179,18445980686323395203
sorted_array,512,10,4.9530,18445980686323395203
sorted_array,512,11,4.9225,18445980686323395203
sorted_array,512,12,4.9210,18445980686323395203
sorted_array,512,13,4.9194,18445980686323395203
sorted_array,512,14,4.9225,18445980686323395203
btree8,512,0,23.7198,18445980686323395203
btree8,512,1,23.4665,18445980686323395203
btree8,512,2,23.4161,18445980686323395203
btree8,512,3,24.4049,18445980686323395203
btree8,512,4,23.2666,18445980686323395203
btree8,512,5,23.3597,18445980686323395203
btree8,512,6,23.3505,18445980686323395203
btree8,512,7,23.3154,18445980686323395203
btree8,512,8,23.3414,18445980686323395203
btree8,512,9,23.3170,18445980686323395203
btree8,512,10,23.3292,18445980686323395203
btree8,512,11,23.3124,18445980686323395203
btree8,512,12,23.2773,18445980686323395203
btree8,512,13,23.4879,18445980686323395203
btree8,512,14,23.4329,18445980686323395203
btree8_bl,512,0,15.1886,18445980686323395203
btree8_bl,512,1,15.1505,18445980686323395203
btree8_bl,512,2,15.0955,18445980686323395203
btree8_bl,512,3,15.1352,18445980686323395203
btree8_bl,512,4,15.0864,18445980686323395203
btree8_bl,512,5,15.1077,18445980686323395203
btree8_bl,512,6,15.0894,18445980686323395203
btree8_bl,512,7,15.0635,18445980686323395203
btree8_bl,512,8,15.0970,18445980686323395203
btree8_bl,512,9,15.0665,18445980686323395203
btree8_bl,512,10,15.0970,18445980686323395203
btree8_bl,512,11,15.0681,18445980686323395203
btree8_bl,512,12,15.1184,18445980686323395203
btree8_bl,512,13,15.8401,18445980686323395203
btree8_bl,512,14,15.1810,18445980686323395203
btree8_a64,512,0,22.4594,18445980686323395203
btree8_a64,512,1,22.1573,18445980686323395203
btree8_a64,512,2,22.0764,18445980686323395203
