structure,n,rep,ns_per_query,checksum
fusion8,256,0,36.7783,3802318259966007189
fusion8_c,256,0,36.6821,3802318259966007189
btree8_a64,256,0,20.4956,3802318259966007189
btree16_bl_a64,256,0,12.9425,3802318259966007189
btree8,256,0,22.3251,3802318259966007189
btree8_bl,256,0,18.1870,3802318259966007189
fusion16_w,256,0,28.2059,3802318259966007189
fusion8_bf,256,0,37.0148,3802318259966007189
btree8_bl_a64,256,0,16.5939,3802318259966007189
sorted_array,256,0,4.6127,3802318259966007189
btree8_bl,256,1,17.5369,3802318259966007189
fusion8,256,1,35.6140,3802318259966007189
btree16_bl_a64,256,1,12.9669,3802318259966007189
fusion16_w,256,1,28.2837,3802318259966007189
btree8_bl_a64,256,1,16.6733,3802318259966007189
btree8_a64,256,1,20.4300,3802318259966007189
fusion8_c,256,1,37.0911,3802318259966007189
sorted_array,256,1,4.5959,3802318259966007189
btree8,256,1,22.0261,3802318259966007189
fusion8_bf,256,1,37.7945,3802318259966007189
btree8_bl,256,2,17.9062,3802318259966007189
sorted_array,256,2,4.6188,3802318259966007189
btree16_bl_a64,256,2,12.9944,3802318259966007189
fusion8_c,256,2,36.7630,3802318259966007189
btree8_a64,256,2,20.5261,3802318259966007189
btree8,256,2,22.2305,3802318259966007189
fusion16_w,256,2,28.5095,3802318259966007189
fusion8,256,2,35.9100,3802318259966007189
fusion8_bf,256,2,38.3560,3802318259966007189
btree8_bl_a64,256,2,16.5253,3802318259966007189
fusion8_c,256,3,36.7569,3802318259966007189
fusion8_bf,256,3,37.4374,3802318259966007189
btree16_bl_a64,256,3,12.9807,3802318259966007189
btree8_bl_a64,256,3,16.6611,3802318259966007189
fusion8,256,3,35.4767,3802318259966007189
btree8,256,3,21.6141,3802318259966007189
sorted_array,256,3,4.6112,3802318259966007189
fusion16_w,256,3,28.3600,3802318259966007189
btree8_a64,256,3,20.3339,3802318259966007189
btree8_bl,256,3,17.7292,3802318259966007189
btree8_bl,256,4,17.6041,3802318259966007189
fusion16_w,256,4,28.2135,3802318259966007189
btree8_bl_a64,256,4,16.5924,3802318259966007189
btree16_bl_a64,256,4,12.9517,3802318259966007189
btree8,256,4,21.0129,3802318259966007189
fusion8,256,4,35.6461,3802318259966007189
fusion8_c,256,4,36.7203,3802318259966007189
fusion8_bf,256,4,38.6948,3802318259966007189
sorted_array,256,4,4.6265,3802318259966007189
btree8_a64,256,4,20.5978,3802318259966007189
fusion8_bf,256,5,37.9608,3802318259966007189
btree8,256,5,21.2540,3802318259966007189
btree8_a64,256,5,21.6934,3802318259966007189
btree8_bl,256,5,17.7963,3802318259966007189
btree16_bl_a64,256,5,12.9486,3802318259966007189
fusion8,256,5,35.4980,3802318259966007189
fusion16_w,256,5,28.1433,3802318259966007189
sorted_array,256,5,4.5853,3802318259966007189
btree8_bl_a64,256,5,16.6611,3802318259966007189
fusion8_c,256,5,36.6409,3802318259966007189
fusion8,256,6,36.5204,3802318259966007189
btree8_a64,256,6,20.3171,3802318259966007189
sorted_array,256,6,4.6082,3802318259966007189
btree8_bl,256,6,17.6559,3802318259966007189
btree16_bl_a64,256,6,13.0188,3802318259966007189
fusion8_bf,256,6,39.3448,3802318259966007189
