"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","branch-free rank vs original rank",256,1.09083559727516,1.0833222608673,1.10724577319051
"gcc","tput","blocked","branch-free rank vs original rank",256,1.06674121329128,1.05500271344095,1.07335330220539
"clang","lat","shuffled","branch-free rank vs original rank",256,1.07378240823318,1.04070908639779,1.0841918161449
"gcc","lat","shuffled","branch-free rank vs original rank",256,1.07873739260366,1.07304655135378,1.115601349128
"clang","tput","shuffled","branch-free rank vs original rank",256,1.01581433120339,0.995107959005729,1.03509950160829
"gcc","tput","shuffled","branch-free rank vs original rank",256,1.04740335600535,1.04484172771885,1.07520319940155
"gcc","lat","blocked","compact 128-B node vs 184-B node",256,0.97054142901948,0.970277790470327,0.976647686397683
"gcc","tput","blocked","compact 128-B node vs 184-B node",256,0.994938665392668,0.98462944898427,1.02467244308622
"clang","lat","shuffled","compact 128-B node vs 184-B node",256,0.948995148679767,0.947819661721411,0.969454476783986
"gcc","lat","shuffled","compact 128-B node vs 184-B node",256,0.968224726260311,0.956505207853258,0.96843550189816
"clang","tput","shuffled","compact 128-B node vs 184-B node",256,0.963564786569331,0.953904994063442,0.963804906809918
"gcc","tput","shuffled","compact 128-B node vs 184-B node",256,0.992245731027454,0.980549413379477,0.995793450949016
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",256,2.07885529970063,2.07456423499032,2.10199259229275
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",256,3.31466222973511,3.16773706730233,3.33170841881387
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,1.84785515245096,1.84476321912294,1.85007996035768
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.07705675498855,2.06926614104854,2.0896450344595
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.74371185742634,2.72518104386327,2.80348720880377
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,3.20598066750521,3.14910310114181,3.22140384067887
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,2.73884723223013,2.71608707778577,2.75752836215442
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,6.11901913875598,6.00071898557671,6.29726463261229
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.51833395704897,2.51019992670711,2.5455814231692
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.72536629646965,2.70923847475597,2.75467852916685
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,5.55739870816207,5.19604172760066,5.60947791874807
