"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","blocked","btree16_bl_a64",256,13.8916,13.6551,14.2471,3
"gcc","tput","blocked","btree16_bl_a64",256,4.3472,4.0985,4.6295,3
"clang","lat","shuffled","btree16_bl_a64",256,15.0635,15.0314,15.2573,3
"gcc","lat","shuffled","btree16_bl_a64",256,13.9694,13.9587,14.1022,3
"clang","tput","shuffled","btree16_bl_a64",256,4.9469,4.6417,5.2094,3
"gcc","tput","shuffled","btree16_bl_a64",256,4.5685,4.4586,5.0461,3
"gcc","lat","blocked","btree8",256,20.5688,20.0455,20.9564,3
"gcc","tput","blocked","btree8",256,20.7626,20.5124,21.2326,3
"clang","lat","shuffled","btree8",256,22.6624,21.5225,23.1247,3
"gcc","lat","shuffled","btree8",256,20.9305,20.6802,21.3333,3
"clang","tput","shuffled","btree8",256,21.8155,20.4742,22.0016,3
"gcc","tput","shuffled","btree8",256,21.1136,20.5841,21.5652,3
"gcc","lat","blocked","btree8_a64",256,19.606,18.8354,20.2133,3
"gcc","tput","blocked","btree8_a64",256,19.4275,18.75,19.7449,3
"clang","lat","shuffled","btree8_a64",256,21.434,21.4035,21.8704,3
"gcc","lat","shuffled","btree8_a64",256,20.1614,19.7693,20.5154,3
"clang","tput","shuffled","btree8_a64",256,20.9732,20.3857,21.3608,3
"gcc","tput","shuffled","btree8_a64",256,19.6487,19.1315,20.0699,3
"gcc","lat","blocked","btree8_bl",256,21.6263,21.6232,21.8384,3
"gcc","tput","blocked","btree8_bl",256,12.9517,12.0758,12.9959,3
"clang","lat","shuffled","btree8_bl",256,25.0473,23.822,25.0885,3
"gcc","lat","shuffled","btree8_bl",256,21.9543,21.5042,22.0459,3
"clang","tput","shuffled","btree8_bl",256,14.827,13.8138,14.9307,3
"gcc","tput","shuffled","btree8_bl",256,13.3224,12.2223,13.3499,3
"gcc","lat","blocked","btree8_bl_a64",256,20.1584,19.4519,20.1645,3
"gcc","tput","blocked","btree8_bl_a64",256,11.5479,10.8154,11.6409,3
"clang","lat","shuffled","btree8_bl_a64",256,22.6562,22.1802,22.6822,3
"gcc","lat","shuffled","btree8_bl_a64",256,20.2606,19.9249,20.2667,3
"clang","tput","shuffled","btree8_bl_a64",256,13.5468,12.7518,13.6215,3
"gcc","tput","shuffled","btree8_bl_a64",256,11.8042,10.8978,11.8652,3
"gcc","lat","blocked","fusion16_w",256,37.7747,37.6358,38.3636,3
"gcc","tput","blocked","fusion16_w",256,27.1423,25.9583,27.6459,3
"clang","lat","shuffled","fusion16_w",256,38.2843,37.6846,38.3606,3
"gcc","lat","shuffled","fusion16_w",256,38.3972,37.7502,38.5025,3
"clang","tput","shuffled","fusion16_w",256,26.7746,25.9308,27.0966,3
"gcc","tput","shuffled","fusion16_w",256,27.0645,26.5411,27.742,3
"gcc","lat","blocked","fusion8",256,39.2288,38.4064,39.6225,3
"gcc","tput","blocked","fusion8",256,34.8129,34.0103,35.556,3
"clang","lat","shuffled","fusion8",256,40.8157,40.7349,41.1209,3
"gcc","lat","shuffled","fusion8",256,39.9414,39.7293,40.239,3
"clang","tput","shuffled","fusion8",256,37.4954,37.3596,38.0692,3
"gcc","tput","shuffled","fusion8",256,35.2448,33.844,36.0779,3
"gcc","lat","blocked","fusion8_bf",256,43.1686,41.6641,43.5059,3
"gcc","tput","blocked","fusion8_bf",256,37.2833,35.8627,37.8799,3
"clang","lat","shuffled","fusion8_bf",256,43.0969,42.3599,43.4616,3
"gcc","lat","shuffled","fusion8_bf",256,43.306,43.0008,43.6813,3
"clang","tput","shuffled","fusion8_bf",256,38.652,38.3377,38.7833,3
"gcc","tput","shuffled","fusion8_bf",256,37.7945,35.7803,37.8647,3
"gcc","lat","blocked","fusion8_c",256,41.7526,40.5426,42.1829,3
"gcc","tput","blocked","fusion8_c",256,36.4655,36.1847,36.7722,3
"clang","lat","shuffled","fusion8_c",256,41.835,41.0599,41.8533,3
"gcc","lat","shuffled","fusion8_c",256,41.9205,41.5558,42.3477,3
"clang","tput","shuffled","fusion8_c",256,37.0102,35.9512,37.2406,3
"gcc","tput","shuffled","fusion8_c",256,37.2879,35.2249,37.3566,3
"gcc","lat","blocked","sorted_array",256,13.0539,12.7579,13.092,3
"gcc","tput","blocked","sorted_array",256,4.3869,4.364,4.48,3
"clang","lat","shuffled","sorted_array",256,22.6791,22.5098,23.4177,3
"gcc","lat","shuffled","sorted_array",256,13.0478,13.0203,13.0707,3
"clang","tput","shuffled","sorted_array",256,23.0179,22.7753,23.97,3
"gcc","tput","shuffled","sorted_array",256,4.3854,4.2953,4.4769,3
"gcc","lat","blocked","btree16_bl_a64",512,20.3491,20.0241,20.5917,3
"gcc","tput","blocked","btree16_bl_a64",512,14.2014,14.18,14.3967,3
"clang","lat","shuffled","btree16_bl_a64",512,22.3312,21.7651,22.5601,3
"gcc","lat","shuffled","btree16_bl_a64",512,20.929,20.1828,21.1578,3
"clang","tput","shuffled","btree16_bl_a64",512,15.9607,15.9058,15.9668,3
"gcc","tput","shuffled","btree16_bl_a64",512,14.7186,14.6194,14.8788,3
"gcc","lat","blocked","btree8",512,23.3841,22.7661,23.8678,3
"gcc","tput","blocked","btree8",512,23.6893,23.2285,24.2859,3
"clang","lat","shuffled","btree8",512,26.0788,25.6332,26.1246,3
"gcc","lat","shuffled","btree8",512,24.0631,23.9731,24.3042,3
"clang","tput","shuffled","btree8",512,24.379,24.0768,24.5132,3
"gcc","tput","shuffled","btree8",512,24.2661,23.6694,24.2798,3
"gcc","lat","blocked","btree8_a64",512,22.5235,21.4691,22.7631,3
"gcc","tput","blocked","btree8_a64",512,22.1222,21.7972,22.3694,3
"clang","lat","shuffled","btree8_a64",512,25.2563,24.7269,25.5981,3
"gcc","lat","shuffled","btree8_a64",512,22.4838,22.3892,22.7417,3
"clang","tput","shuffled","btree8_a64",512,22.5113,22.4762,23.1857,3
"gcc","tput","shuffled","btree8_a64",512,22.8745,22.3099,22.998,3
"gcc","lat","blocked","btree8_bl",512,21.7926,21.3608,21.7941,3
"gcc","tput","blocked","btree8_bl",512,8.6197,8.6151,8.9859,3
"clang","lat","shuffled","btree8_bl",512,24.0707,23.2346,24.1119,3
"gcc","lat","shuffled","btree8_bl",512,21.8262,21.0831,21.8887,3
"clang","tput","shuffled","btree8_bl",512,9.8038,9.613,10.112,3
"gcc","tput","shuffled","btree8_bl",512,9.05,8.992,9.0988,3
"gcc","lat","blocked","btree8_bl_a64",512,19.3954,19.0704,19.3954,3
"gcc","tput","blocked","btree8_bl_a64",512,7.8598,7.7301,8.1451,3
"clang","lat","shuffled","btree8_bl_a64",512,21.6904,21.6354,21.698,3
"gcc","lat","shuffled","btree8_bl_a64",512,19.5236,19.4427,19.545,3
"clang","tput","shuffled","btree8_bl_a64",512,9.0256,8.8852,9.3719,3
"gcc","tput","shuffled","btree8_bl_a64",512,8.0811,7.9437,8.1467,3
"gcc","lat","blocked","fusion16_w",512,50.5905,50.5661,51.2192,3
"gcc","tput","blocked","fusion16_w",512,41.8976,41.8915,42.0898,3
"clang","lat","shuffled","fusion16_w",512,51.059,50.1724,51.4206,3
"gcc","lat","shuffled","fusion16_w",512,51.4008,50.4959,51.8692,3
"clang","tput","shuffled","fusion16_w",512,41.6077,41.4886,41.6397,3
"gcc","tput","shuffled","fusion16_w",512,42.0929,41.4368,42.4591,3
"gcc","lat","blocked","fusion8",512,39.8346,38.7695,40.2527,3
"gcc","tput","blocked","fusion8",512,34.4727,34.3491,35.0891,3
"clang","lat","shuffled","fusion8",512,41.5649,41.4581,42.2516,3
"gcc","lat","shuffled","fusion8",512,40.2725,39.9582,40.5411,3
"clang","tput","shuffled","fusion8",512,37.4039,37.3413,37.912,3
"gcc","tput","shuffled","fusion8",512,35.0784,34.3719,35.6842,3
"gcc","lat","blocked","fusion8_bf",512,45.2972,43.1351,45.3751,3
"gcc","tput","blocked","fusion8_bf",512,38.0707,37.2223,38.1607,3
"clang","lat","shuffled","fusion8_bf",512,44.8715,43.9224,45.134,3
"gcc","lat","shuffled","fusion8_bf",512,45.5673,44.371,45.6238,3
"clang","tput","shuffled","fusion8_bf",512,39.3799,38.5208,39.4501,3
"gcc","tput","shuffled","fusion8_bf",512,38.4048,36.9095,38.4766,3
"gcc","lat","blocked","fusion8_c",512,44.2383,42.0792,44.5206,3
"gcc","tput","blocked","fusion8_c",512,37.5397,36.6318,38.9648,3
"clang","lat","shuffled","fusion8_c",512,43.3594,42.453,43.6111,3
"gcc","lat","shuffled","fusion8_c",512,44.342,43.1412,44.426,3
"clang","tput","shuffled","fusion8_c",512,38.0341,37.9944,38.1531,3
"gcc","tput","shuffled","fusion8_c",512,38.2706,36.8759,38.3759,3
"gcc","lat","blocked","sorted_array",512,14.36,14.0747,14.3677,3
"gcc","tput","blocked","sorted_array",512,5.0583,5.0537,5.0766,3
"clang","lat","shuffled","sorted_array",512,28.5889,28.2288,29.0817,3
"gcc","lat","shuffled","sorted_array",512,14.3829,14.3814,14.3982,3
"clang","tput","shuffled","sorted_array",512,28.6667,28.6301,29.3442,3
"gcc","tput","shuffled","sorted_array",512,5.0629,4.9942,5.072,3
"gcc","lat","blocked","btree16_bl_a64",1024,21.785,21.3547,21.817,3
"gcc","tput","blocked","btree16_bl_a64",1024,11.2305,11.0626,11.8042,3
"clang","lat","shuffled","btree16_bl_a64",1024,23.4161,23.3246,23.5031,3
"gcc","lat","shuffled","btree16_bl_a64",1024,21.9315,21.9254,22.0734,3
"clang","tput","shuffled","btree16_bl_a64",1024,12.0834,11.85,12.8372,3
"gcc","tput","shuffled","btree16_bl_a64",1024,11.4853,11.0718,12.0834,3
"gcc","lat","blocked","btree8",1024,26.3794,25.9796,26.7395,3
"gcc","tput","blocked","btree8",1024,26.9882,26.9211,27.4811,3
"clang","lat","shuffled","btree8",1024,31.0745,30.4306,31.1539,3
"gcc","lat","shuffled","btree8",1024,27.1683,26.8051,27.182,3
"clang","tput","shuffled","btree8",1024,29.0771,28.8651,29.48,3
"gcc","tput","shuffled","btree8",1024,27.2766,26.9989,27.5284,3
"gcc","lat","blocked","btree8_a64",1024,24.7269,24.3179,25.3784,3
"gcc","tput","blocked","btree8_a64",1024,25.0031,24.8245,25.0778,3
"clang","lat","shuffled","btree8_a64",1024,29.2023,29.0604,29.8233,3
"gcc","lat","shuffled","btree8_a64",1024,25.6287,25.56,25.6302,3
"clang","tput","shuffled","btree8_a64",1024,27.0691,26.8677,28.125,3
"gcc","tput","shuffled","btree8_a64",1024,25.4242,25.1221,25.885,3
"gcc","lat","blocked","btree8_bl",1024,27.4124,26.7792,27.4841,3
"gcc","tput","blocked","btree8_bl",1024,21.7178,21.5332,21.9284,3
"clang","lat","shuffled","btree8_bl",1024,30.3299,30.0079,30.3314,3
"gcc","lat","shuffled","btree8_bl",1024,27.5635,27.2583,27.7969,3
"clang","tput","shuffled","btree8_bl",1024,23.8403,23.111,24.0051,3
"gcc","tput","shuffled","btree8_bl",1024,21.701,21.6675,21.8185,3
"gcc","lat","blocked","btree8_bl_a64",1024,25.0626,24.5087,25.0748,3
"gcc","tput","blocked","btree8_bl_a64",1024,19.1391,18.7027,19.2276,3
"clang","lat","shuffled","btree8_bl_a64",1024,27.655,27.5589,27.6825,3
"gcc","lat","shuffled","btree8_bl_a64",1024,24.9802,24.8917,25.0687,3
"clang","tput","shuffled","btree8_bl_a64",1024,21.4981,21.4706,21.5759,3
"gcc","tput","shuffled","btree8_bl_a64",1024,19.0567,18.8416,19.1986,3
"gcc","lat","blocked","fusion16_w",1024,56.2164,55.1056,56.7078,3
"gcc","tput","blocked","fusion16_w",1024,47.8043,47.4731,48.201,3
"clang","lat","shuffled","fusion16_w",1024,56.0379,55.9921,56.337,3
"gcc","lat","shuffled","fusion16_w",1024,56.4819,56.3141,56.5567,3
"clang","tput","shuffled","fusion16_w",1024,45.578,45.5231,46.9025,3
"gcc","tput","shuffled","fusion16_w",1024,46.7285,46.1304,47.9172,3
"gcc","lat","blocked","fusion8",1024,47.1054,46.2173,47.2122,3
"gcc","tput","blocked","fusion8",1024,42.9291,42.7933,43.0511,3
"clang","lat","shuffled","fusion8",1024,49.9832,49.971,50.3372,3
"gcc","lat","shuffled","fusion8",1024,48.2483,48.0896,49.0692,3
"clang","tput","shuffled","fusion8",1024,46.5485,46.344,47.0718,3
