"compiler","mode","order","comparison","a","b","b_lo","b_hi","ratio_at_max_n","crossover_log2n","first_n_below_1_every_session"
"gcc","lat","blocked","branch-free rank vs original rank",1.18487221247391,-0.00650016556537496,-0.00751911555828479,-0.00548121557246513,1.03200986038583,28.4411544005416,NA
"gcc","tput","blocked","branch-free rank vs original rank",1.15625055040422,-0.00630377161979949,-0.00837178948009086,-0.00423575375950813,1.00678457529292,24.7868355372281,2097152
"clang","lat","shuffled","branch-free rank vs original rank",1.09139327776674,-0.00354725865116125,-0.00457351744661173,-0.00252099985571076,1.01746319423089,25.7644809004322,NA
"gcc","lat","shuffled","branch-free rank vs original rank",1.16857362676324,-0.00586679879067799,-0.00694967268800025,-0.00478392489335574,1.03170965997609,28.7334938145648,NA
"clang","tput","shuffled","branch-free rank vs original rank",1.04678530288712,-0.00208910039792865,-0.00358806302445279,-0.000590137771404499,1.00423016496821,22.3949518814443,16384
"gcc","tput","shuffled","branch-free rank vs original rank",1.14568817824057,-0.00578280209242881,-0.00770153300494479,-0.00386407117991282,1.02358155932538,25.1933536565803,NA
"gcc","lat","blocked","compact 128-B node vs 184-B node",1.09510997899156,-0.0105111792341252,-0.0126963466122064,-0.00832601185604387,0.858837976134347,NA,256
"gcc","tput","blocked","compact 128-B node vs 184-B node",1.13978027848942,-0.0120644459196302,-0.0144144112053464,-0.00971448063391386,0.862028226127311,NA,8192
"clang","lat","shuffled","compact 128-B node vs 184-B node",0.992325975989648,-0.00366523268829886,-0.00503127117007259,-0.00229919420652514,0.920691651547005,NA,256
"gcc","lat","shuffled","compact 128-B node vs 184-B node",1.01290869334241,-0.00474971252432509,-0.00575310257257369,-0.0037463224760765,0.906770781538545,NA,256
"clang","tput","shuffled","compact 128-B node vs 184-B node",0.994401658760956,-0.0037939848721881,-0.00493597169974939,-0.0026519980446268,0.916121528684614,NA,256
"gcc","tput","shuffled","compact 128-B node vs 184-B node",1.04350922081195,-0.00535663984711053,-0.00675743821223746,-0.00395584148198361,0.907667057367718,NA,256
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",2.80591830061414,-0.0514196807137765,-0.0595415586299722,-0.0432978027975808,1.32463637795757,35.1211496365883,NA
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",3.91071023221201,-0.0190845011845765,-0.0498266781969803,0.0116576758278272,3.41589125557892,NA,NA
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2.53932267908553,-0.0563621687836284,-0.0631138571717589,-0.0496104803954978,1.15988508137443,27.3112747842426,NA
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",2.9910652522458,-0.0749547597828173,-0.0843802363369039,-0.0655292832287307,1.18922353839591,26.563559912872,NA
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",2.79392173408894,0.0278477279804955,0.00370970285482726,0.0519857531061638,3.6728003697168,NA,NA
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",4.37640452305901,-0.0755388037031001,-0.103934264256147,-0.0471433431500528,2.70009348174621,44.697617086044,NA
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",3.74587572847866,-0.100831897065075,-0.11227714994825,-0.0893866441818987,1.25004344176138,27.232213301576,NA
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",6.42684850667597,-0.162025702035368,-0.210718179922431,-0.113333224148304,2.36041032719659,33.4937509204026,NA
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.38090843553327,-0.0917168587288265,-0.102480326345379,-0.0809533911122737,1.27548463625104,25.9593325429161,NA
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",3.74099588886499,-0.108946940100846,-0.121566735035664,-0.0963271451660288,1.23562817932619,25.1589983741425,NA
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",5.39815607573321,-0.113513849640923,-0.159527303698731,-0.0675003955831153,2.87151554554223,38.7455459368689,NA
