"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","branch-free rank vs original rank",256,1.08850272262648,1.07941910303131,1.09732736777463
"gcc","tput","blocked","branch-free rank vs original rank",256,1.07429443261315,1.06865401987353,1.0758241791396
"clang","lat","shuffled","branch-free rank vs original rank",256,1.05134103428124,1.0453514348699,1.06571449534105
"gcc","lat","shuffled","branch-free rank vs original rank",256,1.07338233218398,1.07312072021525,1.08869913873697
"clang","tput","shuffled","branch-free rank vs original rank",256,1.02366119660509,1.01092537491558,1.04243935603323
"gcc","tput","shuffled","branch-free rank vs original rank",256,1.06222552945898,1.0571947255649,1.07946559381009
"gcc","lat","blocked","compact 128-B node vs 184-B node",256,0.982526723696029,0.973281315352315,0.991293672506852
"gcc","tput","blocked","compact 128-B node vs 184-B node",256,0.99011450349568,0.956947657216633,0.997210481825866
"clang","lat","shuffled","compact 128-B node vs 184-B node",256,0.964265288398399,0.961483385349734,0.969320654745009
"gcc","lat","shuffled","compact 128-B node vs 184-B node",256,0.975485769150332,0.973770599589535,0.981042764920458
"clang","tput","shuffled","compact 128-B node vs 184-B node",256,0.958016750242852,0.955040162506058,0.958611363764418
"gcc","tput","shuffled","compact 128-B node vs 184-B node",256,0.971577875087645,0.968208820309456,0.977905504731383
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",256,1.66904466129554,1.64691393567167,1.68589534466447
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",256,2.21486236865215,2.17540233820868,2.22952082649221
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,1.49324597619056,1.48154121539769,1.49732681476399
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",256,1.66100535780767,1.64699247373751,1.66261271621289
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.17716269995167,2.17037492677211,2.23874003709459
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",256,2.21494252873563,2.21287943159836,2.21577156168672
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,2.21076814462461,2.20607217738629,2.25551529579256
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",256,2.15949466724389,2.07300399437945,2.17554719262931
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,1.82232725788901,1.82149785432955,1.8286338575429
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.20992830199545,2.20483479091772,2.22890998568985
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,4.47123743039973,4.23653484587553,4.60676403036625
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",256,2.17522306796536,2.10295123734931,2.18207907165869
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.902754574218962,0.885721810204149,0.926898979266424
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",256,0.737944483296573,0.716069042619911,0.766828480325759
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.879520295202952,0.860879842114926,0.888345207246264
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.901105532830192,0.885430632477193,0.910610396030192
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.703990653469506,0.677338860189109,0.721771023661765
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",256,0.746296418791094,0.708895857577212,0.769633652252337
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",256,2.21076814462461,2.20607217738629,2.25551529579256
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",256,2.15949466724389,2.07300399437945,2.17554719262931
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,1.84033221809048,1.82149785432955,1.89040924366802
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.20992830199545,2.20483479091772,2.22890998568985
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,4.47123743039973,4.23653484587553,4.60676403036625
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",256,2.17522306796536,2.10295123734931,2.18207907165869
"gcc","lat","blocked","original fusion vs binary search",256,2.98734459282937,2.98174072759265,2.9941131025958
"gcc","tput","blocked","original fusion vs binary search",256,7.6314267923857,7.59773065902579,7.66741996233522
"clang","lat","shuffled","original fusion vs binary search",256,1.75545776537512,1.65804892731823,1.75693678973282
"gcc","lat","shuffled","original fusion vs binary search",256,3.02816520704941,3.02492756750092,3.05535532760373
"clang","tput","shuffled","original fusion vs binary search",256,1.60584719615078,1.57811340280517,1.60887343119971
"gcc","tput","shuffled","original fusion vs binary search",256,7.76056093431164,7.67674973011875,7.76638961731633
"gcc","lat","blocked","original fusion vs branch-free B-tree",256,1.44534432644144,1.4342419823994,1.45064084625287
"gcc","tput","blocked","original fusion vs branch-free B-tree",256,1.98482333412378,1.97454456636999,2.03773773773774
"clang","lat","shuffled","original fusion vs branch-free B-tree",256,1.38583407142931,1.37887427960572,1.3911114914007
"gcc","lat","shuffled","original fusion vs branch-free B-tree",256,1.46130386740331,1.4426628936827,1.4714292683476
"clang","tput","shuffled","original fusion vs branch-free B-tree",256,2.07904118008605,2.06049179692475,2.17872000945515
"gcc","tput","shuffled","original fusion vs branch-free B-tree",256,2.00825449496376,2.00358897622447,2.03095014912654
