"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","lat","blocked","btree16_bl_a64",256,17.1387,17.0746,17.2806,3
"gcc","tput","blocked","btree16_bl_a64",256,12.6678,12.5687,12.7045,3
"clang","lat","shuffled","btree16_bl_a64",256,20.5856,20.4132,20.6406,3
"gcc","lat","shuffled","btree16_bl_a64",256,17.1906,17.1631,17.3645,3
"clang","tput","shuffled","btree16_bl_a64",256,6.0165,5.7037,6.3293,3
"gcc","tput","shuffled","btree16_bl_a64",256,12.7884,12.7167,12.9669,3
"gcc","lat","blocked","btree8",256,20.4407,20.1111,20.9473,3
"gcc","tput","blocked","btree8",256,20.5185,19.9722,20.6207,3
"clang","lat","shuffled","btree8",256,21.4432,21.1395,22.0612,3
"gcc","lat","shuffled","btree8",256,20.9946,20.5963,21.2311,3
"clang","tput","shuffled","btree8",256,21.7743,21.2067,21.8781,3
"gcc","tput","shuffled","btree8",256,20.9564,20.6467,21.3425,3
"gcc","lat","blocked","btree8_a64",256,19.7449,19.6594,20.1584,3
"gcc","tput","blocked","btree8_a64",256,19.6945,19.4336,19.8822,3
"clang","lat","shuffled","btree8_a64",256,20.3842,19.9661,20.7199,3
"gcc","lat","shuffled","btree8_a64",256,20.2744,19.9326,20.5521,3
"clang","tput","shuffled","btree8_a64",256,21.9193,21.315,22.0627,3
"gcc","tput","shuffled","btree8_a64",256,20.3232,20.0165,20.5521,3
"gcc","lat","blocked","btree8_bl",256,26.8005,26.7319,27.0218,3
"gcc","tput","blocked","btree8_bl",256,16.983,16.7862,17.2897,3
"clang","lat","shuffled","btree8_bl",256,29.2175,29.0161,29.6539,3
"gcc","lat","shuffled","btree8_bl",256,27.15,26.6479,27.211,3
"clang","tput","shuffled","btree8_bl",256,17.897,16.922,18.0603,3
"gcc","tput","shuffled","btree8_bl",256,17.4423,16.9968,17.6025,3
"gcc","lat","blocked","btree8_bl_a64",256,25.0092,24.5224,25.0351,3
"gcc","tput","blocked","btree8_bl_a64",256,16.3544,15.8356,16.5115,3
