"compiler","mode","order","comparison","a","b","b_lo","b_hi","ratio_at_max_n","crossover_log2n","first_n_below_1_every_session"
"gcc","lat","blocked","branch-free rank vs original rank",1.18095503491764,-0.00694305745688918,-0.00841764280042466,-0.0054684721133537,1.01815964338877,26.0627304384593,2097152
"gcc","tput","blocked","branch-free rank vs original rank",1.15525310800703,-0.00671524623018656,-0.00940062358414447,-0.00402986887622865,1.00963891833039,23.1194959477632,NA
"clang","lat","shuffled","branch-free rank vs original rank",1.09695058137457,-0.00370667322897539,-0.00452426534724059,-0.00288908111071019,1.00320959304799,26.1556860790151,NA
"gcc","lat","shuffled","branch-free rank vs original rank",1.15703665776581,-0.00596225358085726,-0.00700557453338465,-0.00491893262832987,1.02045375771318,26.3384734708364,NA
"clang","tput","shuffled","branch-free rank vs original rank",1.06242029257118,-0.0028439537787399,-0.00436596613277008,-0.00132194142470973,1.00598025009835,21.9484202021172,16384
"gcc","tput","shuffled","branch-free rank vs original rank",1.13094179304072,-0.00452000087474515,-0.00619902730525248,-0.00284097444423782,1.04117821334363,28.9694176327136,NA
"gcc","lat","blocked","compact 128-B node vs 184-B node",1.0668397641631,-0.0084410966037047,-0.0107241813542324,-0.00615801185317704,0.889440423554586,NA,256
"gcc","tput","blocked","compact 128-B node vs 184-B node",1.1247333438969,-0.0116058322865548,-0.0150951253372257,-0.00811653923588392,0.852999632778543,NA,256
"clang","lat","shuffled","compact 128-B node vs 184-B node",0.995212283866693,-0.00371764722691498,-0.00485187726924637,-0.00258341718458358,0.921731799682289,NA,256
"gcc","lat","shuffled","compact 128-B node vs 184-B node",1.02316880939616,-0.00509712317860108,-0.00591510483984264,-0.00427914151735951,0.908955654729066,NA,256
"clang","tput","shuffled","compact 128-B node vs 184-B node",0.990066045287813,-0.00344008315260795,-0.00444504390629898,-0.00243512239891691,0.904810754444623,NA,256
"gcc","tput","shuffled","compact 128-B node vs 184-B node",1.01699298246054,-0.00532221158131083,-0.0063747877486162,-0.00426963541400547,0.888393576159153,NA,256
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",2.08187264502301,-0.0276165036040837,-0.0349791241757453,-0.020253883032422,1.28946006399344,39.1748593715184,NA
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",3.33233374966764,-0.0877309030173579,-0.101594764071794,-0.073867041962922,1.08798764593734,26.5850876880429,NA
