structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0630,3802318259966007189
sorted_array,256,1,13.1210,3802318259966007189
sorted_array,256,2,13.0630,3802318259966007189
sorted_array,256,3,13.1058,3802318259966007189
sorted_array,256,4,13.0661,3802318259966007189
sorted_array,256,5,13.1042,3802318259966007189
sorted_array,256,6,13.0646,3802318259966007189
sorted_array,256,7,13.0890,3802318259966007189
sorted_array,256,8,13.1012,3802318259966007189
sorted_array,256,9,13.1226,3802318259966007189
sorted_array,256,10,13.0646,3802318259966007189
sorted_array,256,11,13.0646,3802318259966007189
sorted_array,256,12,13.0997,3802318259966007189
sorted_array,256,13,13.0630,3802318259966007189
sorted_array,256,14,13.1027,3802318259966007189
btree8,256,0,21.3440,3802318259966007189
btree8,256,1,20.9579,3802318259966007189
btree8,256,2,20.9351,3802318259966007189
btree8,256,3,20.8557,3802318259966007189
btree8,256,4,20.8099,3802318259966007189
btree8,256,5,20.8374,3802318259966007189
btree8,256,6,20.7932,3802318259966007189
btree8,256,7,21.1075,3802318259966007189
btree8,256,8,20.6360,3802318259966007189
btree8,256,9,20.9991,3802318259966007189
btree8,256,10,21.0266,3802318259966007189
btree8,256,11,21.0266,3802318259966007189
btree8,256,12,21.0205,3802318259966007189
btree8,256,13,21.0159,3802318259966007189
btree8,256,14,20.9442,3802318259966007189
btree8_bl,256,0,22.3938,3802318259966007189
btree8_bl,256,1,22.2473,3802318259966007189
btree8_bl,256,2,22.1176,3802318259966007189
btree8_bl,256,3,21.7682,3802318259966007189
btree8_bl,256,4,21.7300,3802318259966007189
btree8_bl,256,5,21.6721,3802318259966007189
btree8_bl,256,6,21.6370,3802318259966007189
btree8_bl,256,7,21.6125,3802318259966007189
btree8_bl,256,8,21.8063,3802318259966007189
btree8_bl,256,9,21.8109,3802318259966007189
btree8_bl,256,10,21.7392,3802318259966007189
btree8_bl,256,11,21.6507,3802318259966007189
btree8_bl,256,12,21.5927,3802318259966007189
btree8_bl,256,13,21.6248,3802318259966007189
btree8_bl,256,14,22.0215,3802318259966007189
btree8_a64,256,0,20.4346,3802318259966007189
btree8_a64,256,1,20.0684,3802318259966007189
btree8_a64,256,2,20.0684,3802318259966007189
btree8_a64,256,3,20.0760,3802318259966007189
btree8_a64,256,4,20.0043,3802318259966007189
btree8_a64,256,5,19.9829,3802318259966007189
btree8_a64,256,6,20.0027,3802318259966007189
btree8_a64,256,7,19.9997,3802318259966007189
btree8_a64,256,8,19.9783,3802318259966007189
btree8_a64,256,9,19.9783,3802318259966007189
btree8_a64,256,10,20.0089,3802318259966007189
btree8_a64,256,11,19.9219,3802318259966007189
btree8_a64,256,12,19.8776,3802318259966007189
btree8_a64,256,13,19.9356,3802318259966007189
btree8_a64,256,14,19.9402,3802318259966007189
btree8_bl_a64,256,0,20.3506,3802318259966007189
btree8_bl_a64,256,1,20.2240,3802318259966007189
btree8_bl_a64,256,2,20.1340,3802318259966007189
btree8_bl_a64,256,3,20.1721,3802318259966007189
btree8_bl_a64,256,4,20.1355,3802318259966007189
btree8_bl_a64,256,5,20.0668,3802318259966007189
btree8_bl_a64,256,6,20.0943,3802318259966007189
btree8_bl_a64,256,7,20.1370,3802318259966007189
btree8_bl_a64,256,8,20.1202,3802318259966007189
btree8_bl_a64,256,9,20.2927,3802318259966007189
btree8_bl_a64,256,10,20.2515,3802318259966007189
btree8_bl_a64,256,11,20.0806,3802318259966007189
btree8_bl_a64,256,12,20.1157,3802318259966007189
btree8_bl_a64,256,13,20.1447,3802318259966007189
btree8_bl_a64,256,14,20.1523,3802318259966007189
btree16_bl_a64,256,0,14.0610,3802318259966007189
btree16_bl_a64,256,1,14.0839,3802318259966007189
btree16_bl_a64,256,2,14.0457,3802318259966007189
btree16_bl_a64,256,3,14.0701,3802318259966007189
btree16_bl_a64,256,4,14.0167,3802318259966007189
btree16_bl_a64,256,5,14.0366,3802318259966007189
btree16_bl_a64,256,6,13.9893,3802318259966007189
btree16_bl_a64,256,7,14.0259,3802318259966007189
btree16_bl_a64,256,8,13.9771,3802318259966007189
btree16_bl_a64,256,9,14.0411,3802318259966007189
btree16_bl_a64,256,10,13.9709,3802318259966007189
btree16_bl_a64,256,11,14.0167,3802318259966007189
btree16_bl_a64,256,12,13.9725,3802318259966007189
btree16_bl_a64,256,13,14.0045,3802318259966007189
btree16_bl_a64,256,14,13.9542,3802318259966007189
fusion8,256,0,39.8773,3802318259966007189
fusion8,256,1,39.6622,3802318259966007189
fusion8,256,2,39.7507,3802318259966007189
fusion8,256,3,39.7568,3802318259966007189
fusion8,256,4,39.6408,3802318259966007189
fusion8,256,5,39.4821,3802318259966007189
fusion8,256,6,39.4348,3802318259966007189
fusion8,256,7,39.4882,3802318259966007189
fusion8,256,8,39.3967,3802318259966007189
fusion8,256,9,39.4028,3802318259966007189
fusion8,256,10,39.3204,3802318259966007189
fusion8,256,11,39.3829,3802318259966007189
fusion8,256,12,39.4043,3802318259966007189
fusion8,256,13,39.3677,3802318259966007189
fusion8,256,14,39.4592,3802318259966007189
fusion8_bf,256,0,43.1747,3802318259966007189
fusion8_bf,256,1,43.2449,3802318259966007189
fusion8_bf,256,2,43.0878,3802318259966007189
fusion8_bf,256,3,43.1152,3802318259966007189
fusion8_bf,256,4,42.9718,3802318259966007189
fusion8_bf,256,5,42.9626,3802318259966007189
fusion8_bf,256,6,43.0496,3802318259966007189
fusion8_bf,256,7,43.0115,3802318259966007189
fusion8_bf,256,8,43.0771,3802318259966007189
fusion8_bf,256,9,43.0298,3802318259966007189
fusion8_bf,256,10,42.9764,3802318259966007189
fusion8_bf,256,11,43.0069,3802318259966007189
fusion8_bf,256,12,42.9535,3802318259966007189
fusion8_bf,256,13,43.0634,3802318259966007189
fusion8_bf,256,14,43.0435,3802318259966007189
fusion8_c,256,0,42.0013,3802318259966007189
fusion8_c,256,1,41.8076,3802318259966007189
fusion8_c,256,2,41.8137,3802318259966007189
fusion8_c,256,3,41.8396,3802318259966007189
fusion8_c,256,4,41.8625,3802318259966007189
fusion8_c,256,5,41.8839,3802318259966007189
fusion8_c,256,6,41.7694,3802318259966007189
fusion8_c,256,7,41.6916,3802318259966007189
fusion8_c,256,8,41.7450,3802318259966007189
fusion8_c,256,9,41.6672,3802318259966007189
fusion8_c,256,10,41.6214,3802318259966007189
fusion8_c,256,11,41.8411,3802318259966007189
fusion8_c,256,12,41.6870,3802318259966007189
fusion8_c,256,13,41.7664,3802318259966007189
fusion8_c,256,14,41.7755,3802318259966007189
fusion16_w,256,0,38.6642,3802318259966007189
fusion16_w,256,1,38.3896,3802318259966007189
fusion16_w,256,2,38.2980,3802318259966007189
fusion16_w,256,3,38.4460,3802318259966007189
fusion16_w,256,4,38.2950,3802318259966007189
fusion16_w,256,5,38.4384,3802318259966007189
fusion16_w,256,6,38.3698,3802318259966007189
fusion16_w,256,7,38.3362,3802318259966007189
fusion16_w,256,8,38.3896,3802318259966007189
fusion16_w,256,9,39.6286,3802318259966007189
fusion16_w,256,10,38.3514,3802318259966007189
fusion16_w,256,11,38.3728,3802318259966007189
fusion16_w,256,12,38.8809,3802318259966007189
fusion16_w,256,13,38.5559,3802318259966007189
fusion16_w,256,14,38.4552,3802318259966007189
sorted_array,512,0,14.3814,18445980686323395203
sorted_array,512,1,14.3341,18445980686323395203
sorted_array,512,2,14.3784,18445980686323395203
sorted_array,512,3,14.3433,18445980686323395203
sorted_array,512,4,14.3616,18445980686323395203
sorted_array,512,5,14.3448,18445980686323395203
sorted_array,512,6,14.3845,18445980686323395203
sorted_array,512,7,14.5142,18445980686323395203
sorted_array,512,8,14.3356,18445980686323395203
sorted_array,512,9,14.7507,18445980686323395203
sorted_array,512,10,16.4307,18445980686323395203
sorted_array,512,11,14.3906,18445980686323395203
sorted_array,512,12,14.3387,18445980686323395203
sorted_array,512,13,14.3768,18445980686323395203
sorted_array,512,14,14.4241,18445980686323395203
btree8,512,0,24.0906,18445980686323395203
btree8,512,1,23.8068,18445980686323395203
btree8,512,2,23.5367,18445980686323395203
btree8,512,3,23.5260,18445980686323395203
btree8,512,4,23.7427,18445980686323395203
btree8,512,5,23.5764,18445980686323395203
btree8,512,6,23.5336,18445980686323395203
btree8,512,7,23.7305,18445980686323395203
btree8,512,8,23.5580,18445980686323395203
btree8,512,9,23.4207,18445980686323395203
btree8,512,10,23.6435,18445980686323395203
btree8,512,11,23.6572,18445980686323395203
btree8,512,12,23.5336,18445980686323395203
btree8,512,13,23.7457,18445980686323395203
btree8,512,14,23.6267,18445980686323395203
btree8_bl,512,0,21.8414,18445980686323395203
btree8_bl,512,1,21.7972,18445980686323395203
btree8_bl,512,2,21.7850,18445980686323395203
btree8_bl,512,3,21.7285,18445980686323395203
btree8_bl,512,4,21.7728,18445980686323395203
btree8_bl,512,5,21.7789,18445980686323395203
btree8_bl,512,6,21.7865,18445980686323395203
btree8_bl,512,7,21.7773,18445980686323395203
btree8_bl,512,8,21.7896,18445980686323395203
btree8_bl,512,9,21.9299,18445980686323395203
btree8_bl,512,10,22.0032,18445980686323395203
btree8_bl,512,11,22.1680,18445980686323395203
btree8_bl,512,12,21.8079,18445980686323395203
btree8_bl,512,13,21.7789,18445980686323395203
btree8_bl,512,14,21.7865,18445980686323395203
btree8_a64,512,0,22.6013,18445980686323395203
btree8_a64,512,1,22.2610,18445980686323395203
btree8_a64,512,2,22.2015,18445980686323395203
btree8_a64,512,3,22.1817,18445980686323395203
btree8_a64,512,4,22.1436,18445980686323395203
btree8_a64,512,5,22.1451,18445980686323395203
btree8_a64,512,6,22.1390,18445980686323395203
btree8_a64,512,7,22.1298,18445980686323395203
btree8_a64,512,8,22.1512,18445980686323395203
btree8_a64,512,9,22.1252,18445980686323395203
btree8_a64,512,10,22.2961,18445980686323395203
btree8_a64,512,11,22.1817,18445980686323395203
btree8_a64,512,12,22.0993,18445980686323395203
btree8_a64,512,13,22.0444,18445980686323395203
btree8_a64,512,14,22.1924,18445980686323395203
btree8_bl_a64,512,0,19.5145,18445980686323395203
btree8_bl_a64,512,1,19.4717,18445980686323395203
btree8_bl_a64,512,2,19.3680,18445980686323395203
btree8_bl_a64,512,3,19.3924,18445980686323395203
