structure,n,rep,ns_per_query,checksum
fusion8,256,0,39.1052,4651152958151299108
fusion8_c,256,0,40.6952,4651152958151299108
btree8_a64,256,0,19.1620,4651152958151299108
btree16_bl_a64,256,0,13.6688,4651152958151299108
btree8,256,0,21.2723,4651152958151299108
btree8_bl,256,0,22.4625,4651152958151299108
fusion16_w,256,0,38.3606,4651152958151299108
fusion8_bf,256,0,41.8900,4651152958151299108
btree8_bl_a64,256,0,19.5557,4651152958151299108
sorted_array,256,0,12.7991,4651152958151299108
btree8_bl,256,1,21.2219,4651152958151299108
fusion8,256,1,38.7238,4651152958151299108
btree16_bl_a64,256,1,13.6536,4651152958151299108
fusion16_w,256,1,37.6587,4651152958151299108
btree8_bl_a64,256,1,19.5648,4651152958151299108
btree8_a64,256,1,19.3115,4651152958151299108
fusion8_c,256,1,41.3986,4651152958151299108
sorted_array,256,1,13.0539,4651152958151299108
btree8,256,1,20.7077,4651152958151299108
fusion8_bf,256,1,42.0746,4651152958151299108
btree8_bl,256,2,21.2128,4651152958151299108
sorted_array,256,2,12.7563,4651152958151299108
btree16_bl_a64,256,2,13.7039,4651152958151299108
fusion8_c,256,2,40.6906,4651152958151299108
btree8_a64,256,2,19.4168,4651152958151299108
btree8,256,2,20.9091,4651152958151299108
fusion16_w,256,2,38.4354,4651152958151299108
fusion8,256,2,40.0223,4651152958151299108
fusion8_bf,256,2,41.8091,4651152958151299108
btree8_bl_a64,256,2,19.5862,4651152958151299108
fusion8_c,256,3,40.7089,4651152958151299108
fusion8_bf,256,3,41.9022,4651152958151299108
btree16_bl_a64,256,3,13.8718,4651152958151299108
btree8_bl_a64,256,3,19.9615,4651152958151299108
fusion8,256,3,38.9252,4651152958151299108
btree8,256,3,20.2866,4651152958151299108
sorted_array,256,3,12.7853,4651152958151299108
fusion16_w,256,3,37.6816,4651152958151299108
btree8_a64,256,3,19.7021,4651152958151299108
btree8_bl,256,3,21.1426,4651152958151299108
btree8_bl,256,4,21.0648,4651152958151299108
fusion16_w,256,4,37.5092,4651152958151299108
btree8_bl_a64,256,4,20.6467,4651152958151299108
btree16_bl_a64,256,4,13.9328,4651152958151299108
btree8,256,4,20.4987,4651152958151299108
fusion8,256,4,39.6805,4651152958151299108
fusion8_c,256,4,40.6006,4651152958151299108
fusion8_bf,256,4,41.9785,4651152958151299108
sorted_array,256,4,12.7579,4651152958151299108
btree8_a64,256,4,19.5480,4651152958151299108
fusion8_bf,256,5,41.8137,4651152958151299108
btree8,256,5,20.2515,4651152958151299108
btree8_a64,256,5,20.8084,4651152958151299108
btree8_bl,256,5,21.6080,4651152958151299108
btree16_bl_a64,256,5,13.6765,4651152958151299108
fusion8,256,5,38.7360,4651152958151299108
fusion16_w,256,5,37.6724,4651152958151299108
sorted_array,256,5,12.7563,4651152958151299108
btree8_bl_a64,256,5,19.5526,4651152958151299108
fusion8_c,256,5,40.6982,4651152958151299108
fusion8,256,6,40.1642,4651152958151299108
btree8_a64,256,6,19.5236,4651152958151299108
sorted_array,256,6,13.0112,4651152958151299108
btree8_bl,256,6,21.3715,4651152958151299108
btree16_bl_a64,256,6,13.6658,4651152958151299108
fusion8_bf,256,6,41.9373,4651152958151299108
fusion16_w,256,6,37.6465,4651152958151299108
btree8_bl_a64,256,6,19.5572,4651152958151299108
fusion8_c,256,6,40.6021,4651152958151299108
btree8,256,6,20.4742,4651152958151299108
fusion8_c,256,7,40.5869,4651152958151299108
fusion8_bf,256,7,42.1539,4651152958151299108
sorted_array,256,7,12.7335,4651152958151299108
btree8_bl,256,7,21.1853,4651152958151299108
btree8,256,7,19.7174,4651152958151299108
fusion16_w,256,7,37.8616,4651152958151299108
btree8_a64,256,7,19.3909,4651152958151299108
fusion8,256,7,40.8249,4651152958151299108
btree8_bl_a64,256,7,19.9814,4651152958151299108
btree16_bl_a64,256,7,14.0030,4651152958151299108
fusion8_c,256,8,41.2827,4651152958151299108
btree8_bl,256,8,21.1807,4651152958151299108
btree16_bl_a64,256,8,13.6581,4651152958151299108
fusion16_w,256,8,37.7121,4651152958151299108
btree8_bl_a64,256,8,19.5236,4651152958151299108
btree8,256,8,20.1035,4651152958151299108
btree8_a64,256,8,20.6879,4651152958151299108
fusion8_bf,256,8,41.9617,4651152958151299108
fusion8,256,8,39.2288,4651152958151299108
sorted_array,256,8,12.6678,4651152958151299108
fusion8_bf,256,9,41.7511,4651152958151299108
sorted_array,256,9,12.6923,4651152958151299108
btree8,256,9,20.1614,4651152958151299108
btree8_a64,256,9,20.4590,4651152958151299108
fusion16_w,256,9,38.5849,4651152958151299108
btree8_bl,256,9,21.1182,4651152958151299108
btree8_bl_a64,256,9,19.6167,4651152958151299108
btree16_bl_a64,256,9,13.7192,4651152958151299108
fusion8_c,256,9,40.5746,4651152958151299108
fusion8,256,9,38.8214,4651152958151299108
fusion8,256,10,38.7527,4651152958151299108
btree16_bl_a64,256,10,13.6749,4651152958151299108
btree8_bl_a64,256,10,19.5633,4651152958151299108
sorted_array,256,10,12.6541,4651152958151299108
fusion16_w,256,10,37.7991,4651152958151299108
btree8_bl,256,10,21.1792,4651152958151299108
fusion8_c,256,10,40.6769,4651152958151299108
btree8_a64,256,10,19.3390,4651152958151299108
btree8,256,10,20.3934,4651152958151299108
fusion8_bf,256,10,42.4866,4651152958151299108
fusion8,256,11,38.7283,4651152958151299108
btree8_a64,256,11,19.2520,4651152958151299108
fusion8_bf,256,11,42.0639,4651152958151299108
btree8,256,11,20.2393,4651152958151299108
btree8_bl_a64,256,11,20.5032,4651152958151299108
btree8_bl,256,11,21.2021,4651152958151299108
sorted_array,256,11,12.7853,4651152958151299108
fusion8_c,256,11,40.6372,4651152958151299108
btree16_bl_a64,256,11,13.7115,4651152958151299108
