structure,n,rep,ns_per_query,checksum
fusion8,256,0,33.7601,4651152958151299108
fusion8_c,256,0,35.4385,4651152958151299108
btree8_a64,256,0,19.1772,4651152958151299108
btree16_bl_a64,256,0,4.8798,4651152958151299108
btree8,256,0,22.7203,4651152958151299108
btree8_bl,256,0,12.3276,4651152958151299108
fusion16_w,256,0,27.0248,4651152958151299108
fusion8_bf,256,0,35.5499,4651152958151299108
btree8_bl_a64,256,0,10.8780,4651152958151299108
sorted_array,256,0,4.3579,4651152958151299108
btree8_bl,256,1,12.3550,4651152958151299108
fusion8,256,1,33.7067,4651152958151299108
btree16_bl_a64,256,1,4.6692,4651152958151299108
fusion16_w,256,1,28.2745,4651152958151299108
btree8_bl_a64,256,1,11.0260,4651152958151299108
btree8_a64,256,1,19.3497,4651152958151299108
fusion8_c,256,1,36.4578,4651152958151299108
sorted_array,256,1,4.4815,4651152958151299108
btree8,256,1,20.3445,4651152958151299108
fusion8_bf,256,1,36.5219,4651152958151299108
btree8_bl,256,2,12.2208,4651152958151299108
sorted_array,256,2,4.2542,4651152958151299108
btree16_bl_a64,256,2,4.6387,4651152958151299108
fusion8_c,256,2,34.9777,4651152958151299108
btree8_a64,256,2,19.0735,4651152958151299108
btree8,256,2,22.3831,4651152958151299108
fusion16_w,256,2,27.1957,4651152958151299108
fusion8,256,2,34.4208,4651152958151299108
fusion8_bf,256,2,36.0275,4651152958151299108
btree8_bl_a64,256,2,10.8368,4651152958151299108
fusion8_c,256,3,35.0143,4651152958151299108
fusion8_bf,256,3,35.7727,4651152958151299108
btree16_bl_a64,256,3,4.6158,4651152958151299108
btree8_bl_a64,256,3,10.8536,4651152958151299108
fusion8,256,3,33.5968,4651152958151299108
btree8,256,3,20.6360,4651152958151299108
sorted_array,256,3,4.4159,4651152958151299108
fusion16_w,256,3,27.3941,4651152958151299108
btree8_a64,256,3,18.9682,4651152958151299108
btree8_bl,256,3,12.1811,4651152958151299108
btree8_bl,256,4,12.0422,4651152958151299108
fusion16_w,256,4,27.1942,4651152958151299108
btree8_bl_a64,256,4,10.8170,4651152958151299108
btree16_bl_a64,256,4,4.3915,4651152958151299108
btree8,256,4,20.3247,4651152958151299108
fusion8,256,4,35.0098,4651152958151299108
fusion8_c,256,4,36.5128,4651152958151299108
fusion8_bf,256,4,35.6125,4651152958151299108
sorted_array,256,4,4.2587,4651152958151299108
btree8_a64,256,4,18.8553,4651152958151299108
fusion8_bf,256,5,36.9934,4651152958151299108
btree8,256,5,20.4437,4651152958151299108
btree8_a64,256,5,20.8084,4651152958151299108
btree8_bl,256,5,12.1033,4651152958151299108
btree16_bl_a64,256,5,4.6692,4651152958151299108
fusion8,256,5,33.8120,4651152958151299108
fusion16_w,256,5,26.8524,4651152958151299108
sorted_array,256,5,4.2526,4651152958151299108
btree8_bl_a64,256,5,11.0092,4651152958151299108
fusion8_c,256,5,34.9503,4651152958151299108
fusion8,256,6,33.5388,4651152958151299108
btree8_a64,256,6,20.3278,4651152958151299108
sorted_array,256,6,4.5013,4651152958151299108
btree8_bl,256,6,12.2772,4651152958151299108
btree16_bl_a64,256,6,4.4724,4651152958151299108
fusion8_bf,256,6,35.6522,4651152958151299108
fusion16_w,256,6,27.0294,4651152958151299108
btree8_bl_a64,256,6,10.8887,4651152958151299108
fusion8_c,256,6,34.8984,4651152958151299108
btree8,256,6,20.2499,4651152958151299108
fusion8_c,256,7,35.6964,4651152958151299108
fusion8_bf,256,7,35.5881,4651152958151299108
sorted_array,256,7,4.2557,4651152958151299108
btree8_bl,256,7,12.1674,4651152958151299108
btree8,256,7,20.3369,4651152958151299108
fusion16_w,256,7,27.1042,4651152958151299108
btree8_a64,256,7,19.0659,4651152958151299108
fusion8,256,7,35.8078,4651152958151299108
btree8_bl_a64,256,7,11.0565,4651152958151299108
btree16_bl_a64,256,7,4.5670,4651152958151299108
fusion8_c,256,8,35.0342,4651152958151299108
btree8_bl,256,8,12.1552,4651152958151299108
btree16_bl_a64,256,8,4.5685,4651152958151299108
fusion16_w,256,8,27.1561,4651152958151299108
btree8_bl_a64,256,8,10.9573,4651152958151299108
btree8,256,8,20.5032,4651152958151299108
btree8_a64,256,8,21.5546,4651152958151299108
fusion8_bf,256,8,36.7355,4651152958151299108
fusion8,256,8,34.1537,4651152958151299108
sorted_array,256,8,4.2709,4651152958151299108
fusion8_bf,256,9,35.2844,4651152958151299108
sorted_array,256,9,4.3015,4651152958151299108
btree8,256,9,20.2118,4651152958151299108
btree8_a64,256,9,20.7687,4651152958151299108
fusion16_w,256,9,27.0569,4651152958151299108
btree8_bl,256,9,12.1750,4651152958151299108
btree8_bl_a64,256,9,10.9924,4651152958151299108
btree16_bl_a64,256,9,4.5624,4651152958151299108
fusion8_c,256,9,35.0769,4651152958151299108
fusion8,256,9,34.2361,4651152958151299108
fusion8,256,10,33.5632,4651152958151299108
btree16_bl_a64,256,10,4.6783,4651152958151299108
btree8_bl_a64,256,10,11.1160,4651152958151299108
sorted_array,256,10,4.2679,4651152958151299108
fusion16_w,256,10,27.0645,4651152958151299108
btree8_bl,256,10,12.2345,4651152958151299108
fusion8_c,256,10,34.9319,4651152958151299108
btree8_a64,256,10,18.9865,4651152958151299108
btree8,256,10,21.5042,4651152958151299108
fusion8_bf,256,10,37.3947,4651152958151299108
fusion8,256,11,34.8541,4651152958151299108
btree8_a64,256,11,19.0628,4651152958151299108
fusion8_bf,256,11,36.4090,4651152958151299108
btree8,256,11,20.3857,4651152958151299108
btree8_bl_a64,256,11,11.8423,4651152958151299108
btree8_bl,256,11,12.1735,4651152958151299108
sorted_array,256,11,4.2633,4651152958151299108
fusion8_c,256,11,34.9991,4651152958151299108
btree16_bl_a64,256,11,4.6066,4651152958151299108
fusion16_w,256,11,27.1835,4651152958151299108
btree8_bl,256,12,12.0682,4651152958151299108
fusion16_w,256,12,26.9714,4651152958151299108
fusion8_bf,256,12,35.5576,4651152958151299108
fusion8,256,12,34.8312,4651152958151299108
sorted_array,256,12,4.3182,4651152958151299108
btree8_a64,256,12,19.0414,4651152958151299108
btree8_bl_a64,256,12,10.8871,4651152958151299108
fusion8_c,256,12,35.2051,4651152958151299108
btree16_bl_a64,256,12,4.6646,4651152958151299108
btree8,256,12,20.5261,4651152958151299108
fusion8,256,13,34.7626,4651152958151299108
fusion16_w,256,13,27.1469,4651152958151299108
