structure,n,rep,ns_per_query,checksum
fusion8,256,0,41.0110,3802318259966007189
fusion8_c,256,0,41.7755,3802318259966007189
btree8_a64,256,0,21.8704,3802318259966007189
btree16_bl_a64,256,0,15.2527,3802318259966007189
btree8,256,0,22.0139,3802318259966007189
btree8_bl,256,0,26.1398,3802318259966007189
fusion16_w,256,0,38.6368,3802318259966007189
fusion8_bf,256,0,43.0374,3802318259966007189
btree8_bl_a64,256,0,22.6654,3802318259966007189
sorted_array,256,0,23.4177,3802318259966007189
btree8_bl,256,1,25.1266,3802318259966007189
fusion8,256,1,40.8752,3802318259966007189
btree16_bl_a64,256,1,15.3183,3802318259966007189
fusion16_w,256,1,38.2553,3802318259966007189
btree8_bl_a64,256,1,22.6654,3802318259966007189
btree8_a64,256,1,21.6003,3802318259966007189
fusion8_c,256,1,41.7526,3802318259966007189
sorted_array,256,1,23.3231,3802318259966007189
btree8,256,1,25.3464,3802318259966007189
fusion8_bf,256,1,43.0511,3802318259966007189
btree8_bl,256,2,25.1480,3802318259966007189
sorted_array,256,2,23.2285,3802318259966007189
btree16_bl_a64,256,2,15.2573,3802318259966007189
fusion8_c,256,2,41.9922,3802318259966007189
btree8_a64,256,2,21.9025,3802318259966007189
btree8,256,2,22.3785,3802318259966007189
fusion16_w,256,2,38.1439,3802318259966007189
fusion8,256,2,40.9454,3802318259966007189
fusion8_bf,256,2,42.9703,3802318259966007189
btree8_bl_a64,256,2,22.6532,3802318259966007189
fusion8_c,256,3,41.7038,3802318259966007189
fusion8_bf,256,3,43.0252,3802318259966007189
btree16_bl_a64,256,3,15.3015,3802318259966007189
btree8_bl_a64,256,3,22.6913,3802318259966007189
fusion8,256,3,40.9103,3802318259966007189
btree8,256,3,24.7513,3802318259966007189
sorted_array,256,3,24.0265,3802318259966007189
fusion16_w,256,3,38.5452,3802318259966007189
btree8_a64,256,3,21.2952,3802318259966007189
btree8_bl,256,3,25.1434,3802318259966007189
btree8_bl,256,4,25.0275,3802318259966007189
fusion16_w,256,4,38.2538,3802318259966007189
btree8_bl_a64,256,4,22.6196,3802318259966007189
btree16_bl_a64,256,4,15.2435,3802318259966007189
btree8,256,4,22.6288,3802318259966007189
fusion8,256,4,40.8737,3802318259966007189
fusion8_c,256,4,41.8289,3802318259966007189
fusion8_bf,256,4,43.4235,3802318259966007189
sorted_array,256,4,23.2147,3802318259966007189
btree8_a64,256,4,23.7137,3802318259966007189
fusion8_bf,256,5,43.0298,3802318259966007189
btree8,256,5,23.1247,3802318259966007189
btree8_a64,256,5,22.9599,3802318259966007189
btree8_bl,256,5,25.1358,3802318259966007189
btree16_bl_a64,256,5,15.2252,3802318259966007189
fusion8,256,5,41.2796,3802318259966007189
fusion16_w,256,5,38.5025,3802318259966007189
sorted_array,256,5,25.9415,3802318259966007189
btree8_bl_a64,256,5,22.7036,3802318259966007189
fusion8_c,256,5,41.8137,3802318259966007189
fusion8,256,6,40.8676,3802318259966007189
btree8_a64,256,6,21.8918,3802318259966007189
sorted_array,256,6,25.9094,3802318259966007189
btree8_bl,256,6,25.1587,3802318259966007189
btree16_bl_a64,256,6,15.2542,3802318259966007189
fusion8_bf,256,6,43.1732,3802318259966007189
fusion16_w,256,6,38.6200,3802318259966007189
btree8_bl_a64,256,6,22.7692,3802318259966007189
fusion8_c,256,6,41.9373,3802318259966007189
btree8,256,6,22.3434,3802318259966007189
fusion8_c,256,7,41.6916,3802318259966007189
fusion8_bf,256,7,43.0267,3802318259966007189
sorted_array,256,7,23.1537,3802318259966007189
btree8_bl,256,7,25.0839,3802318259966007189
btree8,256,7,26.2222,3802318259966007189
fusion16_w,256,7,38.3774,3802318259966007189
btree8_a64,256,7,21.4752,3802318259966007189
fusion8,256,7,41.2689,3802318259966007189
btree8_bl_a64,256,7,22.6303,3802318259966007189
btree16_bl_a64,256,7,15.2573,3802318259966007189
fusion8_c,256,8,41.8900,3802318259966007189
btree8_bl,256,8,25.0885,3802318259966007189
btree16_bl_a64,256,8,15.2725,3802318259966007189
fusion16_w,256,8,38.3423,3802318259966007189
btree8_bl_a64,256,8,22.6685,3802318259966007189
btree8,256,8,23.8846,3802318259966007189
btree8_a64,256,8,21.3882,3802318259966007189
fusion8_bf,256,8,43.1824,3802318259966007189
fusion8,256,8,41.3574,3802318259966007189
sorted_array,256,8,25.6683,3802318259966007189
fusion8_bf,256,9,43.0252,3802318259966007189
sorted_array,256,9,23.1567,3802318259966007189
btree8,256,9,24.9649,3802318259966007189
btree8_a64,256,9,21.8796,3802318259966007189
fusion16_w,256,9,38.2446,3802318259966007189
btree8_bl,256,9,25.0397,3802318259966007189
btree8_bl_a64,256,9,22.7142,3802318259966007189
btree16_bl_a64,256,9,15.2603,3802318259966007189
fusion8_c,256,9,41.8518,3802318259966007189
fusion8,256,9,41.8304,3802318259966007189
fusion8,256,10,40.8295,3802318259966007189
btree16_bl_a64,256,10,15.2374,3802318259966007189
btree8_bl_a64,256,10,22.6303,3802318259966007189
sorted_array,256,10,26.3596,3802318259966007189
fusion16_w,256,10,38.3606,3802318259966007189
btree8_bl,256,10,25.0824,3802318259966007189
fusion8_c,256,10,41.9556,3802318259966007189
btree8_a64,256,10,21.2112,3802318259966007189
btree8,256,10,24.2950,3802318259966007189
fusion8_bf,256,10,43.3228,3802318259966007189
fusion8,256,11,41.1270,3802318259966007189
btree8_a64,256,11,21.1533,3802318259966007189
fusion8_bf,256,11,43.1427,3802318259966007189
btree8,256,11,22.6288,3802318259966007189
btree8_bl_a64,256,11,22.8851,3802318259966007189
btree8_bl,256,11,25.0824,3802318259966007189
sorted_array,256,11,23.4207,3802318259966007189
fusion8_c,256,11,41.8350,3802318259966007189
btree16_bl_a64,256,11,15.3122,3802318259966007189
fusion16_w,256,11,38.5498,3802318259966007189
btree8_bl,256,12,25.0427,3802318259966007189
fusion16_w,256,12,38.4308,3802318259966007189
fusion8_bf,256,12,43.0969,3802318259966007189
fusion8,256,12,41.1209,3802318259966007189
sorted_array,256,12,23.2468,3802318259966007189
btree8_a64,256,12,24.2722,3802318259966007189
btree8_bl_a64,256,12,22.6822,3802318259966007189
fusion8_c,256,12,41.7725,3802318259966007189
btree16_bl_a64,256,12,15.4419,3802318259966007189
btree8,256,12,22.2534,3802318259966007189
fusion8,256,13,42.1021,3802318259966007189
fusion16_w,256,13,38.2416,3802318259966007189
btree8_a64,256,13,21.4279,3802318259966007189
fusion8_c,256,13,41.8457,3802318259966007189
btree8,256,13,22.3282,3802318259966007189
btree8_bl,256,13,25.0137,3802318259966007189
fusion8_bf,256,13,43.2602,3802318259966007189
btree16_bl_a64,256,13,15.2481,3802318259966007189
btree8_bl_a64,256,13,22.8531,3802318259966007189
sorted_array,256,13,23.1171,3802318259966007189
btree8_bl_a64,256,14,48.2529,3802318259966007189
fusion16_w,256,14,38.3316,3802318259966007189
btree8,256,14,25.0305,3802318259966007189
btree8_a64,256,14,23.1781,3802318259966007189
sorted_array,256,14,24.5361,3802318259966007189
btree8_bl,256,14,25.0900,3802318259966007189
btree16_bl_a64,256,14,15.2161,3802318259966007189
fusion8_bf,256,14,43.2190,3802318259966007189
fusion8,256,14,41.2704,3802318259966007189
fusion8_c,256,14,42.1082,3802318259966007189
fusion8_c,512,0,43.3990,18445980686323395203
btree8,512,0,25.3174,18445980686323395203
btree8_a64,512,0,26.3138,18445980686323395203
btree8_bl,512,0,24.0585,18445980686323395203
btree8_bl_a64,512,0,21.6660,18445980686323395203
fusion8,512,0,41.9113,18445980686323395203
sorted_array,512,0,30.6778,18445980686323395203
btree16_bl_a64,512,0,21.6949,18445980686323395203
fusion8_bf,512,0,45.1340,18445980686323395203
fusion16_w,512,0,50.0610,18445980686323395203
btree8_a64,512,1,25.5173,18445980686323395203
btree8,512,1,27.2049,18445980686323395203
fusion16_w,512,1,50.0366,18445980686323395203
fusion8,512,1,42.2516,18445980686323395203
btree8_bl,512,1,24.0845,18445980686323395203
btree16_bl_a64,512,1,21.6965,18445980686323395203
btree8_bl_a64,512,1,21.6766,18445980686323395203
fusion8_bf,512,1,44.9936,18445980686323395203
fusion8_c,512,1,43.5150,18445980686323395203
sorted_array,512,1,28.4027,18445980686323395203
fusion16_w,512,2,52.0111,18445980686323395203
btree8_bl_a64,512,2,21.5759,18445980686323395203
btree16_bl_a64,512,2,21.7651,18445980686323395203
fusion8_c,512,2,43.4464,18445980686323395203
fusion8_bf,512,2,44.9158,18445980686323395203
btree8_bl,512,2,24.1241,18445980686323395203
fusion8,512,2,41.9540,18445980686323395203
sorted_array,512,2,29.8630,18445980686323395203
btree8,512,2,25.3540,18445980686323395203
btree8_a64,512,2,26.4282,18445980686323395203
btree8_bl_a64,512,3,21.7026,18445980686323395203
btree8_a64,512,3,24.3530,18445980686323395203
sorted_array,512,3,28.8742,18445980686323395203
fusion8_c,512,3,43.6111,18445980686323395203
btree8,512,3,25.6424,18445980686323395203
fusion8,512,3,41.8228,18445980686323395203
fusion8_bf,512,3,45.0027,18445980686323395203
btree8_bl,512,3,24.4003,18445980686323395203
fusion16_w,512,3,49.8611,18445980686323395203
btree16_bl_a64,512,3,21.5912,18445980686323395203
fusion8_c,512,4,43.9255,18445980686323395203
btree8_bl,512,4,24.1806,18445980686323395203
btree16_bl_a64,512,4,21.5424,18445980686323395203
btree8,512,4,26.8967,18445980686323395203
btree8_bl_a64,512,4,21.6522,18445980686323395203
sorted_array,512,4,28.4897,18445980686323395203
btree8_a64,512,4,25.8026,18445980686323395203
fusion8_bf,512,4,45.1950,18445980686323395203
fusion16_w,512,4,50.1663,18445980686323395203
fusion8,512,4,42.2668,18445980686323395203
btree8_bl_a64,512,5,21.8704,18445980686323395203
btree8_bl,512,5,24.0204,18445980686323395203
fusion8_c,512,5,43.4219,18445980686323395203
btree16_bl_a64,512,5,21.6110,18445980686323395203
btree8,512,5,25.3891,18445980686323395203
btree8_a64,512,5,26.6449,18445980686323395203
fusion16_w,512,5,49.9588,18445980686323395203
sorted_array,512,5,29.2023,18445980686323395203
fusion8_bf,512,5,44.9890,18445980686323395203
fusion8,512,5,42.1738,18445980686323395203
fusion8,512,6,41.6840,18445980686323395203
btree8,512,6,26.9699,18445980686323395203
sorted_array,512,6,28.6652,18445980686323395203
btree16_bl_a64,512,6,21.7010,18445980686323395203
fusion16_w,512,6,50.1083,18445980686323395203
fusion8_c,512,6,43.6523,18445980686323395203
btree8_bl_a64,512,6,21.6629,18445980686323395203
btree8_a64,512,6,24.4354,18445980686323395203
btree8_bl,512,6,24.1211,18445980686323395203
fusion8_bf,512,6,44.8853,18445980686323395203
btree8,512,7,26.0635,18445980686323395203
btree8_a64,512,7,25.5981,18445980686323395203
fusion8_c,512,7,43.4509,18445980686323395203
fusion8_bf,512,7,44.8883,18445980686323395203
fusion8,512,7,41.9922,18445980686323395203
btree8_bl_a64,512,7,21.8491,18445980686323395203
fusion16_w,512,7,50.9033,18445980686323395203
btree16_bl_a64,512,7,21.6949,18445980686323395203
sorted_array,512,7,28.5583,18445980686323395203
btree8_bl,512,7,24.0250,18445980686323395203
sorted_array,512,8,28.1845,18445980686323395203
btree8_bl,512,8,24.0036,18445980686323395203
btree8_bl_a64,512,8,21.5988,18445980686323395203
btree16_bl_a64,512,8,124.6323,18445980686323395203
fusion8_bf,512,8,45.9473,18445980686323395203
fusion8,512,8,42.4194,18445980686323395203
fusion16_w,512,8,50.3662,18445980686323395203
fusion8_c,512,8,47.0062,18445980686323395203
btree8_a64,512,8,46.8155,18445980686323395203
btree8,512,8,28.4973,18445980686323395203
btree8_bl_a64,512,9,21.6904,18445980686323395203
btree8,512,9,25.7919,18445980686323395203
fusion16_w,512,9,55.2963,18445980686323395203
fusion8_c,512,9,43.5852,18445980686323395203
sorted_array,512,9,28.5965,18445980686323395203
btree8_a64,512,9,24.8825,18445980686323395203
btree16_bl_a64,512,9,21.8155,18445980686323395203
fusion8,512,9,43.1702,18445980686323395203
btree8_bl,512,9,24.2310,18445980686323395203
fusion8_bf,512,9,45.9000,18445980686323395203
btree8_bl,512,10,24.1119,18445980686323395203
btree8,512,10,28.7323,18445980686323395203
fusion8_c,512,10,44.2688,18445980686323395203
btree8_bl_a64,512,10,21.9803,18445980686323395203
btree8_a64,512,10,26.4389,18445980686323395203
sorted_array,512,10,30.4214,18445980686323395203
fusion16_w,512,10,63.5986,18445980686323395203
fusion8,512,10,69.8120,18445980686323395203
btree16_bl_a64,512,10,24.6170,18445980686323395203
fusion8_bf,512,10,49.0158,18445980686323395203
btree8_bl_a64,512,11,22.9782,18445980686323395203
fusion8_bf,512,11,45.5688,18445980686323395203
fusion8_c,512,11,43.7439,18445980686323395203
btree8_a64,512,11,25.5814,18445980686323395203
btree8_bl,512,11,29.4586,18445980686323395203
btree16_bl_a64,512,11,22.8043,18445980686323395203
fusion8,512,11,44.1315,18445980686323395203
fusion16_w,512,11,55.5649,18445980686323395203
sorted_array,512,11,32.2433,18445980686323395203
btree8,512,11,25.5081,18445980686323395203
btree8_bl_a64,512,12,21.8033,18445980686323395203
fusion8_bf,512,12,47.9034,18445980686323395203
fusion8_c,512,12,43.6005,18445980686323395203
btree8,512,12,26.1246,18445980686323395203
fusion8,512,12,41.9128,18445980686323395203
btree8_bl,512,12,24.0417,18445980686323395203
btree16_bl_a64,512,12,22.1863,18445980686323395203
btree8_a64,512,12,26.8768,18445980686323395203
sorted_array,512,12,29.5624,18445980686323395203
fusion16_w,512,12,52.4170,18445980686323395203
btree8,512,13,26.7731,18445980686323395203
fusion16_w,512,13,50.1724,18445980686323395203
btree8_a64,512,13,24.6262,18445980686323395203
sorted_array,512,13,29.0817,18445980686323395203
fusion8_bf,512,13,45.0623,18445980686323395203
fusion8,512,13,42.8238,18445980686323395203
btree8_bl,512,13,24.1043,18445980686323395203
btree16_bl_a64,512,13,21.9360,18445980686323395203
btree8_bl_a64,512,13,21.9650,18445980686323395203
fusion8_c,512,13,43.8049,18445980686323395203
btree8_bl_a64,512,14,21.6064,18445980686323395203
fusion8_bf,512,14,45.2850,18445980686323395203
btree8_a64,512,14,25.1358,18445980686323395203
btree8_bl,512,14,24.3118,18445980686323395203
btree16_bl_a64,512,14,22.0993,18445980686323395203
fusion16_w,512,14,49.9664,18445980686323395203
