structure,n,rep,ns_per_query,checksum
fusion8,256,0,37.2787,4651152958151299108
fusion8_c,256,0,35.9329,4651152958151299108
btree8_a64,256,0,22.8287,4651152958151299108
btree16_bl_a64,256,0,4.8264,4651152958151299108
btree8,256,0,21.2555,4651152958151299108
btree8_bl,256,0,13.9679,4651152958151299108
fusion16_w,256,0,26.7044,4651152958151299108
fusion8_bf,256,0,38.2584,4651152958151299108
btree8_bl_a64,256,0,12.7060,4651152958151299108
sorted_array,256,0,22.8378,4651152958151299108
btree8_bl,256,1,13.8184,4651152958151299108
fusion8,256,1,39.6240,4651152958151299108
btree16_bl_a64,256,1,4.8203,4651152958151299108
fusion16_w,256,1,26.8173,4651152958151299108
btree8_bl_a64,256,1,12.7151,4651152958151299108
btree8_a64,256,1,19.9814,4651152958151299108
fusion8_c,256,1,36.0092,4651152958151299108
sorted_array,256,1,22.7142,4651152958151299108
btree8,256,1,20.3705,4651152958151299108
fusion8_bf,256,1,38.2935,4651152958151299108
btree8_bl,256,2,13.9038,4651152958151299108
sorted_array,256,2,22.7753,4651152958151299108
btree16_bl_a64,256,2,4.7577,4651152958151299108
fusion8_c,256,2,37.0270,4651152958151299108
btree8_a64,256,2,19.5145,4651152958151299108
btree8,256,2,20.3247,4651152958151299108
fusion16_w,256,2,26.6556,4651152958151299108
fusion8,256,2,37.4115,4651152958151299108
fusion8_bf,256,2,38.3820,4651152958151299108
btree8_bl_a64,256,2,12.7548,4651152958151299108
fusion8_c,256,3,35.8475,4651152958151299108
fusion8_bf,256,3,38.2675,4651152958151299108
btree16_bl_a64,256,3,4.9667,4651152958151299108
btree8_bl_a64,256,3,12.6022,4651152958151299108
fusion8,256,3,37.2894,4651152958151299108
btree8,256,3,21.7819,4651152958151299108
sorted_array,256,3,22.7386,4651152958151299108
fusion16_w,256,3,26.8555,4651152958151299108
btree8_a64,256,3,20.3293,4651152958151299108
btree8_bl,256,3,13.5788,4651152958151299108
btree8_bl,256,4,13.5605,4651152958151299108
fusion16_w,256,4,26.6617,4651152958151299108
btree8_bl_a64,256,4,12.7747,4651152958151299108
btree16_bl_a64,256,4,4.9500,4651152958151299108
btree8,256,4,22.6547,4651152958151299108
fusion8,256,4,37.3779,4651152958151299108
fusion8_c,256,4,35.9512,4651152958151299108
fusion8_bf,256,4,38.3408,4651152958151299108
sorted_array,256,4,22.7142,4651152958151299108
btree8_a64,256,4,20.6711,4651152958151299108
fusion8_bf,256,5,38.3743,4651152958151299108
btree8,256,5,20.4529,4651152958151299108
btree8_a64,256,5,23.5245,4651152958151299108
btree8_bl,256,5,13.8290,4651152958151299108
btree16_bl_a64,256,5,4.7821,4651152958151299108
fusion8,256,5,37.2696,4651152958151299108
fusion16_w,256,5,26.8845,4651152958151299108
sorted_array,256,5,22.8348,4651152958151299108
btree8_bl_a64,256,5,12.5107,4651152958151299108
fusion8_c,256,5,35.9863,4651152958151299108
fusion8,256,6,37.4573,4651152958151299108
btree8_a64,256,6,21.1884,4651152958151299108
sorted_array,256,6,22.7295,4651152958151299108
btree8_bl,256,6,13.6414,4651152958151299108
btree16_bl_a64,256,6,4.9881,4651152958151299108
fusion8_bf,256,6,38.5696,4651152958151299108
fusion16_w,256,6,26.7990,4651152958151299108
btree8_bl_a64,256,6,12.8342,4651152958151299108
fusion8_c,256,6,35.9070,4651152958151299108
btree8,256,6,20.3995,4651152958151299108
fusion8_c,256,7,35.8948,4651152958151299108
fusion8_bf,256,7,38.2736,4651152958151299108
sorted_array,256,7,22.7798,4651152958151299108
btree8_bl,256,7,13.6749,4651152958151299108
btree8,256,7,20.2133,4651152958151299108
fusion16_w,256,7,26.6388,4651152958151299108
btree8_a64,256,7,20.9732,4651152958151299108
fusion8,256,7,37.3596,4651152958151299108
btree8_bl_a64,256,7,12.8342,4651152958151299108
btree16_bl_a64,256,7,4.9530,4651152958151299108
fusion8_c,256,8,35.9818,4651152958151299108
btree8_bl,256,8,13.9511,4651152958151299108
btree16_bl_a64,256,8,4.9179,4651152958151299108
fusion16_w,256,8,26.6922,4651152958151299108
btree8_bl_a64,256,8,12.7518,4651152958151299108
btree8,256,8,21.4920,4651152958151299108
btree8_a64,256,8,19.3939,4651152958151299108
fusion8_bf,256,8,39.7751,4651152958151299108
fusion8,256,8,37.3260,4651152958151299108
sorted_array,256,8,22.8989,4651152958151299108
fusion8_bf,256,9,38.4064,4651152958151299108
sorted_array,256,9,22.5250,4651152958151299108
btree8,256,9,20.2438,4651152958151299108
btree8_a64,256,9,20.7520,4651152958151299108
fusion16_w,256,9,26.7868,4651152958151299108
btree8_bl,256,9,13.7924,4651152958151299108
btree8_bl_a64,256,9,12.7945,4651152958151299108
btree16_bl_a64,256,9,4.9835,4651152958151299108
