structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4876,3802318259966007189
sorted_array,256,1,4.5288,3802318259966007189
sorted_array,256,2,4.4800,3802318259966007189
sorted_array,256,3,4.4693,3802318259966007189
sorted_array,256,4,4.4678,3802318259966007189
sorted_array,256,5,4.4708,3802318259966007189
sorted_array,256,6,4.4678,3802318259966007189
sorted_array,256,7,4.4876,3802318259966007189
sorted_array,256,8,4.5364,3802318259966007189
sorted_array,256,9,4.4785,3802318259966007189
sorted_array,256,10,4.4846,3802318259966007189
sorted_array,256,11,4.4800,3802318259966007189
sorted_array,256,12,4.4785,3802318259966007189
sorted_array,256,13,4.4815,3802318259966007189
sorted_array,256,14,4.4876,3802318259966007189
btree8,256,0,21.6415,3802318259966007189
btree8,256,1,21.3562,3802318259966007189
btree8,256,2,21.4035,3802318259966007189
btree8,256,3,21.2494,3802318259966007189
btree8,256,4,21.3303,3802318259966007189
btree8,256,5,21.3608,3802318259966007189
btree8,256,6,22.1909,3802318259966007189
btree8,256,7,21.2326,3802318259966007189
btree8,256,8,21.2296,3802318259966007189
btree8,256,9,21.2158,3802318259966007189
btree8,256,10,21.2006,3802318259966007189
btree8,256,11,21.2143,3802318259966007189
btree8,256,12,21.2311,3802318259966007189
btree8,256,13,21.1929,3802318259966007189
btree8,256,14,21.1777,3802318259966007189
btree8_bl,256,0,13.3102,3802318259966007189
btree8_bl,256,1,13.2248,3802318259966007189
btree8_bl,256,2,13.3743,3802318259966007189
btree8_bl,256,3,13.1912,3802318259966007189
btree8_bl,256,4,13.1287,3802318259966007189
btree8_bl,256,5,13.0371,3802318259966007189
btree8_bl,256,6,13.0157,3802318259966007189
btree8_bl,256,7,12.9700,3802318259966007189
btree8_bl,256,8,12.9959,3802318259966007189
btree8_bl,256,9,12.9440,3802318259966007189
btree8_bl,256,10,12.9333,3802318259966007189
btree8_bl,256,11,12.8952,3802318259966007189
btree8_bl,256,12,12.8830,3802318259966007189
btree8_bl,256,13,12.8616,3802318259966007189
btree8_bl,256,14,12.9211,3802318259966007189
btree8_a64,256,0,20.2423,3802318259966007189
btree8_a64,256,1,19.7739,3802318259966007189
btree8_a64,256,2,19.7556,3802318259966007189
btree8_a64,256,3,19.7281,3802318259966007189
btree8_a64,256,4,19.7693,3802318259966007189
btree8_a64,256,5,19.7189,3802318259966007189
btree8_a64,256,6,19.7495,3802318259966007189
btree8_a64,256,7,19.7449,3802318259966007189
btree8_a64,256,8,19.6777,3802318259966007189
btree8_a64,256,9,19.6671,3802318259966007189
btree8_a64,256,10,19.7891,3802318259966007189
btree8_a64,256,11,19.7525,3802318259966007189
btree8_a64,256,12,19.7052,3802318259966007189
btree8_a64,256,13,19.7189,3802318259966007189
btree8_a64,256,14,19.6915,3802318259966007189
btree8_bl_a64,256,0,11.9415,3802318259966007189
btree8_bl_a64,256,1,11.8225,3802318259966007189
btree8_bl_a64,256,2,11.8790,3802318259966007189
btree8_bl_a64,256,3,11.8866,3802318259966007189
btree8_bl_a64,256,4,11.7020,3802318259966007189
btree8_bl_a64,256,5,11.7355,3802318259966007189
btree8_bl_a64,256,6,11.6394,3802318259966007189
btree8_bl_a64,256,7,11.7188,3802318259966007189
btree8_bl_a64,256,8,11.6196,3802318259966007189
btree8_bl_a64,256,9,11.6364,3802318259966007189
btree8_bl_a64,256,10,11.6409,3802318259966007189
btree8_bl_a64,256,11,11.5845,3802318259966007189
btree8_bl_a64,256,12,11.6226,3802318259966007189
btree8_bl_a64,256,13,11.5326,3802318259966007189
btree8_bl_a64,256,14,11.5662,3802318259966007189
btree16_bl_a64,256,0,5.0568,3802318259966007189
btree16_bl_a64,256,1,4.7684,3802318259966007189
btree16_bl_a64,256,2,4.6417,3802318259966007189
btree16_bl_a64,256,3,4.6295,3802318259966007189
btree16_bl_a64,256,4,4.6631,3802318259966007189
btree16_bl_a64,256,5,4.6600,3802318259966007189
btree16_bl_a64,256,6,4.6967,3802318259966007189
btree16_bl_a64,256,7,4.6356,3802318259966007189
btree16_bl_a64,256,8,4.6097,3802318259966007189
btree16_bl_a64,256,9,4.5929,3802318259966007189
btree16_bl_a64,256,10,4.5853,3802318259966007189
btree16_bl_a64,256,11,4.5639,3802318259966007189
btree16_bl_a64,256,12,4.5593,3802318259966007189
btree16_bl_a64,256,13,4.6097,3802318259966007189
btree16_bl_a64,256,14,4.5654,3802318259966007189
fusion8,256,0,35.9161,3802318259966007189
fusion8,256,1,35.5942,3802318259966007189
fusion8,256,2,35.9161,3802318259966007189
fusion8,256,3,35.8841,3802318259966007189
fusion8,256,4,35.4767,3802318259966007189
fusion8,256,5,35.4996,3802318259966007189
fusion8,256,6,35.8734,3802318259966007189
fusion8,256,7,36.0870,3802318259966007189
fusion8,256,8,35.3989,3802318259966007189
fusion8,256,9,35.5560,3802318259966007189
fusion8,256,10,35.5087,3802318259966007189
fusion8,256,11,35.5911,3802318259966007189
fusion8,256,12,35.5423,3802318259966007189
fusion8,256,13,35.5057,3802318259966007189
fusion8,256,14,35.3195,3802318259966007189
fusion8_bf,256,0,37.8891,3802318259966007189
fusion8_bf,256,1,37.9028,3802318259966007189
fusion8_bf,256,2,37.7899,3802318259966007189
fusion8_bf,256,3,37.8174,3802318259966007189
fusion8_bf,256,4,37.9532,3802318259966007189
fusion8_bf,256,5,37.7945,3802318259966007189
fusion8_bf,256,6,37.7518,3802318259966007189
fusion8_bf,256,7,37.7914,3802318259966007189
fusion8_bf,256,8,37.7533,3802318259966007189
fusion8_bf,256,9,37.8799,3802318259966007189
fusion8_bf,256,10,47.2931,3802318259966007189
fusion8_bf,256,11,38.2935,3802318259966007189
fusion8_bf,256,12,39.8331,3802318259966007189
fusion8_bf,256,13,37.8342,3802318259966007189
fusion8_bf,256,14,38.0402,3802318259966007189
fusion8_c,256,0,38.9862,3802318259966007189
fusion8_c,256,1,37.0193,3802318259966007189
fusion8_c,256,2,36.8286,3802318259966007189
fusion8_c,256,3,36.8607,3802318259966007189
fusion8_c,256,4,36.7157,3802318259966007189
fusion8_c,256,5,36.7554,3802318259966007189
fusion8_c,256,6,36.9064,3802318259966007189
fusion8_c,256,7,36.6867,3802318259966007189
fusion8_c,256,8,36.7142,3802318259966007189
fusion8_c,256,9,36.7233,3802318259966007189
fusion8_c,256,10,36.6989,3802318259966007189
fusion8_c,256,11,36.6669,3802318259966007189
fusion8_c,256,12,36.8652,3802318259966007189
fusion8_c,256,13,36.9720,3802318259966007189
fusion8_c,256,14,36.7722,3802318259966007189
fusion16_w,256,0,27.8519,3802318259966007189
fusion16_w,256,1,27.8259,3802318259966007189
fusion16_w,256,2,27.6459,3802318259966007189
fusion16_w,256,3,27.8107,3802318259966007189
fusion16_w,256,4,27.7771,3802318259966007189
fusion16_w,256,5,27.5528,3802318259966007189
fusion16_w,256,6,27.6428,3802318259966007189
fusion16_w,256,7,27.9129,3802318259966007189
fusion16_w,256,8,27.6443,3802318259966007189
fusion16_w,256,9,30.4871,3802318259966007189
fusion16_w,256,10,27.6657,3802318259966007189
fusion16_w,256,11,27.5253,3802318259966007189
fusion16_w,256,12,27.4750,3802318259966007189
fusion16_w,256,13,27.4841,3802318259966007189
fusion16_w,256,14,27.5650,3802318259966007189
sorted_array,512,0,5.0491,18445980686323395203
sorted_array,512,1,5.0400,18445980686323395203
sorted_array,512,2,5.0751,18445980686323395203
sorted_array,512,3,5.0888,18445980686323395203
sorted_array,512,4,5.0659,18445980686323395203
sorted_array,512,5,5.0568,18445980686323395203
sorted_array,512,6,5.0644,18445980686323395203
sorted_array,512,7,5.0537,18445980686323395203
sorted_array,512,8,5.0827,18445980686323395203
sorted_array,512,9,5.0507,18445980686323395203
sorted_array,512,10,5.0537,18445980686323395203
sorted_array,512,11,5.0522,18445980686323395203
sorted_array,512,12,5.0507,18445980686323395203
sorted_array,512,13,5.0781,18445980686323395203
sorted_array,512,14,5.0537,18445980686323395203
btree8,512,0,24.6918,18445980686323395203
btree8,512,1,24.0723,18445980686323395203
btree8,512,2,24.2859,18445980686323395203
btree8,512,3,24.3057,18445980686323395203
btree8,512,4,24.3179,18445980686323395203
btree8,512,5,24.3500,18445980686323395203
btree8,512,6,24.3408,18445980686323395203
btree8,512,7,24.3912,18445980686323395203
btree8,512,8,24.2599,18445980686323395203
btree8,512,9,24.1226,18445980686323395203
btree8,512,10,24.1653,18445980686323395203
btree8,512,11,24.2874,18445980686323395203
btree8,512,12,24.2401,18445980686323395203
btree8,512,13,23.8647,18445980686323395203
btree8,512,14,24.1638,18445980686323395203
btree8_bl,512,0,8.8638,18445980686323395203
btree8_bl,512,1,8.6639,18445980686323395203
btree8_bl,512,2,8.6197,18445980686323395203
btree8_bl,512,3,8.5999,18445980686323395203
btree8_bl,512,4,8.6365,18445980686323395203
btree8_bl,512,5,8.7006,18445980686323395203
btree8_bl,512,6,8.5342,18445980686323395203
btree8_bl,512,7,8.5861,18445980686323395203
btree8_bl,512,8,8.5220,18445980686323395203
btree8_bl,512,9,8.5083,18445980686323395203
btree8_bl,512,10,8.5571,18445980686323395203
btree8_bl,512,11,8.6411,18445980686323395203
btree8_bl,512,12,8.6304,18445980686323395203
btree8_bl,512,13,8.6594,18445980686323395203
btree8_bl,512,14,8.6029,18445980686323395203
btree8_a64,512,0,22.5433,18445980686323395203
btree8_a64,512,1,22.5067,18445980686323395203
btree8_a64,512,2,22.6471,18445980686323395203
btree8_a64,512,3,22.5296,18445980686323395203
btree8_a64,512,4,22.2031,18445980686323395203
btree8_a64,512,5,22.0581,18445980686323395203
btree8_a64,512,6,22.0566,18445980686323395203
btree8_a64,512,7,22.2504,18445980686323395203
btree8_a64,512,8,22.3557,18445980686323395203
btree8_a64,512,9,22.4152,18445980686323395203
btree8_a64,512,10,22.2214,18445980686323395203
btree8_a64,512,11,22.3694,18445980686323395203
btree8_a64,512,12,22.3923,18445980686323395203
btree8_a64,512,13,22.3145,18445980686323395203
btree8_a64,512,14,22.4365,18445980686323395203
btree8_bl_a64,512,0,9.1080,18445980686323395203
btree8_bl_a64,512,1,7.8049,18445980686323395203
btree8_bl_a64,512,2,7.8247,18445980686323395203
btree8_bl_a64,512,3,7.7515,18445980686323395203
btree8_bl_a64,512,4,7.7301,18445980686323395203
btree8_bl_a64,512,5,7.7255,18445980686323395203
btree8_bl_a64,512,6,7.7362,18445980686323395203
btree8_bl_a64,512,7,7.5821,18445980686323395203
btree8_bl_a64,512,8,7.5607,18445980686323395203
btree8_bl_a64,512,9,7.6889,18445980686323395203
btree8_bl_a64,512,10,7.6492,18445980686323395203
btree8_bl_a64,512,11,7.5684,18445980686323395203
btree8_bl_a64,512,12,7.8079,18445980686323395203
btree8_bl_a64,512,13,7.7667,18445980686323395203
btree8_bl_a64,512,14,7.6828,18445980686323395203
btree16_bl_a64,512,0,14.7507,18445980686323395203
btree16_bl_a64,512,1,14.4974,18445980686323395203
btree16_bl_a64,512,2,14.3356,18445980686323395203
btree16_bl_a64,512,3,14.3585,18445980686323395203
btree16_bl_a64,512,4,14.2395,18445980686323395203
btree16_bl_a64,512,5,14.2807,18445980686323395203
btree16_bl_a64,512,6,14.2014,18445980686323395203
btree16_bl_a64,512,7,14.2365,18445980686323395203
btree16_bl_a64,512,8,13.9954,18445980686323395203
btree16_bl_a64,512,9,13.9847,18445980686323395203
btree16_bl_a64,512,10,13.8962,18445980686323395203
btree16_bl_a64,512,11,13.9847,18445980686323395203
btree16_bl_a64,512,12,14.0045,18445980686323395203
btree16_bl_a64,512,13,14.0030,18445980686323395203
btree16_bl_a64,512,14,14.1876,18445980686323395203
fusion8,512,0,35.6155,18445980686323395203
fusion8,512,1,35.2844,18445980686323395203
fusion8,512,2,35.2570,18445980686323395203
fusion8,512,3,35.0891,18445980686323395203
fusion8,512,4,35.1349,18445980686323395203
fusion8,512,5,35.0586,18445980686323395203
fusion8,512,6,35.0327,18445980686323395203
fusion8,512,7,35.1410,18445980686323395203
fusion8,512,8,35.0601,18445980686323395203
fusion8,512,9,35.1044,18445980686323395203
