dataset,structure,bytes,bytes_per_key
books_200M_uint64,splus8,301990144,9.00
books_200M_uint64,splus16,285213184,8.50
books_200M_uint64,clusterjump,295329632,8.80
books_200M_uint64,rs18_e8,279186712,8.32
books_200M_uint64,rs18_e16,272075192,8.11
books_200M_uint64,rs18_e32,269831832,8.04
books_200M_uint64,rs22_e8,287051032,8.55
books_200M_uint64,rs22_e16,279939512,8.34
books_200M_uint64,rs22_e32,277696152,8.28
books_200M_uint64,pgm16,269470792,8.03
books_200M_uint64,pgm32,268716632,8.01
books_200M_uint64,pgm64,268508448,8.00
books_200M_uint64,pgm128,268453952,8.00
wiki_ts_200M_uint64,splus8,301990144,9.00
wiki_ts_200M_uint64,splus16,285213184,8.50
wiki_ts_200M_uint64,clusterjump,295765508,8.81
wiki_ts_200M_uint64,rs18_e8,274134164,8.17
wiki_ts_200M_uint64,rs18_e16,270775524,8.07
wiki_ts_200M_uint64,rs18_e32,269816932,8.04
wiki_ts_200M_uint64,rs22_e8,287995576,8.58
wiki_ts_200M_uint64,rs22_e16,284636936,8.48
wiki_ts_200M_uint64,rs22_e32,283678344,8.45
wiki_ts_200M_uint64,pgm16,268954264,8.02
wiki_ts_200M_uint64,pgm32,268638856,8.01
wiki_ts_200M_uint64,pgm64,268540880,8.00
wiki_ts_200M_uint64,pgm128,268495392,8.00
fb_200M_uint64,splus8,301990144,9.00
fb_200M_uint64,splus16,285213184,8.50
fb_200M_uint64,clusterjump,279503852,8.33
fb_200M_uint64,rs18_e8,292765532,8.73
fb_200M_uint64,rs18_e16,280619484,8.36
fb_200M_uint64,rs18_e32,274747788,8.19
fb_200M_uint64,rs22_e8,304999132,9.09
fb_200M_uint64,rs22_e16,292853084,8.73
fb_200M_uint64,rs22_e32,286981388,8.55
fb_200M_uint64,pgm16,274109440,8.17
fb_200M_uint64,pgm32,271136104,8.08
fb_200M_uint64,pgm64,269630264,8.04
fb_200M_uint64,pgm128,268901024,8.01
osm_cellids_200M_uint64,splus8,301990144,9.00
osm_cellids_200M_uint64,splus16,285213184,8.50
osm_cellids_200M_uint64,clusterjump,293229144,8.74
osm_cellids_200M_uint64,rs18_e8,285425336,8.51
osm_cellids_200M_uint64,rs18_e16,276686568,8.25
osm_cellids_200M_uint64,rs18_e32,272770280,8.13
osm_cellids_200M_uint64,rs22_e8,297117908,8.85
osm_cellids_200M_uint64,rs22_e16,288379140,8.59
osm_cellids_200M_uint64,rs22_e32,284462852,8.48
osm_cellids_200M_uint64,pgm16,272199456,8.11
osm_cellids_200M_uint64,pgm32,270281376,8.06
osm_cellids_200M_uint64,pgm64,269352080,8.03
osm_cellids_200M_uint64,pgm128,268899664,8.01
