structure,n,rep,ns_per_query,checksum
splus8,256,0,16.0721,7120646643085522400
splus16,256,0,12.7563,7120646643085522400
pgm16,256,0,26.4496,7120646643085522400
rs18_e16,256,0,23.6618,7120646643085522400
clusterjump,256,0,12.3779,7120646643085522400
rs18_e16,256,1,23.6710,7120646643085522400
pgm16,256,1,26.5274,7120646643085522400
clusterjump,256,1,12.5351,7120646643085522400
splus16,256,1,12.6740,7120646643085522400
splus8,256,1,16.2811,7120646643085522400
splus8,256,2,15.8279,7120646643085522400
clusterjump,256,2,12.3550,7120646643085522400
rs18_e16,256,2,23.6694,7120646643085522400
pgm16,256,2,26.5121,7120646643085522400
splus16,256,2,12.6663,7120646643085522400
clusterjump,256,3,12.3077,7120646643085522400
splus16,256,3,12.8769,7120646643085522400
splus8,256,3,15.7776,7120646643085522400
pgm16,256,3,26.4389,7120646643085522400
rs18_e16,256,3,23.6618,7120646643085522400
rs18_e16,256,4,24.1058,7120646643085522400
splus16,256,4,12.7121,7120646643085522400
pgm16,256,4,26.4999,7120646643085522400
clusterjump,256,4,12.4924,7120646643085522400
splus8,256,4,15.9988,7120646643085522400
pgm16,256,5,26.8005,7120646643085522400
splus16,256,5,12.6495,7120646643085522400
rs18_e16,256,5,23.7000,7120646643085522400
clusterjump,256,5,12.2498,7120646643085522400
splus8,256,5,16.0049,7120646643085522400
pgm16,256,6,26.4771,7120646643085522400
clusterjump,256,6,12.3062,7120646643085522400
rs18_e16,256,6,23.7167,7120646643085522400
splus16,256,6,12.6678,7120646643085522400
splus8,256,6,15.9363,7120646643085522400
rs18_e16,256,7,23.6755,7120646643085522400
clusterjump,256,7,12.2635,7120646643085522400
pgm16,256,7,26.4297,7120646643085522400
splus8,256,7,16.1255,7120646643085522400
splus16,256,7,12.7655,7120646643085522400
rs18_e16,256,8,23.6618,7120646643085522400
splus8,256,8,16.0416,7120646643085522400
splus16,256,8,12.7243,7120646643085522400
pgm16,256,8,26.4297,7120646643085522400
clusterjump,256,8,12.2864,7120646643085522400
pgm16,256,9,26.3672,7120646643085522400
splus8,256,9,15.7730,7120646643085522400
rs18_e16,256,9,23.6359,7120646643085522400
clusterjump,256,9,12.2299,7120646643085522400
splus16,256,9,12.7274,7120646643085522400
pgm16,256,10,26.3687,7120646643085522400
rs18_e16,256,10,23.5962,7120646643085522400
splus16,256,10,12.7548,7120646643085522400
clusterjump,256,10,12.2299,7120646643085522400
splus8,256,10,15.8051,7120646643085522400
splus8,256,11,15.7776,7120646643085522400
