structure,n,rep,ns_per_query,checksum
splus8,256,0,16.0721,62006224939
splus16,256,0,12.7762,62006224939
pgm16,256,0,18.2465,62006224939
rs18_e16,256,0,23.2803,62006224939
clusterjump,256,0,13.1226,62006224939
rs18_e16,256,1,23.2910,62006224939
pgm16,256,1,18.2800,62006224939
clusterjump,256,1,13.3057,62006224939
splus16,256,1,12.6266,62006224939
splus8,256,1,16.1209,62006224939
splus8,256,2,16.0736,62006224939
clusterjump,256,2,13.0737,62006224939
rs18_e16,256,2,23.2880,62006224939
pgm16,256,2,18.3014,62006224939
splus16,256,2,12.8937,62006224939
clusterjump,256,3,13.3911,62006224939
splus16,256,3,12.6251,62006224939
splus8,256,3,15.9103,62006224939
pgm16,256,3,18.6539,62006224939
rs18_e16,256,3,23.8388,62006224939
rs18_e16,256,4,23.2666,62006224939
splus16,256,4,12.6450,62006224939
pgm16,256,4,18.3258,62006224939
clusterjump,256,4,12.9990,62006224939
splus8,256,4,16.0294,62006224939
pgm16,256,5,18.2831,62006224939
splus16,256,5,12.6663,62006224939
rs18_e16,256,5,23.3032,62006224939
clusterjump,256,5,13.0188,62006224939
splus8,256,5,15.8356,62006224939
pgm16,256,6,18.2816,62006224939
clusterjump,256,6,12.9898,62006224939
rs18_e16,256,6,23.2727,62006224939
splus16,256,6,12.7060,62006224939
splus8,256,6,16.1133,62006224939
rs18_e16,256,7,23.3765,62006224939
clusterjump,256,7,13.1256,62006224939
pgm16,256,7,18.3395,62006224939
splus8,256,7,15.8737,62006224939
splus16,256,7,12.6236,62006224939
rs18_e16,256,8,23.2895,62006224939
splus8,256,8,16.0416,62006224939
splus16,256,8,13.4811,62006224939
pgm16,256,8,18.2877,62006224939
clusterjump,256,8,12.9898,62006224939
pgm16,256,9,18.2678,62006224939
splus8,256,9,15.9698,62006224939
rs18_e16,256,9,23.3231,62006224939
clusterjump,256,9,12.9898,62006224939
splus16,256,9,12.6251,62006224939
pgm16,256,10,18.3594,62006224939
rs18_e16,256,10,23.2864,62006224939
splus16,256,10,12.6236,62006224939
clusterjump,256,10,13.0066,62006224939
splus8,256,10,15.7867,62006224939
splus8,256,11,15.9302,62006224939
rs18_e16,256,11,23.2819,62006224939
splus16,256,11,12.6251,62006224939
pgm16,256,11,18.3273,62006224939
clusterjump,256,11,13.1958,62006224939
clusterjump,256,12,12.9593,62006224939
pgm16,256,12,18.3319,62006224939
rs18_e16,256,12,25.2823,62006224939
splus8,256,12,16.0492,62006224939
splus16,256,12,12.7258,62006224939
rs18_e16,256,13,23.3185,62006224939
splus8,256,13,15.8508,62006224939
splus16,256,13,12.6663,62006224939
clusterjump,256,13,12.9440,62006224939
pgm16,256,13,18.3548,62006224939
splus8,256,14,15.7944,62006224939
pgm16,256,14,18.3151,62006224939
rs18_e16,256,14,23.2651,62006224939
clusterjump,256,14,13.0142,62006224939
splus16,256,14,12.6251,62006224939
clusterjump,512,0,14.5569,132746390025
splus16,512,0,17.8787,132746390025
pgm16,512,0,18.4082,132746390025
splus8,512,0,16.1270,132746390025
rs18_e16,512,0,23.3994,132746390025
clusterjump,512,1,14.6362,132746390025
pgm16,512,1,18.3517,132746390025
splus16,512,1,17.9352,132746390025
rs18_e16,512,1,23.3063,132746390025
splus8,512,1,16.1331,132746390025
clusterjump,512,2,14.6667,132746390025
splus8,512,2,16.0782,132746390025
rs18_e16,512,2,23.5458,132746390025
splus16,512,2,17.9352,132746390025
pgm16,512,2,18.3701,132746390025
clusterjump,512,3,14.6149,132746390025
pgm16,512,3,18.3060,132746390025
rs18_e16,512,3,23.4100,132746390025
splus16,512,3,17.9611,132746390025
splus8,512,3,16.0889,132746390025
splus16,512,4,17.8864,132746390025
splus8,512,4,16.0721,132746390025
pgm16,512,4,18.3395,132746390025
clusterjump,512,4,14.7156,132746390025
rs18_e16,512,4,23.5687,132746390025
pgm16,512,5,18.4708,132746390025
rs18_e16,512,5,24.1364,132746390025
splus16,512,5,18.0511,132746390025
clusterjump,512,5,14.6118,132746390025
splus8,512,5,15.7837,132746390025
pgm16,512,6,18.3655,132746390025
splus16,512,6,17.9504,132746390025
rs18_e16,512,6,23.3810,132746390025
splus8,512,6,16.1057,132746390025
clusterjump,512,6,14.5294,132746390025
splus16,512,7,17.8574,132746390025
splus8,512,7,15.9088,132746390025
clusterjump,512,7,14.6606,132746390025
pgm16,512,7,18.3456,132746390025
rs18_e16,512,7,23.3261,132746390025
splus8,512,8,16.1560,132746390025
clusterjump,512,8,14.5737,132746390025
pgm16,512,8,18.3655,132746390025
rs18_e16,512,8,23.4161,132746390025
splus16,512,8,17.8635,132746390025
rs18_e16,512,9,23.4238,132746390025
splus8,512,9,15.8310,132746390025
splus16,512,9,17.9413,132746390025
clusterjump,512,9,14.5676,132746390025
pgm16,512,9,18.3350,132746390025
rs18_e16,512,10,23.3673,132746390025
pgm16,512,10,18.3807,132746390025
splus8,512,10,15.7898,132746390025
clusterjump,512,10,14.5645,132746390025
splus16,512,10,17.8040,132746390025
rs18_e16,512,11,23.2956,132746390025
splus16,512,11,17.8223,132746390025
splus8,512,11,16.0370,132746390025
pgm16,512,11,18.3044,132746390025
clusterjump,512,11,14.5538,132746390025
rs18_e16,512,12,23.3902,132746390025
splus8,512,12,15.8829,132746390025
pgm16,512,12,18.3502,132746390025
splus16,512,12,17.7734,132746390025
clusterjump,512,12,14.5554,132746390025
rs18_e16,512,13,23.3810,132746390025
clusterjump,512,13,14.5081,132746390025
splus16,512,13,17.8833,132746390025
splus8,512,13,15.8798,132746390025
pgm16,512,13,18.4097,132746390025
clusterjump,512,14,14.5065,132746390025
splus8,512,14,15.8356,132746390025
pgm16,512,14,18.3304,132746390025
splus16,512,14,17.9672,132746390025
rs18_e16,512,14,23.3673,132746390025
pgm16,1024,0,27.2781,38832505032
splus8,1024,0,20.6985,38832505032
splus16,1024,0,17.7917,38832505032
rs18_e16,1024,0,23.6740,38832505032
clusterjump,1024,0,13.6276,38832505032
pgm16,1024,1,27.1042,38832505032
splus16,1024,1,17.8406,38832505032
rs18_e16,1024,1,23.6755,38832505032
clusterjump,1024,1,13.6368,38832505032
splus8,1024,1,20.7260,38832505032
pgm16,1024,2,27.0798,38832505032
splus8,1024,2,20.7352,38832505032
rs18_e16,1024,2,23.6526,38832505032
clusterjump,1024,2,13.4888,38832505032
splus16,1024,2,17.8268,38832505032
rs18_e16,1024,3,24.3851,38832505032
pgm16,1024,3,27.0355,38832505032
splus16,1024,3,17.8528,38832505032
clusterjump,1024,3,13.4781,38832505032
splus8,1024,3,20.7275,38832505032
pgm16,1024,4,27.0767,38832505032
splus8,1024,4,20.6985,38832505032
splus16,1024,4,17.8864,38832505032
clusterjump,1024,4,13.4888,38832505032
rs18_e16,1024,4,23.6420,38832505032
splus16,1024,5,17.8284,38832505032
splus8,1024,5,20.6787,38832505032
pgm16,1024,5,27.0538,38832505032
rs18_e16,1024,5,23.6420,38832505032
clusterjump,1024,5,13.4735,38832505032
pgm16,1024,6,27.0752,38832505032
splus8,1024,6,20.8206,38832505032
splus16,1024,6,17.7750,38832505032
rs18_e16,1024,6,23.6313,38832505032
clusterjump,1024,6,13.5010,38832505032
splus16,1024,7,17.8009,38832505032
pgm16,1024,7,27.0737,38832505032
rs18_e16,1024,7,23.5840,38832505032
clusterjump,1024,7,13.5040,38832505032
splus8,1024,7,20.6787,38832505032
splus16,1024,8,17.9443,38832505032
splus8,1024,8,20.7504,38832505032
rs18_e16,1024,8,23.6145,38832505032
clusterjump,1024,8,13.4705,38832505032
pgm16,1024,8,27.0386,38832505032
clusterjump,1024,9,13.5223,38832505032
rs18_e16,1024,9,23.6191,38832505032
pgm16,1024,9,27.0126,38832505032
splus16,1024,9,17.9230,38832505032
splus8,1024,9,20.7092,38832505032
splus16,1024,10,17.8467,38832505032
pgm16,1024,10,27.0218,38832505032
rs18_e16,1024,10,23.6542,38832505032
clusterjump,1024,10,13.6139,38832505032
splus8,1024,10,20.7077,38832505032
rs18_e16,1024,11,23.6282,38832505032
clusterjump,1024,11,13.4583,38832505032
splus8,1024,11,20.7184,38832505032
pgm16,1024,11,27.0660,38832505032
splus16,1024,11,17.7765,38832505032
rs18_e16,1024,12,23.6465,38832505032
splus8,1024,12,20.7291,38832505032
pgm16,1024,12,27.0493,38832505032
splus16,1024,12,17.7719,38832505032
clusterjump,1024,12,13.5056,38832505032
pgm16,1024,13,27.0325,38832505032
splus16,1024,13,17.8040,38832505032
splus8,1024,13,20.6833,38832505032
rs18_e16,1024,13,23.6313,38832505032
clusterjump,1024,13,13.5040,38832505032
splus16,1024,14,17.8040,38832505032
rs18_e16,1024,14,23.6649,38832505032
pgm16,1024,14,27.0554,38832505032
clusterjump,1024,14,13.4796,38832505032
splus8,1024,14,20.3522,38832505032
splus16,2048,0,18.1015,20952673403
clusterjump,2048,0,14.2105,20952673403
pgm16,2048,0,27.8397,20952673403
splus8,2048,0,20.7809,20952673403
rs18_e16,2048,0,25.8560,20952673403
rs18_e16,2048,1,23.8388,20952673403
splus16,2048,1,17.8085,20952673403
pgm16,2048,1,27.7740,20952673403
splus8,2048,1,20.7474,20952673403
clusterjump,2048,1,14.1724,20952673403
splus16,2048,2,17.8345,20952673403
clusterjump,2048,2,14.1022,20952673403
splus8,2048,2,20.7520,20952673403
pgm16,2048,2,27.8152,20952673403
rs18_e16,2048,2,23.8876,20952673403
splus16,2048,3,17.7811,20952673403
splus8,2048,3,20.5048,20952673403
pgm16,2048,3,27.7893,20952673403
rs18_e16,2048,3,29.7882,20952673403
clusterjump,2048,3,14.2532,20952673403
splus8,2048,4,20.3156,20952673403
pgm16,2048,4,27.7466,20952673403
splus16,2048,4,17.7811,20952673403
clusterjump,2048,4,14.0778,20952673403
rs18_e16,2048,4,23.8678,20952673403
rs18_e16,2048,5,23.8693,20952673403
pgm16,2048,5,27.6947,20952673403
splus8,2048,5,20.3156,20952673403
splus16,2048,5,17.8894,20952673403
clusterjump,2048,5,14.1953,20952673403
pgm16,2048,6,27.7390,20952673403
clusterjump,2048,6,14.1006,20952673403
rs18_e16,2048,6,23.8754,20952673403
splus16,2048,6,17.7841,20952673403
splus8,2048,6,20.3262,20952673403
pgm16,2048,7,27.6993,20952673403
splus16,2048,7,17.8864,20952673403
splus8,2048,7,20.2713,20952673403
rs18_e16,2048,7,23.8815,20952673403
clusterjump,2048,7,14.0900,20952673403
clusterjump,2048,8,14.0244,20952673403
rs18_e16,2048,8,23.9716,20952673403
splus8,2048,8,20.7687,20952673403
splus16,2048,8,17.7811,20952673403
pgm16,2048,8,27.7573,20952673403
pgm16,2048,9,27.6840,20952673403
rs18_e16,2048,9,23.8724,20952673403
clusterjump,2048,9,14.0869,20952673403
splus8,2048,9,20.2728,20952673403
splus16,2048,9,17.8467,20952673403
clusterjump,2048,10,14.0274,20952673403
splus8,2048,10,20.3674,20952673403
rs18_e16,2048,10,23.8708,20952673403
splus16,2048,10,17.8070,20952673403
pgm16,2048,10,27.7176,20952673403
splus8,2048,11,20.7428,20952673403
clusterjump,2048,11,14.0717,20952673403
splus16,2048,11,17.7841,20952673403
rs18_e16,2048,11,23.9014,20952673403
pgm16,2048,11,27.6749,20952673403
clusterjump,2048,12,14.0686,20952673403
rs18_e16,2048,12,23.7976,20952673403
pgm16,2048,12,27.7069,20952673403
splus8,2048,12,21.5073,20952673403
splus16,2048,12,18.6569,20952673403
clusterjump,2048,13,14.0198,20952673403
splus8,2048,13,20.7489,20952673403
pgm16,2048,13,27.7206,20952673403
rs18_e16,2048,13,23.9563,20952673403
splus16,2048,13,17.9062,20952673403
splus16,2048,14,17.9016,20952673403
splus8,2048,14,20.4498,20952673403
pgm16,2048,14,27.7069,20952673403
clusterjump,2048,14,14.0289,20952673403
rs18_e16,2048,14,23.8480,20952673403
rs18_e16,4096,0,24.7360,82208372596
splus8,4096,0,20.4102,82208372596
clusterjump,4096,0,14.2410,82208372596
splus16,4096,0,17.8604,82208372596
pgm16,4096,0,29.2709,82208372596
splus8,4096,1,20.4025,82208372596
pgm16,4096,1,29.1214,82208372596
rs18_e16,4096,1,25.8102,82208372596
clusterjump,4096,1,14.3600,82208372596
splus16,4096,1,17.9428,82208372596
splus16,4096,2,17.9001,82208372596
pgm16,4096,2,29.0833,82208372596
splus8,4096,2,20.4224,82208372596
clusterjump,4096,2,14.3143,82208372596
rs18_e16,4096,2,24.7299,82208372596
pgm16,4096,3,29.0756,82208372596
splus8,4096,3,20.8344,82208372596
splus16,4096,3,17.8619,82208372596
rs18_e16,4096,3,24.7070,82208372596
clusterjump,4096,3,14.2517,82208372596
rs18_e16,4096,4,24.7131,82208372596
pgm16,4096,4,29.1367,82208372596
clusterjump,4096,4,14.3524,82208372596
splus16,4096,4,18.0420,82208372596
splus8,4096,4,20.8572,82208372596
rs18_e16,4096,5,24.7284,82208372596
clusterjump,4096,5,14.2807,82208372596
splus16,4096,5,17.9840,82208372596
pgm16,4096,5,29.5563,82208372596
splus8,4096,5,20.5734,82208372596
rs18_e16,4096,6,24.7299,82208372596
splus16,4096,6,17.9031,82208372596
clusterjump,4096,6,14.2578,82208372596
pgm16,4096,6,29.0985,82208372596
splus8,4096,6,20.6406,82208372596
clusterjump,4096,7,14.2288,82208372596
splus16,4096,7,18.0176,82208372596
pgm16,4096,7,29.0176,82208372596
rs18_e16,4096,7,24.7284,82208372596
splus8,4096,7,20.7016,82208372596
clusterjump,4096,8,14.2395,82208372596
splus16,4096,8,17.9184,82208372596
pgm16,4096,8,29.0222,82208372596
rs18_e16,4096,8,24.7360,82208372596
splus8,4096,8,20.8389,82208372596
