structure,n,rep,ns_per_query,checksum
splus8,256,0,15.7867,1500921997093873970
splus16,256,0,12.7884,1500921997093873970
pgm16,256,0,28.5904,1500921997093873970
rs18_e16,256,0,21.9025,1500921997093873970
clusterjump,256,0,17.2607,1500921997093873970
rs18_e16,256,1,21.8796,1500921997093873970
pgm16,256,1,28.4637,1500921997093873970
clusterjump,256,1,17.1829,1500921997093873970
splus16,256,1,12.6724,1500921997093873970
splus8,256,1,16.1240,1500921997093873970
splus8,256,2,15.7745,1500921997093873970
clusterjump,256,2,17.1707,1500921997093873970
rs18_e16,256,2,22.6913,1500921997093873970
pgm16,256,2,28.4607,1500921997093873970
splus16,256,2,12.6236,1500921997093873970
clusterjump,256,3,17.1738,1500921997093873970
splus16,256,3,12.6266,1500921997093873970
splus8,256,3,15.8218,1500921997093873970
pgm16,256,3,28.4637,1500921997093873970
rs18_e16,256,3,21.8979,1500921997093873970
rs18_e16,256,4,21.7850,1500921997093873970
splus16,256,4,12.6663,1500921997093873970
pgm16,256,4,28.4363,1500921997093873970
clusterjump,256,4,17.1249,1500921997093873970
splus8,256,4,15.8386,1500921997093873970
pgm16,256,5,28.4241,1500921997093873970
splus16,256,5,12.6251,1500921997093873970
rs18_e16,256,5,21.8704,1500921997093873970
clusterjump,256,5,17.1478,1500921997093873970
splus8,256,5,15.7745,1500921997093873970
pgm16,256,6,28.4714,1500921997093873970
clusterjump,256,6,17.1295,1500921997093873970
rs18_e16,256,6,21.8628,1500921997093873970
splus16,256,6,12.6266,1500921997093873970
splus8,256,6,16.1072,1500921997093873970
rs18_e16,256,7,21.8674,1500921997093873970
clusterjump,256,7,17.1082,1500921997093873970
pgm16,256,7,28.4149,1500921997093873970
splus8,256,7,15.8173,1500921997093873970
splus16,256,7,12.6236,1500921997093873970
rs18_e16,256,8,23.1354,1500921997093873970
splus8,256,8,15.8371,1500921997093873970
splus16,256,8,12.6251,1500921997093873970
pgm16,256,8,28.4286,1500921997093873970
clusterjump,256,8,17.1021,1500921997093873970
pgm16,256,9,28.4500,1500921997093873970
splus8,256,9,15.7776,1500921997093873970
rs18_e16,256,9,21.8765,1500921997093873970
clusterjump,256,9,17.1082,1500921997093873970
splus16,256,9,12.7441,1500921997093873970
pgm16,256,10,28.3798,1500921997093873970
rs18_e16,256,10,21.8719,1500921997093873970
splus16,256,10,12.6251,1500921997093873970
clusterjump,256,10,17.1509,1500921997093873970
splus8,256,10,15.7761,1500921997093873970
splus8,256,11,15.8157,1500921997093873970
rs18_e16,256,11,21.8826,1500921997093873970
splus16,256,11,12.6816,1500921997093873970
pgm16,256,11,28.4088,1500921997093873970
clusterjump,256,11,17.1509,1500921997093873970
