structure,n,rep,ns_per_query,checksum
splus8,256,0,16.0706,1889522388
splus16,256,0,12.7228,1889522388
pgm16,256,0,26.7715,1889522388
rs18_e16,256,0,23.2712,1889522388
clusterjump,256,0,14.2441,1889522388
rs18_e16,256,1,23.1689,1889522388
pgm16,256,1,26.7532,1889522388
clusterjump,256,1,14.2807,1889522388
splus16,256,1,12.6328,1889522388
splus8,256,1,16.0553,1889522388
splus8,256,2,16.0950,1889522388
clusterjump,256,2,14.1861,1889522388
rs18_e16,256,2,23.3307,1889522388
pgm16,256,2,26.7807,1889522388
splus16,256,2,12.6297,1889522388
clusterjump,256,3,14.1953,1889522388
splus16,256,3,12.6282,1889522388
splus8,256,3,16.1240,1889522388
pgm16,256,3,26.7242,1889522388
rs18_e16,256,3,23.5718,1889522388
rs18_e16,256,4,23.2849,1889522388
splus16,256,4,12.7777,1889522388
pgm16,256,4,27.5375,1889522388
clusterjump,256,4,14.1266,1889522388
splus8,256,4,15.8554,1889522388
pgm16,256,5,26.6510,1889522388
splus16,256,5,12.7579,1889522388
rs18_e16,256,5,23.4360,1889522388
clusterjump,256,5,14.1159,1889522388
splus8,256,5,15.9363,1889522388
pgm16,256,6,26.7075,1889522388
clusterjump,256,6,14.1190,1889522388
rs18_e16,256,6,23.3078,1889522388
splus16,256,6,12.6236,1889522388
splus8,256,6,16.1194,1889522388
rs18_e16,256,7,23.5260,1889522388
clusterjump,256,7,14.1220,1889522388
pgm16,256,7,26.6800,1889522388
splus8,256,7,16.0599,1889522388
splus16,256,7,12.6236,1889522388
rs18_e16,256,8,23.4650,1889522388
splus8,256,8,15.9698,1889522388
splus16,256,8,12.7213,1889522388
pgm16,256,8,26.6846,1889522388
clusterjump,256,8,14.1449,1889522388
pgm16,256,9,26.7029,1889522388
splus8,256,9,15.9607,1889522388
rs18_e16,256,9,24.0540,1889522388
clusterjump,256,9,14.1769,1889522388
splus16,256,9,12.6251,1889522388
pgm16,256,10,26.6769,1889522388
rs18_e16,256,10,23.2559,1889522388
splus16,256,10,12.7380,1889522388
clusterjump,256,10,14.1129,1889522388
splus8,256,10,16.1179,1889522388
splus8,256,11,15.8234,1889522388
rs18_e16,256,11,23.2605,1889522388
splus16,256,11,12.6251,1889522388
pgm16,256,11,26.6754,1889522388
