structure,n,rep,ns_per_query,checksum
splus8,256,0,3.0334,7120646643085522400
splus16,256,0,2.9007,7120646643085522400
pgm16,256,0,11.0229,7120646643085522400
rs18_e16,256,0,6.4148,7120646643085522400
clusterjump,256,0,3.0350,7120646643085522400
rs18_e16,256,1,6.4209,7120646643085522400
pgm16,256,1,10.9283,7120646643085522400
clusterjump,256,1,3.0273,7120646643085522400
splus16,256,1,2.8870,7120646643085522400
splus8,256,1,2.8870,7120646643085522400
splus8,256,2,2.8839,7120646643085522400
clusterjump,256,2,3.0380,7120646643085522400
rs18_e16,256,2,6.3995,7120646643085522400
pgm16,256,2,10.9833,7120646643085522400
splus16,256,2,2.9083,7120646643085522400
clusterjump,256,3,3.0380,7120646643085522400
splus16,256,3,2.9068,7120646643085522400
splus8,256,3,5.9845,7120646643085522400
pgm16,256,3,11.0367,7120646643085522400
rs18_e16,256,3,6.8665,7120646643085522400
rs18_e16,256,4,6.3950,7120646643085522400
splus16,256,4,2.8656,7120646643085522400
pgm16,256,4,11.0291,7120646643085522400
clusterjump,256,4,2.9861,7120646643085522400
splus8,256,4,2.8656,7120646643085522400
pgm16,256,5,10.8917,7120646643085522400
splus16,256,5,2.8366,7120646643085522400
rs18_e16,256,5,6.4438,7120646643085522400
clusterjump,256,5,2.9770,7120646643085522400
splus8,256,5,2.8931,7120646643085522400
pgm16,256,6,10.8826,7120646643085522400
clusterjump,256,6,2.9922,7120646643085522400
rs18_e16,256,6,6.3980,7120646643085522400
splus16,256,6,2.8915,7120646643085522400
splus8,256,6,2.9022,7120646643085522400
rs18_e16,256,7,7.0389,7120646643085522400
clusterjump,256,7,2.9831,7120646643085522400
pgm16,256,7,10.9695,7120646643085522400
splus8,256,7,3.0411,7120646643085522400
splus16,256,7,2.8564,7120646643085522400
rs18_e16,256,8,6.4041,7120646643085522400
splus8,256,8,2.8748,7120646643085522400
splus16,256,8,2.8290,7120646643085522400
pgm16,256,8,10.9406,7120646643085522400
clusterjump,256,8,2.9938,7120646643085522400
pgm16,256,9,10.9177,7120646643085522400
splus8,256,9,2.8946,7120646643085522400
rs18_e16,256,9,6.5765,7120646643085522400
clusterjump,256,9,2.9800,7120646643085522400
splus16,256,9,2.8885,7120646643085522400
pgm16,256,10,10.8932,7120646643085522400
