structure,n,rep,ns_per_query,checksum
splus8,256,0,3.0258,62006224939
splus16,256,0,2.9144,62006224939
pgm16,256,0,5.5939,62006224939
rs18_e16,256,0,6.5842,62006224939
clusterjump,256,0,4.1519,62006224939
rs18_e16,256,1,6.2897,62006224939
pgm16,256,1,5.5603,62006224939
clusterjump,256,1,4.0710,62006224939
splus16,256,1,2.8809,62006224939
splus8,256,1,2.8870,62006224939
splus8,256,2,2.8778,62006224939
clusterjump,256,2,4.0421,62006224939
rs18_e16,256,2,6.3660,62006224939
pgm16,256,2,5.5725,62006224939
splus16,256,2,2.8870,62006224939
clusterjump,256,3,3.9978,62006224939
splus16,256,3,2.8275,62006224939
splus8,256,3,2.9419,62006224939
pgm16,256,3,5.5466,62006224939
rs18_e16,256,3,6.3004,62006224939
rs18_e16,256,4,6.2958,62006224939
splus16,256,4,2.9190,62006224939
pgm16,256,4,5.6320,62006224939
clusterjump,256,4,3.9719,62006224939
splus8,256,4,3.8040,62006224939
pgm16,256,5,5.8762,62006224939
splus16,256,5,2.8351,62006224939
rs18_e16,256,5,6.5292,62006224939
clusterjump,256,5,3.9169,62006224939
splus8,256,5,2.9434,62006224939
pgm16,256,6,5.5557,62006224939
clusterjump,256,6,4.3579,62006224939
rs18_e16,256,6,6.3324,62006224939
splus16,256,6,2.8946,62006224939
splus8,256,6,2.9083,62006224939
rs18_e16,256,7,6.2927,62006224939
clusterjump,256,7,3.9780,62006224939
pgm16,256,7,5.5542,62006224939
splus8,256,7,2.8961,62006224939
splus16,256,7,2.8870,62006224939
rs18_e16,256,8,6.2973,62006224939
splus8,256,8,2.8763,62006224939
splus16,256,8,2.8168,62006224939
pgm16,256,8,5.6183,62006224939
clusterjump,256,8,3.8620,62006224939
pgm16,256,9,5.5527,62006224939
splus8,256,9,2.9007,62006224939
rs18_e16,256,9,6.4758,62006224939
clusterjump,256,9,4.0771,62006224939
splus16,256,9,2.8931,62006224939
pgm16,256,10,5.6198,62006224939
rs18_e16,256,10,7.1259,62006224939
splus16,256,10,2.8519,62006224939
clusterjump,256,10,3.9261,62006224939
splus8,256,10,3.0151,62006224939
splus8,256,11,2.9572,62006224939
rs18_e16,256,11,7.4478,62006224939
splus16,256,11,2.8915,62006224939
pgm16,256,11,5.5923,62006224939
clusterjump,256,11,3.9169,62006224939
clusterjump,256,12,3.9154,62006224939
pgm16,256,12,5.5603,62006224939
rs18_e16,256,12,7.0328,62006224939
splus8,256,12,2.9099,62006224939
splus16,256,12,2.9358,62006224939
rs18_e16,256,13,6.5201,62006224939
splus8,256,13,2.9083,62006224939
splus16,256,13,2.8534,62006224939
clusterjump,256,13,3.9154,62006224939
pgm16,256,13,5.6213,62006224939
splus8,256,14,2.8915,62006224939
pgm16,256,14,5.5527,62006224939
rs18_e16,256,14,6.3904,62006224939
clusterjump,256,14,3.9078,62006224939
splus16,256,14,2.8809,62006224939
clusterjump,512,0,6.4911,132746390025
splus16,512,0,4.8325,132746390025
pgm16,512,0,5.8060,132746390025
splus8,512,0,2.9144,132746390025
rs18_e16,512,0,6.3156,132746390025
clusterjump,512,1,6.4301,132746390025
pgm16,512,1,5.7755,132746390025
splus16,512,1,4.9805,132746390025
rs18_e16,512,1,6.3232,132746390025
splus8,512,1,2.9099,132746390025
clusterjump,512,2,6.3446,132746390025
splus8,512,2,3.0289,132746390025
rs18_e16,512,2,6.3263,132746390025
splus16,512,2,4.9835,132746390025
pgm16,512,2,5.7602,132746390025
clusterjump,512,3,6.3095,132746390025
pgm16,512,3,5.7755,132746390025
rs18_e16,512,3,6.3400,132746390025
splus16,512,3,5.0049,132746390025
splus8,512,3,2.8839,132746390025
splus16,512,4,4.9377,132746390025
splus8,512,4,2.9160,132746390025
pgm16,512,4,5.7785,132746390025
clusterjump,512,4,6.2637,132746390025
rs18_e16,512,4,6.3354,132746390025
pgm16,512,5,5.7770,132746390025
rs18_e16,512,5,6.3660,132746390025
splus16,512,5,4.9835,132746390025
clusterjump,512,5,6.2408,132746390025
splus8,512,5,2.9144,132746390025
pgm16,512,6,5.7526,132746390025
splus16,512,6,4.9500,132746390025
rs18_e16,512,6,6.3141,132746390025
splus8,512,6,2.9022,132746390025
clusterjump,512,6,6.2180,132746390025
splus16,512,7,4.9942,132746390025
splus8,512,7,2.9083,132746390025
clusterjump,512,7,6.2454,132746390025
pgm16,512,7,5.7480,132746390025
rs18_e16,512,7,7.2189,132746390025
splus8,512,8,2.9037,132746390025
clusterjump,512,8,6.2408,132746390025
pgm16,512,8,5.7617,132746390025
rs18_e16,512,8,6.3126,132746390025
splus16,512,8,4.9484,132746390025
rs18_e16,512,9,6.2988,132746390025
splus8,512,9,2.8748,132746390025
splus16,512,9,4.8080,132746390025
clusterjump,512,9,6.1996,132746390025
pgm16,512,9,5.7449,132746390025
rs18_e16,512,10,6.3019,132746390025
pgm16,512,10,5.7632,132746390025
splus8,512,10,2.8976,132746390025
clusterjump,512,10,6.1813,132746390025
splus16,512,10,4.9698,132746390025
rs18_e16,512,11,6.3080,132746390025
splus16,512,11,4.9652,132746390025
splus8,512,11,2.9037,132746390025
pgm16,512,11,5.7587,132746390025
clusterjump,512,11,6.1249,132746390025
rs18_e16,512,12,6.2973,132746390025
splus8,512,12,2.8900,132746390025
pgm16,512,12,5.7602,132746390025
splus16,512,12,4.9911,132746390025
clusterjump,512,12,6.6605,132746390025
rs18_e16,512,13,6.3522,132746390025
clusterjump,512,13,6.2576,132746390025
splus16,512,13,4.9988,132746390025
splus8,512,13,2.8885,132746390025
pgm16,512,13,5.7632,132746390025
clusterjump,512,14,6.1890,132746390025
splus8,512,14,2.8885,132746390025
pgm16,512,14,5.8121,132746390025
splus16,512,14,4.9850,132746390025
rs18_e16,512,14,6.3263,132746390025
pgm16,1024,0,12.1475,38832505032
splus8,1024,0,4.1977,38832505032
splus16,1024,0,4.7882,38832505032
rs18_e16,1024,0,6.4056,38832505032
clusterjump,1024,0,4.8416,38832505032
pgm16,1024,1,12.0560,38832505032
splus16,1024,1,4.8233,38832505032
rs18_e16,1024,1,6.3995,38832505032
clusterjump,1024,1,4.7760,38832505032
splus8,1024,1,4.2816,38832505032
pgm16,1024,2,11.9492,38832505032
splus8,1024,2,4.3747,38832505032
rs18_e16,1024,2,6.3904,38832505032
clusterjump,1024,2,4.7073,38832505032
splus16,1024,2,4.9103,38832505032
rs18_e16,1024,3,6.4011,38832505032
pgm16,1024,3,11.9339,38832505032
splus16,1024,3,4.9927,38832505032
clusterjump,1024,3,4.7333,38832505032
splus8,1024,3,4.4662,38832505032
pgm16,1024,4,11.9125,38832505032
splus8,1024,4,4.4586,38832505032
splus16,1024,4,4.9622,38832505032
clusterjump,1024,4,4.7089,38832505032
rs18_e16,1024,4,6.4117,38832505032
splus16,1024,5,4.9805,38832505032
