structure,n,rep,ns_per_query,checksum
splus8,256,0,3.0212,7869302200322375742
splus16,256,0,2.9099,7869302200322375742
pgm16,256,0,14.3906,7869302200322375742
rs18_e16,256,0,5.7159,7869302200322375742
clusterjump,256,0,8.4900,7869302200322375742
rs18_e16,256,1,5.7114,7869302200322375742
pgm16,256,1,14.2746,7869302200322375742
clusterjump,256,1,8.2382,7869302200322375742
splus16,256,1,2.9114,7869302200322375742
splus8,256,1,2.9877,7869302200322375742
splus8,256,2,2.9160,7869302200322375742
clusterjump,256,2,8.3664,7869302200322375742
rs18_e16,256,2,5.7114,7869302200322375742
pgm16,256,2,14.4333,7869302200322375742
splus16,256,2,2.8259,7869302200322375742
clusterjump,256,3,8.4045,7869302200322375742
splus16,256,3,2.9053,7869302200322375742
splus8,256,3,2.9083,7869302200322375742
pgm16,256,3,14.3906,7869302200322375742
rs18_e16,256,3,5.7220,7869302200322375742
rs18_e16,256,4,5.7877,7869302200322375742
splus16,256,4,2.8915,7869302200322375742
pgm16,256,4,14.4028,7869302200322375742
clusterjump,256,4,8.3572,7869302200322375742
splus8,256,4,2.9175,7869302200322375742
pgm16,256,5,14.2838,7869302200322375742
splus16,256,5,2.8381,7869302200322375742
rs18_e16,256,5,5.6976,7869302200322375742
clusterjump,256,5,8.2733,7869302200322375742
splus8,256,5,2.9282,7869302200322375742
pgm16,256,6,14.4623,7869302200322375742
clusterjump,256,6,8.3725,7869302200322375742
rs18_e16,256,6,5.7175,7869302200322375742
splus16,256,6,2.8397,7869302200322375742
splus8,256,6,2.8976,7869302200322375742
rs18_e16,256,7,5.7190,7869302200322375742
clusterjump,256,7,8.3450,7869302200322375742
pgm16,256,7,14.3097,7869302200322375742
splus8,256,7,2.8870,7869302200322375742
splus16,256,7,2.8336,7869302200322375742
rs18_e16,256,8,5.6824,7869302200322375742
splus8,256,8,2.8641,7869302200322375742
splus16,256,8,2.8702,7869302200322375742
pgm16,256,8,14.2670,7869302200322375742
clusterjump,256,8,8.3252,7869302200322375742
pgm16,256,9,14.3204,7869302200322375742
splus8,256,9,2.9205,7869302200322375742
rs18_e16,256,9,5.7068,7869302200322375742
clusterjump,256,9,8.2855,7869302200322375742
splus16,256,9,2.8900,7869302200322375742
pgm16,256,10,14.5798,7869302200322375742
rs18_e16,256,10,5.6915,7869302200322375742
splus16,256,10,2.8412,7869302200322375742
clusterjump,256,10,8.2596,7869302200322375742
splus8,256,10,2.9739,7869302200322375742
splus8,256,11,2.8717,7869302200322375742
rs18_e16,256,11,5.7037,7869302200322375742
splus16,256,11,2.8793,7869302200322375742
pgm16,256,11,14.5798,7869302200322375742
clusterjump,256,11,8.3496,7869302200322375742
clusterjump,256,12,8.3252,7869302200322375742
pgm16,256,12,14.3234,7869302200322375742
rs18_e16,256,12,5.7068,7869302200322375742
splus8,256,12,2.8915,7869302200322375742
splus16,256,12,2.8442,7869302200322375742
rs18_e16,256,13,5.7053,7869302200322375742
splus8,256,13,2.8687,7869302200322375742
splus16,256,13,2.8076,7869302200322375742
clusterjump,256,13,8.2687,7869302200322375742
pgm16,256,13,14.2517,7869302200322375742
splus8,256,14,2.8915,7869302200322375742
pgm16,256,14,14.3204,7869302200322375742
rs18_e16,256,14,5.7022,7869302200322375742
clusterjump,256,14,8.1116,7869302200322375742
splus16,256,14,2.8839,7869302200322375742
clusterjump,512,0,10.0479,7815248250894860634
splus16,512,0,4.7699,7815248250894860634
pgm16,512,0,15.3961,7815248250894860634
splus8,512,0,2.8992,7815248250894860634
rs18_e16,512,0,5.7236,7815248250894860634
clusterjump,512,1,10.2951,7815248250894860634
pgm16,512,1,15.3763,7815248250894860634
splus16,512,1,4.8416,7815248250894860634
rs18_e16,512,1,5.6870,7815248250894860634
splus8,512,1,2.8961,7815248250894860634
clusterjump,512,2,10.4019,7815248250894860634
splus8,512,2,2.8702,7815248250894860634
rs18_e16,512,2,5.6976,7815248250894860634
splus16,512,2,4.9240,7815248250894860634
pgm16,512,2,15.3137,7815248250894860634
clusterjump,512,3,10.2325,7815248250894860634
pgm16,512,3,15.2618,7815248250894860634
rs18_e16,512,3,5.7037,7815248250894860634
splus16,512,3,4.9622,7815248250894860634
splus8,512,3,2.8854,7815248250894860634
splus16,512,4,4.8019,7815248250894860634
splus8,512,4,2.8595,7815248250894860634
pgm16,512,4,15.2390,7815248250894860634
clusterjump,512,4,10.3592,7815248250894860634
rs18_e16,512,4,5.6931,7815248250894860634
pgm16,512,5,15.2847,7815248250894860634
rs18_e16,512,5,5.6961,7815248250894860634
splus16,512,5,4.9454,7815248250894860634
clusterjump,512,5,10.3226,7815248250894860634
splus8,512,5,2.9404,7815248250894860634
pgm16,512,6,15.2588,7815248250894860634
splus16,512,6,4.9606,7815248250894860634
rs18_e16,512,6,5.7114,7815248250894860634
splus8,512,6,2.9327,7815248250894860634
clusterjump,512,6,10.1349,7815248250894860634
splus16,512,7,4.9057,7815248250894860634
splus8,512,7,2.9129,7815248250894860634
clusterjump,512,7,10.2432,7815248250894860634
pgm16,512,7,15.4175,7815248250894860634
