structure,n,rep,ns_per_query,checksum
splus8,256,0,3.0151,153461988
splus16,256,0,2.8275,153461988
pgm16,256,0,12.1353,153461988
rs18_e16,256,0,6.2759,153461988
clusterjump,256,0,6.9153,153461988
rs18_e16,256,1,6.2729,153461988
pgm16,256,1,12.0041,153461988
clusterjump,256,1,6.6452,153461988
splus16,256,1,2.8473,153461988
splus8,256,1,2.8778,153461988
splus8,256,2,2.8748,153461988
clusterjump,256,2,6.6101,153461988
rs18_e16,256,2,6.2668,153461988
pgm16,256,2,12.0392,153461988
splus16,256,2,2.8992,153461988
clusterjump,256,3,6.6360,153461988
splus16,256,3,2.8320,153461988
splus8,256,3,3.0319,153461988
pgm16,256,3,12.0270,153461988
rs18_e16,256,3,6.2897,153461988
rs18_e16,256,4,6.2668,153461988
splus16,256,4,2.8702,153461988
pgm16,256,4,12.0041,153461988
clusterjump,256,4,6.6330,153461988
splus8,256,4,2.8793,153461988
pgm16,256,5,11.9232,153461988
splus16,256,5,2.8397,153461988
rs18_e16,256,5,6.2927,153461988
clusterjump,256,5,6.2759,153461988
splus8,256,5,2.8732,153461988
pgm16,256,6,12.2238,153461988
clusterjump,256,6,6.3965,153461988
rs18_e16,256,6,6.2592,153461988
splus16,256,6,2.8412,153461988
splus8,256,6,2.9022,153461988
rs18_e16,256,7,6.2592,153461988
clusterjump,256,7,6.5948,153461988
pgm16,256,7,11.9278,153461988
splus8,256,7,3.0121,153461988
splus16,256,7,2.8397,153461988
rs18_e16,256,8,6.2546,153461988
splus8,256,8,2.8656,153461988
splus16,256,8,2.8168,153461988
pgm16,256,8,11.9446,153461988
clusterjump,256,8,6.5292,153461988
pgm16,256,9,11.9751,153461988
splus8,256,9,2.8931,153461988
rs18_e16,256,9,7.4417,153461988
clusterjump,256,9,6.7154,153461988
splus16,256,9,2.8503,153461988
pgm16,256,10,11.9858,153461988
rs18_e16,256,10,6.2836,153461988
splus16,256,10,2.8946,153461988
clusterjump,256,10,6.2317,153461988
splus8,256,10,2.8915,153461988
splus8,256,11,2.9114,153461988
rs18_e16,256,11,6.3187,153461988
splus16,256,11,2.8748,153461988
pgm16,256,11,12.0926,153461988
clusterjump,256,11,6.5201,153461988
clusterjump,256,12,6.5002,153461988
pgm16,256,12,11.9568,153461988
rs18_e16,256,12,6.2943,153461988
splus8,256,12,2.8885,153461988
splus16,256,12,2.8671,153461988
rs18_e16,256,13,6.2729,153461988
splus8,256,13,2.9358,153461988
splus16,256,13,2.8366,153461988
clusterjump,256,13,6.5384,153461988
pgm16,256,13,11.9095,153461988
splus8,256,14,2.8961,153461988
pgm16,256,14,11.9308,153461988
rs18_e16,256,14,6.2836,153461988
clusterjump,256,14,6.5109,153461988
splus16,256,14,2.8412,153461988
clusterjump,512,0,3.9978,2045983631
splus16,512,0,4.9164,2045983631
pgm16,512,0,13.2736,2045983631
splus8,512,0,2.9022,2045983631
rs18_e16,512,0,6.2531,2045983631
clusterjump,512,1,3.9352,2045983631
pgm16,512,1,13.1042,2045983631
splus16,512,1,4.7668,2045983631
rs18_e16,512,1,6.2241,2045983631
splus8,512,1,2.8854,2045983631
clusterjump,512,2,3.9581,2045983631
splus8,512,2,2.8641,2045983631
rs18_e16,512,2,6.3034,2045983631
splus16,512,2,4.7852,2045983631
pgm16,512,2,13.0081,2045983631
clusterjump,512,3,3.9261,2045983631
pgm16,512,3,13.1775,2045983631
rs18_e16,512,3,6.2683,2045983631
splus16,512,3,4.9332,2045983631
splus8,512,3,2.8961,2045983631
splus16,512,4,4.8874,2045983631
splus8,512,4,2.8839,2045983631
pgm16,512,4,12.9532,2045983631
clusterjump,512,4,3.9108,2045983631
rs18_e16,512,4,6.2424,2045983631
pgm16,512,5,13.1378,2045983631
rs18_e16,512,5,6.2500,2045983631
splus16,512,5,4.7775,2045983631
clusterjump,512,5,3.9154,2045983631
splus8,512,5,3.0838,2045983631
pgm16,512,6,12.9410,2045983631
splus16,512,6,4.9454,2045983631
rs18_e16,512,6,6.2729,2045983631
splus8,512,6,2.8702,2045983631
clusterjump,512,6,3.9413,2045983631
splus16,512,7,4.7852,2045983631
splus8,512,7,2.9144,2045983631
clusterjump,512,7,3.9017,2045983631
pgm16,512,7,12.9684,2045983631
rs18_e16,512,7,7.6096,2045983631
splus8,512,8,2.8732,2045983631
clusterjump,512,8,3.8895,2045983631
pgm16,512,8,12.9166,2045983631
rs18_e16,512,8,6.3202,2045983631
splus16,512,8,4.7729,2045983631
rs18_e16,512,9,6.2469,2045983631
splus8,512,9,2.8839,2045983631
splus16,512,9,4.9576,2045983631
clusterjump,512,9,3.8788,2045983631
pgm16,512,9,12.9471,2045983631
rs18_e16,512,10,6.2500,2045983631
pgm16,512,10,12.9196,2045983631
splus8,512,10,2.9877,2045983631
clusterjump,512,10,3.8666,2045983631
splus16,512,10,4.9072,2045983631
rs18_e16,512,11,6.2714,2045983631
splus16,512,11,4.9576,2045983631
splus8,512,11,2.9343,2045983631
pgm16,512,11,13.0768,2045983631
clusterjump,512,11,3.8727,2045983631
rs18_e16,512,12,6.2607,2045983631
splus8,512,12,2.9007,2045983631
pgm16,512,12,13.1729,2045983631
splus16,512,12,4.8065,2045983631
clusterjump,512,12,3.8788,2045983631
rs18_e16,512,13,6.2469,2045983631
clusterjump,512,13,3.8681,2045983631
splus16,512,13,4.7852,2045983631
splus8,512,13,3.0609,2045983631
pgm16,512,13,13.1165,2045983631
clusterjump,512,14,3.8666,2045983631
splus8,512,14,2.8778,2045983631
pgm16,512,14,13.0600,2045983631
splus16,512,14,4.9469,2045983631
rs18_e16,512,14,6.2332,2045983631
pgm16,1024,0,11.6592,63985181
splus8,1024,0,4.1977,63985181
splus16,1024,0,4.8904,63985181
rs18_e16,1024,0,6.2988,63985181
clusterjump,1024,0,4.2358,63985181
pgm16,1024,1,11.5921,63985181
splus16,1024,1,4.9637,63985181
rs18_e16,1024,1,6.3416,63985181
clusterjump,1024,1,4.2648,63985181
splus8,1024,1,4.2648,63985181
pgm16,1024,2,11.6760,63985181
splus8,1024,2,4.3335,63985181
rs18_e16,1024,2,6.2805,63985181
clusterjump,1024,2,4.1611,63985181
splus16,1024,2,4.9789,63985181
rs18_e16,1024,3,6.2912,63985181
pgm16,1024,3,11.6241,63985181
splus16,1024,3,4.9454,63985181
clusterjump,1024,3,4.1489,63985181
splus8,1024,3,4.4403,63985181
pgm16,1024,4,11.6211,63985181
splus8,1024,4,4.4403,63985181
splus16,1024,4,4.9652,63985181
clusterjump,1024,4,4.1428,63985181
rs18_e16,1024,4,6.3171,63985181
splus16,1024,5,4.9713,63985181
splus8,1024,5,4.3198,63985181
pgm16,1024,5,11.5555,63985181
rs18_e16,1024,5,6.2943,63985181
clusterjump,1024,5,4.2297,63985181
pgm16,1024,6,11.5784,63985181
splus8,1024,6,4.2328,63985181
splus16,1024,6,4.9301,63985181
rs18_e16,1024,6,6.2836,63985181
clusterjump,1024,6,4.1656,63985181
splus16,1024,7,4.9530,63985181
pgm16,1024,7,11.6577,63985181
rs18_e16,1024,7,6.3232,63985181
clusterjump,1024,7,4.1931,63985181
splus8,1024,7,4.2145,63985181
splus16,1024,8,4.9683,63985181
splus8,1024,8,4.3961,63985181
rs18_e16,1024,8,6.2927,63985181
clusterjump,1024,8,4.1122,63985181
pgm16,1024,8,11.6714,63985181
clusterjump,1024,9,4.1336,63985181
rs18_e16,1024,9,6.3095,63985181
pgm16,1024,9,11.6547,63985181
splus16,1024,9,4.9698,63985181
splus8,1024,9,4.3732,63985181
splus16,1024,10,4.9805,63985181
pgm16,1024,10,11.5570,63985181
rs18_e16,1024,10,6.3461,63985181
clusterjump,1024,10,4.1687,63985181
splus8,1024,10,4.4418,63985181
rs18_e16,1024,11,6.3019,63985181
clusterjump,1024,11,4.1565,63985181
splus8,1024,11,4.3900,63985181
pgm16,1024,11,11.7996,63985181
splus16,1024,11,4.9789,63985181
rs18_e16,1024,12,6.3278,63985181
splus8,1024,12,4.4479,63985181
pgm16,1024,12,11.7004,63985181
splus16,1024,12,4.9683,63985181
clusterjump,1024,12,4.1428,63985181
pgm16,1024,13,11.5768,63985181
splus16,1024,13,4.8981,63985181
splus8,1024,13,4.4312,63985181
rs18_e16,1024,13,6.2973,63985181
clusterjump,1024,13,4.1397,63985181
splus16,1024,14,4.9606,63985181
rs18_e16,1024,14,6.3690,63985181
pgm16,1024,14,11.5707,63985181
clusterjump,1024,14,4.5975,63985181
splus8,1024,14,4.4418,63985181
splus16,2048,0,4.8920,117034403
clusterjump,2048,0,3.7567,117034403
pgm16,2048,0,14.5370,117034403
splus8,2048,0,4.4312,117034403
rs18_e16,2048,0,6.3705,117034403
rs18_e16,2048,1,6.3568,117034403
splus16,2048,1,5.0491,117034403
pgm16,2048,1,14.2700,117034403
splus8,2048,1,4.4495,117034403
clusterjump,2048,1,3.7933,117034403
splus16,2048,2,4.9850,117034403
clusterjump,2048,2,3.7933,117034403
splus8,2048,2,4.4525,117034403
pgm16,2048,2,14.2792,117034403
rs18_e16,2048,2,6.3873,117034403
splus16,2048,3,4.9850,117034403
