structure,n,rep,ns_per_query,checksum
pgm64,256,0,21.1227,8998213925062450204
pgm16,256,0,26.5350,8998213925062450204
rs18_e16,256,0,28.7460,8998213925062450204
rs18_e8,256,0,29.7226,8998213925062450204
clusterjump,256,0,13.0020,8998213925062450204
splus16,256,0,12.7365,8998213925062450204
pgm128,256,0,22.3755,8998213925062450204
rs18_e32,256,0,30.0034,8998213925062450204
splus8,256,0,15.9821,8998213925062450204
pgm32,256,0,27.0264,8998213925062450204
rs22_e16,256,0,59.8923,8998213925062450204
rs22_e32,256,0,52.3636,8998213925062450204
rs22_e8,256,0,78.0136,8998213925062450204
pgm16,256,1,26.6113,8998213925062450204
clusterjump,256,1,13.0203,8998213925062450204
splus8,256,1,16.1301,8998213925062450204
splus16,256,1,12.6999,8998213925062450204
rs18_e32,256,1,29.2923,8998213925062450204
pgm32,256,1,27.0203,8998213925062450204
rs22_e8,256,1,40.8997,8998213925062450204
rs18_e16,256,1,29.0619,8998213925062450204
pgm128,256,1,22.4030,8998213925062450204
rs18_e8,256,1,29.2709,8998213925062450204
rs22_e16,256,1,69.9646,8998213925062450204
rs22_e32,256,1,70.7748,8998213925062450204
pgm64,256,1,21.2952,8998213925062450204
pgm16,256,2,26.5320,8998213925062450204
splus16,256,2,12.7686,8998213925062450204
splus8,256,2,16.0187,8998213925062450204
pgm128,256,2,22.3923,8998213925062450204
rs22_e32,256,2,46.6309,8998213925062450204
rs22_e16,256,2,84.7061,8998213925062450204
pgm64,256,2,21.1914,8998213925062450204
rs18_e8,256,2,31.2180,8998213925062450204
pgm32,256,2,27.0950,8998213925062450204
rs18_e16,256,2,33.4900,8998213925062450204
clusterjump,256,2,12.9822,8998213925062450204
rs18_e32,256,2,35.4523,8998213925062450204
rs22_e8,256,2,88.9175,8998213925062450204
rs18_e32,256,3,28.8559,8998213925062450204
pgm32,256,3,27.0309,8998213925062450204
pgm16,256,3,26.5076,8998213925062450204
pgm64,256,3,21.1700,8998213925062450204
rs22_e8,256,3,42.9001,8998213925062450204
splus8,256,3,16.1148,8998213925062450204
clusterjump,256,3,12.9532,8998213925062450204
rs18_e8,256,3,31.2363,8998213925062450204
splus16,256,3,12.6862,8998213925062450204
rs18_e16,256,3,30.3802,8998213925062450204
rs22_e32,256,3,91.7938,8998213925062450204
pgm128,256,3,22.4808,8998213925062450204
rs22_e16,256,3,87.6953,8998213925062450204
splus8,256,4,16.0767,8998213925062450204
splus16,256,4,12.6358,8998213925062450204
rs18_e16,256,4,30.6992,8998213925062450204
rs18_e8,256,4,31.1829,8998213925062450204
clusterjump,256,4,12.9822,8998213925062450204
rs22_e8,256,4,85.5255,8998213925062450204
pgm16,256,4,27.1088,8998213925062450204
rs18_e32,256,4,32.8674,8998213925062450204
rs22_e16,256,4,100.6805,8998213925062450204
pgm128,256,4,22.5616,8998213925062450204
rs22_e32,256,4,124.0692,8998213925062450204
pgm32,256,4,50.6256,8998213925062450204
pgm64,256,4,45.6924,8998213925062450204
rs18_e16,256,5,87.1567,8998213925062450204
splus16,256,5,21.6522,8998213925062450204
rs22_e16,256,5,145.5185,8998213925062450204
splus8,256,5,16.0309,8998213925062450204
rs22_e8,256,5,92.8848,8998213925062450204
rs18_e8,256,5,33.4976,8998213925062450204
pgm32,256,5,27.0691,8998213925062450204
rs22_e32,256,5,93.4143,8998213925062450204
pgm64,256,5,21.2387,8998213925062450204
clusterjump,256,5,13.0051,8998213925062450204
rs18_e32,256,5,51.4633,8998213925062450204
pgm16,256,5,27.2873,8998213925062450204
pgm128,256,5,22.4258,8998213925062450204
rs22_e32,256,6,86.4441,8998213925062450204
rs22_e8,256,6,91.9327,8998213925062450204
pgm32,256,6,27.1042,8998213925062450204
pgm64,256,6,21.2128,8998213925062450204
rs18_e32,256,6,33.4778,8998213925062450204
splus16,256,6,12.8128,8998213925062450204
clusterjump,256,6,12.8998,8998213925062450204
rs18_e16,256,6,33.1406,8998213925062450204
pgm128,256,6,22.4091,8998213925062450204
pgm16,256,6,26.5518,8998213925062450204
rs18_e8,256,6,33.3557,8998213925062450204
rs22_e16,256,6,97.1725,8998213925062450204
splus8,256,6,16.2888,8998213925062450204
splus8,512,0,15.9119,8232709317379038157
clusterjump,512,0,12.7853,8232709317379038157
pgm32,512,0,27.7924,8232709317379038157
pgm128,512,0,22.5891,8232709317379038157
rs18_e8,512,0,32.9758,8232709317379038157
rs22_e8,512,0,89.3036,8232709317379038157
splus16,512,0,18.0466,8232709317379038157
rs18_e32,512,0,34.0775,8232709317379038157
pgm64,512,0,28.4439,8232709317379038157
rs18_e16,512,0,32.6752,8232709317379038157
rs22_e16,512,0,89.7964,8232709317379038157
rs22_e32,512,0,93.3594,8232709317379038157
pgm16,512,0,26.9714,8232709317379038157
pgm128,512,1,22.8180,8232709317379038157
splus8,512,1,16.0660,8232709317379038157
splus16,512,1,17.9352,8232709317379038157
rs22_e32,512,1,52.8580,8232709317379038157
rs22_e8,512,1,89.1678,8232709317379038157
pgm64,512,1,28.4576,8232709317379038157
rs18_e32,512,1,33.7494,8232709317379038157
rs18_e8,512,1,44.3054,8232709317379038157
pgm32,512,1,27.6169,8232709317379038157
rs18_e16,512,1,32.5562,8232709317379038157
pgm16,512,1,27.0554,8232709317379038157
clusterjump,512,1,12.8235,8232709317379038157
rs22_e16,512,1,91.7816,8232709317379038157
pgm128,512,2,22.4854,8232709317379038157
rs18_e16,512,2,27.2858,8232709317379038157
rs22_e32,512,2,95.6528,8232709317379038157
splus8,512,2,16.1057,8232709317379038157
rs22_e16,512,2,70.1019,8232709317379038157
rs18_e32,512,2,33.9935,8232709317379038157
pgm32,512,2,40.3976,8232709317379038157
pgm16,512,2,27.2614,8232709317379038157
rs22_e8,512,2,111.0580,8232709317379038157
splus16,512,2,17.9489,8232709317379038157
pgm64,512,2,28.4302,8232709317379038157
rs18_e8,512,2,52.3514,8232709317379038157
clusterjump,512,2,13.0875,8232709317379038157
pgm64,512,3,48.7976,8232709317379038157
pgm128,512,3,25.8057,8232709317379038157
rs18_e16,512,3,42.8940,8232709317379038157
splus8,512,3,17.1921,8232709317379038157
rs18_e32,512,3,38.3591,8232709317379038157
