structure,n,rep,ns_per_query,checksum
pgm64,256,0,20.7687,91744985443
pgm16,256,0,18.3548,91744985443
rs18_e16,256,0,26.3138,91744985443
rs18_e8,256,0,25.3952,91744985443
clusterjump,256,0,14.7202,91744985443
splus16,256,0,12.6404,91744985443
pgm128,256,0,21.6980,91744985443
rs18_e32,256,0,27.4033,91744985443
splus8,256,0,16.0126,91744985443
pgm32,256,0,19.7647,91744985443
rs22_e16,256,0,46.9284,91744985443
rs22_e32,256,0,45.7993,91744985443
rs22_e8,256,0,60.4889,91744985443
pgm16,256,1,18.4387,91744985443
clusterjump,256,1,14.7736,91744985443
splus8,256,1,16.0751,91744985443
splus16,256,1,12.6266,91744985443
rs18_e32,256,1,26.7868,91744985443
pgm32,256,1,19.6960,91744985443
rs22_e8,256,1,32.9956,91744985443
rs18_e16,256,1,24.8398,91744985443
pgm128,256,1,21.7041,91744985443
rs18_e8,256,1,25.1038,91744985443
rs22_e16,256,1,39.0091,91744985443
rs22_e32,256,1,41.4795,91744985443
pgm64,256,1,20.8786,91744985443
pgm16,256,2,18.3716,91744985443
splus16,256,2,12.6770,91744985443
splus8,256,2,16.8320,91744985443
pgm128,256,2,22.1558,91744985443
rs22_e32,256,2,35.8902,91744985443
rs22_e16,256,2,54.2664,91744985443
pgm64,256,2,20.7657,91744985443
rs18_e8,256,2,26.2314,91744985443
pgm32,256,2,19.6579,91744985443
rs18_e16,256,2,27.1133,91744985443
clusterjump,256,2,14.7980,91744985443
rs18_e32,256,2,29.1428,91744985443
rs22_e8,256,2,69.6091,91744985443
rs18_e32,256,3,26.7136,91744985443
pgm32,256,3,19.7113,91744985443
pgm16,256,3,18.3426,91744985443
pgm64,256,3,20.7367,91744985443
rs22_e8,256,3,32.5897,91744985443
splus8,256,3,17.1387,91744985443
clusterjump,256,3,14.7720,91744985443
rs18_e8,256,3,26.2390,91744985443
splus16,256,3,12.6785,91744985443
rs18_e16,256,3,26.6602,91744985443
rs22_e32,256,3,62.3291,91744985443
pgm128,256,3,21.7712,91744985443
rs22_e16,256,3,62.2787,91744985443
splus8,256,4,15.9943,91744985443
splus16,256,4,12.6740,91744985443
rs18_e16,256,4,24.8962,91744985443
rs18_e8,256,4,25.7034,91744985443
clusterjump,256,4,14.7583,91744985443
rs22_e8,256,4,44.2505,91744985443
pgm16,256,4,18.3701,91744985443
rs18_e32,256,4,27.1973,91744985443
rs22_e16,256,4,35.6628,91744985443
pgm128,256,4,21.8491,91744985443
rs22_e32,256,4,54.1260,91744985443
pgm32,256,4,19.7449,91744985443
pgm64,256,4,20.7962,91744985443
rs18_e16,256,5,25.7431,91744985443
splus16,256,5,12.6953,91744985443
rs22_e16,256,5,39.8880,91744985443
splus8,256,5,15.7806,91744985443
rs22_e8,256,5,54.9713,91744985443
rs18_e8,256,5,26.0773,91744985443
pgm32,256,5,19.6579,91744985443
rs22_e32,256,5,42.3615,91744985443
pgm64,256,5,20.7550,91744985443
clusterjump,256,5,14.7568,91744985443
rs18_e32,256,5,27.6871,91744985443
pgm16,256,5,18.3380,91744985443
pgm128,256,5,21.6980,91744985443
rs22_e32,256,6,34.7687,91744985443
rs22_e8,256,6,36.2595,91744985443
pgm32,256,6,19.6671,91744985443
pgm64,256,6,20.7977,91744985443
rs18_e32,256,6,26.8326,91744985443
splus16,256,6,12.6785,91744985443
clusterjump,256,6,14.7232,91744985443
rs18_e16,256,6,26.1093,91744985443
pgm128,256,6,21.7377,91744985443
pgm16,256,6,18.3716,91744985443
rs18_e8,256,6,25.6851,91744985443
rs22_e16,256,6,61.7584,91744985443
splus8,256,6,15.8188,91744985443
splus8,512,0,16.0797,59337351923
clusterjump,512,0,14.6530,59337351923
pgm32,512,0,19.6899,59337351923
pgm128,512,0,22.1207,59337351923
rs18_e8,512,0,27.2568,59337351923
rs22_e8,512,0,62.7701,59337351923
splus16,512,0,17.8467,59337351923
rs18_e32,512,0,30.4260,59337351923
pgm64,512,0,21.1075,59337351923
rs18_e16,512,0,27.9922,59337351923
rs22_e16,512,0,80.7053,59337351923
rs22_e32,512,0,69.9799,59337351923
pgm16,512,0,18.3975,59337351923
pgm128,512,1,22.2397,59337351923
splus8,512,1,16.1301,59337351923
splus16,512,1,17.8818,59337351923
rs22_e32,512,1,33.7128,59337351923
rs22_e8,512,1,62.3413,59337351923
pgm64,512,1,21.1319,59337351923
rs18_e32,512,1,30.0064,59337351923
rs18_e8,512,1,29.0543,59337351923
pgm32,512,1,19.7159,59337351923
rs18_e16,512,1,27.3865,59337351923
pgm16,512,1,18.2953,59337351923
clusterjump,512,1,14.6561,59337351923
rs22_e16,512,1,67.4469,59337351923
