structure,n,rep,ns_per_query,checksum
pgm64,256,0,21.4813,162921164338639146
pgm16,256,0,29.3640,162921164338639146
rs18_e16,256,0,23.4802,162921164338639146
rs18_e8,256,0,24.0631,162921164338639146
clusterjump,256,0,16.7191,162921164338639146
splus16,256,0,12.7502,162921164338639146
pgm128,256,0,22.7798,162921164338639146
rs18_e32,256,0,25.9750,162921164338639146
splus8,256,0,16.0233,162921164338639146
pgm32,256,0,29.4754,162921164338639146
rs22_e16,256,0,30.8304,162921164338639146
rs22_e32,256,0,29.1641,162921164338639146
rs22_e8,256,0,36.6776,162921164338639146
pgm16,256,1,29.1138,162921164338639146
clusterjump,256,1,16.6824,162921164338639146
splus8,256,1,15.9363,162921164338639146
splus16,256,1,12.6282,162921164338639146
rs18_e32,256,1,24.3576,162921164338639146
pgm32,256,1,29.3900,162921164338639146
rs22_e8,256,1,27.3727,162921164338639146
rs18_e16,256,1,39.2258,162921164338639146
pgm128,256,1,22.8928,162921164338639146
rs18_e8,256,1,26.2222,162921164338639146
rs22_e16,256,1,44.3710,162921164338639146
rs22_e32,256,1,42.2043,162921164338639146
pgm64,256,1,21.5729,162921164338639146
pgm16,256,2,28.8651,162921164338639146
splus16,256,2,12.7380,162921164338639146
splus8,256,2,15.9744,162921164338639146
pgm128,256,2,22.8165,162921164338639146
rs22_e32,256,2,29.1718,162921164338639146
rs22_e16,256,2,38.1805,162921164338639146
pgm64,256,2,21.5469,162921164338639146
rs18_e8,256,2,25.7309,162921164338639146
pgm32,256,2,30.3329,162921164338639146
rs18_e16,256,2,26.2589,162921164338639146
clusterjump,256,2,16.6489,162921164338639146
rs18_e32,256,2,27.0935,162921164338639146
rs22_e8,256,2,46.7224,162921164338639146
rs18_e32,256,3,24.3347,162921164338639146
pgm32,256,3,29.4495,162921164338639146
pgm16,256,3,28.8635,162921164338639146
pgm64,256,3,21.4798,162921164338639146
rs22_e8,256,3,26.6998,162921164338639146
splus8,256,3,16.0812,162921164338639146
clusterjump,256,3,16.6870,162921164338639146
rs18_e8,256,3,24.6323,162921164338639146
splus16,256,3,12.7365,162921164338639146
rs18_e16,256,3,24.7299,162921164338639146
rs22_e32,256,3,41.9907,162921164338639146
pgm128,256,3,22.8226,162921164338639146
rs22_e16,256,3,44.5358,162921164338639146
splus8,256,4,15.9668,162921164338639146
splus16,256,4,12.7319,162921164338639146
rs18_e16,256,4,24.0082,162921164338639146
rs18_e8,256,4,24.2416,162921164338639146
clusterjump,256,4,16.7496,162921164338639146
rs22_e8,256,4,38.0539,162921164338639146
pgm16,256,4,28.8788,162921164338639146
rs18_e32,256,4,26.5030,162921164338639146
rs22_e16,256,4,29.5380,162921164338639146
pgm128,256,4,22.8027,162921164338639146
rs22_e32,256,4,39.2670,162921164338639146
pgm32,256,4,29.4708,162921164338639146
pgm64,256,4,21.4554,162921164338639146
rs18_e16,256,5,24.3515,162921164338639146
splus16,256,5,12.7823,162921164338639146
rs22_e16,256,5,27.5177,162921164338639146
splus8,256,5,16.1072,162921164338639146
rs22_e8,256,5,36.5768,162921164338639146
rs18_e8,256,5,25.0595,162921164338639146
pgm32,256,5,29.4327,162921164338639146
rs22_e32,256,5,30.5756,162921164338639146
pgm64,256,5,21.5271,162921164338639146
clusterjump,256,5,16.6946,162921164338639146
rs18_e32,256,5,26.3153,162921164338639146
pgm16,256,5,28.8757,162921164338639146
pgm128,256,5,22.7524,162921164338639146
rs22_e32,256,6,27.2842,162921164338639146
rs22_e8,256,6,38.8351,162921164338639146
pgm32,256,6,29.4418,162921164338639146
pgm64,256,6,21.4996,162921164338639146
rs18_e32,256,6,24.5544,162921164338639146
splus16,256,6,12.7899,162921164338639146
clusterjump,256,6,16.6122,162921164338639146
rs18_e16,256,6,25.6119,162921164338639146
pgm128,256,6,22.7768,162921164338639146
pgm16,256,6,28.9078,162921164338639146
rs18_e8,256,6,25.5066,162921164338639146
rs22_e16,256,6,45.1797,162921164338639146
splus8,256,6,16.1041,162921164338639146
splus8,512,0,15.8600,224712285443503664
clusterjump,512,0,17.1967,224712285443503664
pgm32,512,0,30.3467,224712285443503664
pgm128,512,0,23.1857,224712285443503664
rs18_e8,512,0,24.0005,224712285443503664
rs22_e8,512,0,32.7866,224712285443503664
splus16,512,0,17.9947,224712285443503664
rs18_e32,512,0,25.9293,224712285443503664
pgm64,512,0,30.7556,224712285443503664
rs18_e16,512,0,25.3082,224712285443503664
rs22_e16,512,0,34.7198,224712285443503664
rs22_e32,512,0,32.6859,224712285443503664
pgm16,512,0,30.9341,224712285443503664
pgm128,512,1,23.3414,224712285443503664
splus8,512,1,15.7928,224712285443503664
splus16,512,1,17.8833,224712285443503664
rs22_e32,512,1,26.0681,224712285443503664
rs22_e8,512,1,30.6198,224712285443503664
pgm64,512,1,30.6732,224712285443503664
rs18_e32,512,1,24.8703,224712285443503664
rs18_e8,512,1,24.3469,224712285443503664
pgm32,512,1,30.4932,224712285443503664
rs18_e16,512,1,24.6918,224712285443503664
pgm16,512,1,30.1636,224712285443503664
clusterjump,512,1,17.2287,224712285443503664
rs22_e16,512,1,34.1614,224712285443503664
pgm128,512,2,23.1155,224712285443503664
rs18_e16,512,2,21.9894,224712285443503664
rs22_e32,512,2,32.3990,224712285443503664
splus8,512,2,16.0248,224712285443503664
rs22_e16,512,2,26.3992,224712285443503664
rs18_e32,512,2,24.1653,224712285443503664
pgm32,512,2,30.2963,224712285443503664
pgm16,512,2,30.0766,224712285443503664
rs22_e8,512,2,30.6595,224712285443503664
splus16,512,2,17.9657,224712285443503664
pgm64,512,2,30.7465,224712285443503664
rs18_e8,512,2,23.2117,224712285443503664
clusterjump,512,2,17.2119,224712285443503664
pgm64,512,3,30.7663,224712285443503664
pgm128,512,3,23.1949,224712285443503664
rs18_e16,512,3,23.9655,224712285443503664
splus8,512,3,15.9805,224712285443503664
rs18_e32,512,3,23.7946,224712285443503664
rs22_e8,512,3,26.7914,224712285443503664
rs22_e32,512,3,32.2769,224712285443503664
pgm32,512,3,30.3864,224712285443503664
pgm16,512,3,30.4718,224712285443503664
rs18_e8,512,3,22.6669,224712285443503664
rs22_e16,512,3,33.0261,224712285443503664
clusterjump,512,3,17.1722,224712285443503664
splus16,512,3,17.9626,224712285443503664
rs18_e16,512,4,23.0286,224712285443503664
pgm64,512,4,30.7159,224712285443503664
rs22_e16,512,4,24.7787,224712285443503664
splus8,512,4,15.7883,224712285443503664
pgm128,512,4,23.1567,224712285443503664
rs18_e8,512,4,22.2305,224712285443503664
pgm32,512,4,30.4703,224712285443503664
rs22_e32,512,4,32.5943,224712285443503664
rs18_e32,512,4,26.0864,224712285443503664
pgm16,512,4,30.0751,224712285443503664
clusterjump,512,4,17.2775,224712285443503664
splus16,512,4,17.9138,224712285443503664
rs22_e8,512,4,40.5075,224712285443503664
rs18_e8,512,5,22.8638,224712285443503664
pgm64,512,5,30.7587,224712285443503664
rs18_e32,512,5,24.1241,224712285443503664
splus8,512,5,15.8386,224712285443503664
pgm128,512,5,23.1995,224712285443503664
rs22_e32,512,5,34.3628,224712285443503664
rs18_e16,512,5,25.3952,224712285443503664
rs22_e16,512,5,38.8870,224712285443503664
pgm16,512,5,30.1208,224712285443503664
rs22_e8,512,5,32.5958,224712285443503664
clusterjump,512,5,17.4103,224712285443503664
pgm32,512,5,30.4474,224712285443503664
splus16,512,5,17.9474,224712285443503664
clusterjump,512,6,17.3752,224712285443503664
rs22_e16,512,6,30.5466,224712285443503664
pgm128,512,6,23.3063,224712285443503664
rs18_e8,512,6,24.3393,224712285443503664
pgm32,512,6,30.2979,224712285443503664
rs22_e8,512,6,33.0597,224712285443503664
rs18_e16,512,6,24.4766,224712285443503664
splus16,512,6,17.7795,224712285443503664
pgm16,512,6,30.1514,224712285443503664
pgm64,512,6,30.8472,224712285443503664
splus8,512,6,16.1423,224712285443503664
rs22_e32,512,6,43.5745,224712285443503664
rs18_e32,512,6,27.2797,224712285443503664
rs18_e32,1024,0,24.1821,9167111889173062152
clusterjump,1024,0,17.0151,9167111889173062152
pgm32,1024,0,31.8604,9167111889173062152
rs22_e16,1024,0,28.9215,9167111889173062152
pgm64,1024,0,31.7520,9167111889173062152
splus8,1024,0,20.7275,9167111889173062152
splus16,1024,0,17.9535,9167111889173062152
rs22_e32,1024,0,28.1357,9167111889173062152
rs18_e16,1024,0,23.4573,9167111889173062152
rs18_e8,1024,0,24.0524,9167111889173062152
pgm16,1024,0,31.0898,9167111889173062152
rs22_e8,1024,0,34.7778,9167111889173062152
pgm128,1024,0,32.4203,9167111889173062152
rs18_e16,1024,1,21.9589,9167111889173062152
pgm32,1024,1,31.8451,9167111889173062152
splus8,1024,1,20.7581,9167111889173062152
rs18_e32,1024,1,24.2462,9167111889173062152
rs18_e8,1024,1,22.5967,9167111889173062152
splus16,1024,1,17.8009,9167111889173062152
rs22_e8,1024,1,26.6388,9167111889173062152
pgm64,1024,1,31.7780,9167111889173062152
pgm128,1024,1,32.4158,9167111889173062152
rs22_e16,1024,1,32.6630,9167111889173062152
rs22_e32,1024,1,33.2779,9167111889173062152
pgm16,1024,1,31.0455,9167111889173062152
clusterjump,1024,1,17.0441,9167111889173062152
pgm16,1024,2,30.9402,9167111889173062152
splus16,1024,2,17.8665,9167111889173062152
pgm128,1024,2,32.3364,9167111889173062152
clusterjump,1024,2,16.8579,9167111889173062152
pgm32,1024,2,31.8420,9167111889173062152
rs22_e16,1024,2,26.7609,9167111889173062152
rs18_e16,1024,2,22.7036,9167111889173062152
pgm64,1024,2,31.7871,9167111889173062152
rs18_e32,1024,2,24.2386,9167111889173062152
splus8,1024,2,20.7764,9167111889173062152
