structure,n,rep,ns_per_query,checksum
pgm64,256,0,21.1029,237270821
pgm16,256,0,28.4576,237270821
rs18_e16,256,0,26.4191,237270821
rs18_e8,256,0,26.3565,237270821
clusterjump,256,0,13.5864,237270821
splus16,256,0,12.6282,237270821
pgm128,256,0,21.6080,237270821
rs18_e32,256,0,27.9099,237270821
splus8,256,0,16.0797,237270821
pgm32,256,0,29.2328,237270821
rs22_e16,256,0,38.7817,237270821
rs22_e32,256,0,37.8601,237270821
rs22_e8,256,0,56.8573,237270821
pgm16,256,1,26.9058,237270821
clusterjump,256,1,13.4995,237270821
splus8,256,1,15.8905,237270821
splus16,256,1,12.6282,237270821
rs18_e32,256,1,30.6610,237270821
pgm32,256,1,30.3452,237270821
rs22_e8,256,1,37.4237,237270821
rs18_e16,256,1,27.1744,237270821
pgm128,256,1,21.5927,237270821
rs18_e8,256,1,27.5787,237270821
rs22_e16,256,1,61.8835,237270821
rs22_e32,256,1,60.1379,237270821
pgm64,256,1,21.1761,237270821
pgm16,256,2,26.8341,237270821
splus16,256,2,12.7655,237270821
splus8,256,2,16.0889,237270821
pgm128,256,2,21.5942,237270821
rs22_e32,256,2,43.8919,237270821
rs22_e16,256,2,71.4539,237270821
pgm64,256,2,22.1313,237270821
rs18_e8,256,2,28.2852,237270821
pgm32,256,2,29.2175,237270821
rs18_e16,256,2,28.4454,237270821
clusterjump,256,2,13.4811,237270821
rs18_e32,256,2,30.4474,237270821
rs22_e8,256,2,80.3635,237270821
rs18_e32,256,3,27.2842,237270821
pgm32,256,3,29.2313,237270821
pgm16,256,3,26.8829,237270821
pgm64,256,3,21.1548,237270821
rs22_e8,256,3,37.9501,237270821
splus8,256,3,16.0843,237270821
clusterjump,256,3,13.5666,237270821
rs18_e8,256,3,29.1000,237270821
splus16,256,3,12.6419,237270821
rs18_e16,256,3,30.4871,237270821
rs22_e32,256,3,77.6520,237270821
pgm128,256,3,21.6370,237270821
rs22_e16,256,3,80.5817,237270821
