structure,n,rep,ns_per_query,checksum
pgm64,256,0,7.6126,8998213925062450204
pgm16,256,0,11.1801,8998213925062450204
rs18_e16,256,0,9.5367,8998213925062450204
rs18_e8,256,0,10.7697,8998213925062450204
clusterjump,256,0,3.8025,8998213925062450204
splus16,256,0,2.8519,8998213925062450204
pgm128,256,0,9.0103,8998213925062450204
rs18_e32,256,0,10.7239,8998213925062450204
splus8,256,0,2.8839,8998213925062450204
pgm32,256,0,10.5072,8998213925062450204
rs22_e16,256,0,16.9342,8998213925062450204
rs22_e32,256,0,16.4246,8998213925062450204
rs22_e8,256,0,25.6439,8998213925062450204
pgm16,256,1,11.1176,8998213925062450204
clusterjump,256,1,3.7003,8998213925062450204
splus8,256,1,2.9221,8998213925062450204
splus16,256,1,2.8641,8998213925062450204
rs18_e32,256,1,9.4131,8998213925062450204
pgm32,256,1,10.4462,8998213925062450204
rs22_e8,256,1,10.6522,8998213925062450204
rs18_e16,256,1,8.6639,8998213925062450204
pgm128,256,1,8.9706,8998213925062450204
rs18_e8,256,1,9.5062,8998213925062450204
rs22_e16,256,1,18.9987,8998213925062450204
rs22_e32,256,1,18.6356,8998213925062450204
pgm64,256,1,7.5851,8998213925062450204
pgm16,256,2,11.0809,8998213925062450204
splus16,256,2,2.8397,8998213925062450204
splus8,256,2,2.9144,8998213925062450204
pgm128,256,2,9.0042,8998213925062450204
rs22_e32,256,2,12.0377,8998213925062450204
rs22_e16,256,2,13.0600,8998213925062450204
pgm64,256,2,7.5806,8998213925062450204
rs18_e8,256,2,8.9554,8998213925062450204
pgm32,256,2,10.4996,8998213925062450204
rs18_e16,256,2,8.6563,8998213925062450204
clusterjump,256,2,3.6423,8998213925062450204
rs18_e32,256,2,10.0815,8998213925062450204
rs22_e8,256,2,22.4213,8998213925062450204
rs18_e32,256,3,8.9142,8998213925062450204
pgm32,256,3,10.4370,8998213925062450204
pgm16,256,3,11.1145,8998213925062450204
pgm64,256,3,7.6019,8998213925062450204
rs22_e8,256,3,12.6724,8998213925062450204
splus8,256,3,3.0197,8998213925062450204
clusterjump,256,3,3.6972,8998213925062450204
rs18_e8,256,3,8.6685,8998213925062450204
splus16,256,3,2.8427,8998213925062450204
rs18_e16,256,3,7.9788,8998213925062450204
rs22_e32,256,3,23.5916,8998213925062450204
pgm128,256,3,9.0546,8998213925062450204
rs22_e16,256,3,22.3038,8998213925062450204
splus8,256,4,2.8992,8998213925062450204
splus16,256,4,2.8961,8998213925062450204
rs18_e16,256,4,7.6950,8998213925062450204
rs18_e8,256,4,8.3084,8998213925062450204
clusterjump,256,4,3.6957,8998213925062450204
rs22_e8,256,4,13.9389,8998213925062450204
pgm16,256,4,11.1679,8998213925062450204
rs18_e32,256,4,9.1003,8998213925062450204
rs22_e16,256,4,13.2950,8998213925062450204
pgm128,256,4,8.9554,8998213925062450204
rs22_e32,256,4,18.5898,8998213925062450204
pgm32,256,4,10.4477,8998213925062450204
pgm64,256,4,7.6614,8998213925062450204
rs18_e16,256,5,7.3792,8998213925062450204
splus16,256,5,2.8519,8998213925062450204
rs22_e16,256,5,10.5438,8998213925062450204
splus8,256,5,2.9083,8998213925062450204
rs22_e8,256,5,13.0447,8998213925062450204
rs18_e8,256,5,8.5236,8998213925062450204
pgm32,256,5,10.5453,8998213925062450204
rs22_e32,256,5,15.5029,8998213925062450204
pgm64,256,5,7.5867,8998213925062450204
clusterjump,256,5,3.6453,8998213925062450204
rs18_e32,256,5,9.1583,8998213925062450204
pgm16,256,5,11.1618,8998213925062450204
pgm128,256,5,9.0012,8998213925062450204
rs22_e32,256,6,11.5753,8998213925062450204
rs22_e8,256,6,12.7289,8998213925062450204
pgm32,256,6,10.5087,8998213925062450204
pgm64,256,6,7.5714,8998213925062450204
rs18_e32,256,6,8.1589,8998213925062450204
splus16,256,6,2.8915,8998213925062450204
clusterjump,256,6,3.7170,8998213925062450204
rs18_e16,256,6,8.0002,8998213925062450204
pgm128,256,6,8.9890,8998213925062450204
pgm16,256,6,11.1984,8998213925062450204
rs18_e8,256,6,8.0185,8998213925062450204
rs22_e16,256,6,20.7214,8998213925062450204
splus8,256,6,2.9022,8998213925062450204
splus8,512,0,3.0701,8232709317379038157
clusterjump,512,0,3.8010,8232709317379038157
pgm32,512,0,11.2503,8232709317379038157
pgm128,512,0,8.2886,8232709317379038157
rs18_e8,512,0,9.8267,8232709317379038157
rs22_e8,512,0,16.5924,8232709317379038157
splus16,512,0,4.8889,8232709317379038157
rs18_e32,512,0,10.1715,8232709317379038157
pgm64,512,0,11.5448,8232709317379038157
rs18_e16,512,0,10.7819,8232709317379038157
rs22_e16,512,0,22.3770,8232709317379038157
rs22_e32,512,0,22.9202,8232709317379038157
pgm16,512,0,11.5433,8232709317379038157
pgm128,512,1,8.2901,8232709317379038157
splus8,512,1,2.8824,8232709317379038157
splus16,512,1,4.9683,8232709317379038157
rs22_e32,512,1,11.4212,8232709317379038157
rs22_e8,512,1,17.4805,8232709317379038157
pgm64,512,1,11.4456,8232709317379038157
rs18_e32,512,1,9.2255,8232709317379038157
rs18_e8,512,1,9.2590,8232709317379038157
pgm32,512,1,11.2946,8232709317379038157
rs18_e16,512,1,9.1034,8232709317379038157
pgm16,512,1,11.6074,8232709317379038157
clusterjump,512,1,3.8986,8232709317379038157
rs22_e16,512,1,16.8167,8232709317379038157
pgm128,512,2,8.2703,8232709317379038157
rs18_e16,512,2,7.3242,8232709317379038157
rs22_e32,512,2,13.7451,8232709317379038157
splus8,512,2,2.8687,8232709317379038157
rs22_e16,512,2,10.4065,8232709317379038157
rs18_e32,512,2,8.0734,8232709317379038157
pgm32,512,2,11.2137,8232709317379038157
pgm16,512,2,11.4319,8232709317379038157
rs22_e8,512,2,17.5171,8232709317379038157
splus16,512,2,4.9225,8232709317379038157
pgm64,512,2,11.4304,8232709317379038157
rs18_e8,512,2,8.6609,8232709317379038157
clusterjump,512,2,3.8528,8232709317379038157
pgm64,512,3,11.4120,8232709317379038157
pgm128,512,3,8.2672,8232709317379038157
rs18_e16,512,3,7.5912,8232709317379038157
splus8,512,3,2.8946,8232709317379038157
rs18_e32,512,3,7.8583,8232709317379038157
rs22_e8,512,3,10.9711,8232709317379038157
rs22_e32,512,3,17.3035,8232709317379038157
pgm32,512,3,11.3327,8232709317379038157
pgm16,512,3,11.4029,8232709317379038157
rs18_e8,512,3,7.3730,8232709317379038157
rs22_e16,512,3,15.4129,8232709317379038157
clusterjump,512,3,3.7827,8232709317379038157
splus16,512,3,4.9500,8232709317379038157
rs18_e16,512,4,7.7148,8232709317379038157
pgm64,512,4,11.4639,8232709317379038157
rs22_e16,512,4,10.9726,8232709317379038157
splus8,512,4,2.9022,8232709317379038157
pgm128,512,4,8.3481,8232709317379038157
rs18_e8,512,4,7.3593,8232709317379038157
pgm32,512,4,11.1862,8232709317379038157
rs22_e32,512,4,15.3183,8232709317379038157
rs18_e32,512,4,8.7585,8232709317379038157
pgm16,512,4,11.4716,8232709317379038157
clusterjump,512,4,3.7903,8232709317379038157
splus16,512,4,4.9561,8232709317379038157
rs22_e8,512,4,19.6732,8232709317379038157
rs18_e8,512,5,7.5470,8232709317379038157
pgm64,512,5,11.3541,8232709317379038157
rs18_e32,512,5,8.2764,8232709317379038157
splus8,512,5,2.8992,8232709317379038157
pgm128,512,5,8.2672,8232709317379038157
rs22_e32,512,5,15.0177,8232709317379038157
rs18_e16,512,5,8.3984,8232709317379038157
rs22_e16,512,5,19.1650,8232709317379038157
pgm16,512,5,11.3770,8232709317379038157
rs22_e8,512,5,14.5737,8232709317379038157
clusterjump,512,5,3.8681,8232709317379038157
pgm32,512,5,11.1877,8232709317379038157
splus16,512,5,4.9484,8232709317379038157
clusterjump,512,6,3.7827,8232709317379038157
rs22_e16,512,6,10.8200,8232709317379038157
pgm128,512,6,8.2764,8232709317379038157
rs18_e8,512,6,7.6660,8232709317379038157
pgm32,512,6,11.2747,8232709317379038157
rs22_e8,512,6,12.9669,8232709317379038157
rs18_e16,512,6,8.4915,8232709317379038157
splus16,512,6,4.9271,8232709317379038157
pgm16,512,6,11.3739,8232709317379038157
pgm64,512,6,11.3876,8232709317379038157
splus8,512,6,3.0014,8232709317379038157
rs22_e32,512,6,21.6431,8232709317379038157
rs18_e32,512,6,10.1532,8232709317379038157
rs18_e32,1024,0,10.9894,5721322197942174068
clusterjump,1024,0,3.6224,5721322197942174068
pgm32,1024,0,12.4237,5721322197942174068
rs22_e16,1024,0,20.0699,5721322197942174068
pgm64,1024,0,12.4634,5721322197942174068
splus8,1024,0,4.2252,5721322197942174068
splus16,1024,0,4.8203,5721322197942174068
rs22_e32,1024,0,18.4662,5721322197942174068
rs18_e16,1024,0,11.1511,5721322197942174068
rs18_e8,1024,0,12.0010,5721322197942174068
pgm16,1024,0,14.2853,5721322197942174068
rs22_e8,1024,0,28.2074,5721322197942174068
pgm128,1024,0,12.6984,5721322197942174068
rs18_e16,1024,1,8.4076,5721322197942174068
pgm32,1024,1,12.2818,5721322197942174068
splus8,1024,1,4.4006,5721322197942174068
rs18_e32,1024,1,9.9411,5721322197942174068
rs18_e8,1024,1,9.1263,5721322197942174068
splus16,1024,1,4.9393,5721322197942174068
rs22_e8,1024,1,17.9062,5721322197942174068
pgm64,1024,1,12.3230,5721322197942174068
pgm128,1024,1,12.7274,5721322197942174068
rs22_e16,1024,1,28.9978,5721322197942174068
rs22_e32,1024,1,35.5209,5721322197942174068
pgm16,1024,1,14.0640,5721322197942174068
clusterjump,1024,1,3.6255,5721322197942174068
pgm16,1024,2,14.0915,5721322197942174068
splus16,1024,2,4.9896,5721322197942174068
pgm128,1024,2,12.6404,5721322197942174068
clusterjump,1024,2,3.5980,5721322197942174068
pgm32,1024,2,12.2635,5721322197942174068
rs22_e16,1024,2,22.9599,5721322197942174068
rs18_e16,1024,2,11.3037,5721322197942174068
pgm64,1024,2,12.5107,5721322197942174068
rs18_e32,1024,2,13.0280,5721322197942174068
splus8,1024,2,4.3808,5721322197942174068
rs18_e8,1024,2,10.8612,5721322197942174068
rs22_e8,1024,2,28.6438,5721322197942174068
rs22_e32,1024,2,27.0996,5721322197942174068
rs18_e32,1024,3,10.5789,5721322197942174068
pgm32,1024,3,12.3398,5721322197942174068
pgm16,1024,3,14.0579,5721322197942174068
rs22_e8,1024,3,15.4510,5721322197942174068
rs18_e16,1024,3,10.1349,5721322197942174068
pgm128,1024,3,12.6556,5721322197942174068
rs22_e16,1024,3,23.2727,5721322197942174068
rs22_e32,1024,3,21.1990,5721322197942174068
splus16,1024,3,4.9850,5721322197942174068
splus8,1024,3,4.3808,5721322197942174068
pgm64,1024,3,12.5122,5721322197942174068
rs18_e8,1024,3,9.9579,5721322197942174068
clusterjump,1024,3,3.5858,5721322197942174068
pgm128,1024,4,12.6709,5721322197942174068
pgm32,1024,4,12.7258,5721322197942174068
rs18_e32,1024,4,9.7183,5721322197942174068
rs22_e32,1024,4,13.4537,5721322197942174068
splus8,1024,4,4.4357,5721322197942174068
rs18_e16,1024,4,8.8882,5721322197942174068
rs22_e16,1024,4,17.1585,5721322197942174068
pgm16,1024,4,13.9984,5721322197942174068
rs18_e8,1024,4,8.4412,5721322197942174068
pgm64,1024,4,12.2833,5721322197942174068
splus16,1024,4,4.9896,5721322197942174068
clusterjump,1024,4,3.5950,5721322197942174068
rs22_e8,1024,4,25.6897,5721322197942174068
clusterjump,1024,5,3.5538,5721322197942174068
splus16,1024,5,4.9683,5721322197942174068
rs22_e8,1024,5,10.2570,5721322197942174068
pgm16,1024,5,14.0442,5721322197942174068
rs18_e32,1024,5,11.2000,5721322197942174068
rs18_e16,1024,5,9.5062,5721322197942174068
pgm32,1024,5,12.6602,5721322197942174068
pgm128,1024,5,12.7060,5721322197942174068
rs18_e8,1024,5,7.8308,5721322197942174068
pgm64,1024,5,12.4207,5721322197942174068
rs22_e32,1024,5,27.8427,5721322197942174068
rs22_e16,1024,5,25.5737,5721322197942174068
splus8,1024,5,4.4373,5721322197942174068
