structure,n,rep,ns_per_query,checksum
pgm64,256,0,8.8608,91744985443
pgm16,256,0,6.0318,91744985443
rs18_e16,256,0,8.5052,91744985443
rs18_e8,256,0,8.8608,91744985443
clusterjump,256,0,6.6772,91744985443
splus16,256,0,2.9083,91744985443
pgm128,256,0,10.5301,91744985443
rs18_e32,256,0,10.5331,91744985443
splus8,256,0,2.9800,91744985443
pgm32,256,0,7.3166,91744985443
rs22_e16,256,0,14.7675,91744985443
rs22_e32,256,0,14.2471,91744985443
rs22_e8,256,0,22.0764,91744985443
pgm16,256,1,5.9845,91744985443
clusterjump,256,1,6.5796,91744985443
splus8,256,1,2.8778,91744985443
splus16,256,1,2.8488,91744985443
rs18_e32,256,1,8.6746,91744985443
pgm32,256,1,7.3410,91744985443
rs22_e8,256,1,10.2997,91744985443
rs18_e16,256,1,7.3196,91744985443
pgm128,256,1,10.5911,91744985443
rs18_e8,256,1,7.8140,91744985443
rs22_e16,256,1,13.9511,91744985443
rs22_e32,256,1,14.9582,91744985443
pgm64,256,1,8.8150,91744985443
pgm16,256,2,5.9921,91744985443
splus16,256,2,2.8351,91744985443
splus8,256,2,2.9007,91744985443
pgm128,256,2,10.5225,91744985443
rs22_e32,256,2,10.8688,91744985443
rs22_e16,256,2,10.3958,91744985443
pgm64,256,2,8.7830,91744985443
rs18_e8,256,2,7.3959,91744985443
pgm32,256,2,7.3807,91744985443
rs18_e16,256,2,6.7917,91744985443
clusterjump,256,2,6.6101,91744985443
rs18_e32,256,2,7.9193,91744985443
rs22_e8,256,2,11.4319,91744985443
rs18_e32,256,3,7.7438,91744985443
pgm32,256,3,7.3242,91744985443
pgm16,256,3,5.9296,91744985443
pgm64,256,3,8.8409,91744985443
rs22_e8,256,3,10.9619,91744985443
splus8,256,3,2.8961,91744985443
clusterjump,256,3,6.5048,91744985443
rs18_e8,256,3,7.1671,91744985443
splus16,256,3,2.8534,91744985443
rs18_e16,256,3,6.6544,91744985443
rs22_e32,256,3,12.0514,91744985443
pgm128,256,3,10.5209,91744985443
rs22_e16,256,3,10.9985,91744985443
splus8,256,4,2.9266,91744985443
splus16,256,4,2.8412,91744985443
rs18_e16,256,4,6.7352,91744985443
rs18_e8,256,4,7.1701,91744985443
clusterjump,256,4,6.3202,91744985443
rs22_e8,256,4,12.7487,91744985443
pgm16,256,4,5.9113,91744985443
rs18_e32,256,4,8.2993,91744985443
