structure,n,rep,ns_per_query,checksum
pgm64,256,0,7.8247,162921164338639146
pgm16,256,0,14.1296,162921164338639146
rs18_e16,256,0,7.7927,162921164338639146
rs18_e8,256,0,9.5169,162921164338639146
clusterjump,256,0,8.5068,162921164338639146
splus16,256,0,2.8503,162921164338639146
pgm128,256,0,8.9233,162921164338639146
rs18_e32,256,0,8.8120,162921164338639146
splus8,256,0,2.9221,162921164338639146
pgm32,256,0,13.7436,162921164338639146
rs22_e16,256,0,10.6140,162921164338639146
rs22_e32,256,0,9.1110,162921164338639146
rs22_e8,256,0,14.2563,162921164338639146
pgm16,256,1,13.9572,162921164338639146
clusterjump,256,1,8.4808,162921164338639146
splus8,256,1,2.8870,162921164338639146
splus16,256,1,2.8534,162921164338639146
rs18_e32,256,1,6.7566,162921164338639146
pgm32,256,1,13.5864,162921164338639146
rs22_e8,256,1,7.6736,162921164338639146
rs18_e16,256,1,6.0623,162921164338639146
pgm128,256,1,8.8959,162921164338639146
rs18_e8,256,1,6.5872,162921164338639146
rs22_e16,256,1,7.8629,162921164338639146
rs22_e32,256,1,8.7296,162921164338639146
pgm64,256,1,7.8857,162921164338639146
pgm16,256,2,14.1296,162921164338639146
splus16,256,2,2.8458,162921164338639146
splus8,256,2,2.8824,162921164338639146
pgm128,256,2,8.8608,162921164338639146
rs22_e32,256,2,7.7042,162921164338639146
rs22_e16,256,2,7.7591,162921164338639146
pgm64,256,2,7.8125,162921164338639146
rs18_e8,256,2,6.6315,162921164338639146
pgm32,256,2,13.6261,162921164338639146
rs18_e16,256,2,6.2393,162921164338639146
clusterjump,256,2,8.4885,162921164338639146
rs18_e32,256,2,7.1869,162921164338639146
rs22_e8,256,2,10.2890,162921164338639146
rs18_e32,256,3,6.5445,162921164338639146
pgm32,256,3,13.5544,162921164338639146
pgm16,256,3,14.0366,162921164338639146
pgm64,256,3,7.9102,162921164338639146
rs22_e8,256,3,7.4371,162921164338639146
splus8,256,3,2.8976,162921164338639146
clusterjump,256,3,8.5388,162921164338639146
rs18_e8,256,3,6.5781,162921164338639146
splus16,256,3,2.8442,162921164338639146
rs18_e16,256,3,6.0226,162921164338639146
rs22_e32,256,3,9.2133,162921164338639146
pgm128,256,3,8.8501,162921164338639146
rs22_e16,256,3,8.0429,162921164338639146
splus8,256,4,2.9007,162921164338639146
splus16,256,4,2.8473,162921164338639146
rs18_e16,256,4,5.9982,162921164338639146
rs18_e8,256,4,6.5094,162921164338639146
clusterjump,256,4,8.4305,162921164338639146
rs22_e8,256,4,8.6533,162921164338639146
pgm16,256,4,13.9709,162921164338639146
rs18_e32,256,4,6.8954,162921164338639146
rs22_e16,256,4,7.7850,162921164338639146
pgm128,256,4,8.8593,162921164338639146
rs22_e32,256,4,8.9127,162921164338639146
pgm32,256,4,13.5193,162921164338639146
pgm64,256,4,7.8278,162921164338639146
rs18_e16,256,5,6.8665,162921164338639146
splus16,256,5,2.8458,162921164338639146
rs22_e16,256,5,7.8049,162921164338639146
splus8,256,5,2.8946,162921164338639146
rs22_e8,256,5,8.6411,162921164338639146
rs18_e8,256,5,6.6788,162921164338639146
pgm32,256,5,13.4369,162921164338639146
rs22_e32,256,5,9.4299,162921164338639146
pgm64,256,5,7.9666,162921164338639146
clusterjump,256,5,8.4518,162921164338639146
rs18_e32,256,5,7.4219,162921164338639146
pgm16,256,5,14.0747,162921164338639146
pgm128,256,5,8.9340,162921164338639146
rs22_e32,256,6,7.8522,162921164338639146
rs22_e8,256,6,8.5464,162921164338639146
pgm32,256,6,13.4735,162921164338639146
pgm64,256,6,7.8827,162921164338639146
rs18_e32,256,6,6.6879,162921164338639146
splus16,256,6,2.8442,162921164338639146
clusterjump,256,6,8.4198,162921164338639146
rs18_e16,256,6,6.1478,162921164338639146
pgm128,256,6,8.8867,162921164338639146
pgm16,256,6,14.0930,162921164338639146
rs18_e8,256,6,6.7276,162921164338639146
rs22_e16,256,6,11.1633,162921164338639146
splus8,256,6,2.8961,162921164338639146
splus8,512,0,2.9144,224712285443503664
clusterjump,512,0,10.5362,224712285443503664
pgm32,512,0,14.5569,224712285443503664
pgm128,512,0,8.7097,224712285443503664
rs18_e8,512,0,7.5851,224712285443503664
rs22_e8,512,0,12.0834,224712285443503664
splus16,512,0,4.7974,224712285443503664
rs18_e32,512,0,8.2596,224712285443503664
pgm64,512,0,14.0427,224712285443503664
rs18_e16,512,0,7.7805,224712285443503664
rs22_e16,512,0,9.7916,224712285443503664
rs22_e32,512,0,8.8989,224712285443503664
pgm16,512,0,15.7242,224712285443503664
pgm128,512,1,8.6945,224712285443503664
splus8,512,1,2.9510,224712285443503664
splus16,512,1,4.9774,224712285443503664
rs22_e32,512,1,7.5546,224712285443503664
rs22_e8,512,1,7.8049,224712285443503664
pgm64,512,1,13.9465,224712285443503664
rs18_e32,512,1,6.7734,224712285443503664
rs18_e8,512,1,6.0867,224712285443503664
pgm32,512,1,15.3030,224712285443503664
rs18_e16,512,1,6.3690,224712285443503664
pgm16,512,1,15.7135,224712285443503664
clusterjump,512,1,10.5057,224712285443503664
rs22_e16,512,1,9.1507,224712285443503664
pgm128,512,2,8.7692,224712285443503664
rs18_e16,512,2,5.7526,224712285443503664
rs22_e32,512,2,9.7717,224712285443503664
splus8,512,2,2.9022,224712285443503664
rs22_e16,512,2,7.5424,224712285443503664
rs18_e32,512,2,7.0374,224712285443503664
pgm32,512,2,14.2075,224712285443503664
pgm16,512,2,15.5807,224712285443503664
rs22_e8,512,2,9.6832,224712285443503664
splus16,512,2,4.9911,224712285443503664
pgm64,512,2,14.0320,224712285443503664
rs18_e8,512,2,6.1691,224712285443503664
clusterjump,512,2,10.3745,224712285443503664
pgm64,512,3,13.9496,224712285443503664
pgm128,512,3,8.6960,224712285443503664
rs18_e16,512,3,5.9052,224712285443503664
splus8,512,3,2.8915,224712285443503664
rs18_e32,512,3,6.7230,224712285443503664
rs22_e8,512,3,7.3715,224712285443503664
rs22_e32,512,3,9.0134,224712285443503664
pgm32,512,3,14.3936,224712285443503664
pgm16,512,3,15.8798,224712285443503664
rs18_e8,512,3,6.1615,224712285443503664
rs22_e16,512,3,8.3115,224712285443503664
clusterjump,512,3,10.4950,224712285443503664
splus16,512,3,4.9728,224712285443503664
rs18_e16,512,4,6.0120,224712285443503664
pgm64,512,4,13.9404,224712285443503664
rs22_e16,512,4,6.8192,224712285443503664
splus8,512,4,2.9556,224712285443503664
pgm128,512,4,8.7128,224712285443503664
rs18_e8,512,4,5.9525,224712285443503664
pgm32,512,4,14.5309,224712285443503664
rs22_e32,512,4,8.8242,224712285443503664
rs18_e32,512,4,7.0847,224712285443503664
pgm16,512,4,15.6357,224712285443503664
clusterjump,512,4,10.4813,224712285443503664
splus16,512,4,4.8920,224712285443503664
rs22_e8,512,4,10.6873,224712285443503664
rs18_e8,512,5,6.1157,224712285443503664
pgm64,512,5,13.9923,224712285443503664
rs18_e32,512,5,6.6376,224712285443503664
splus8,512,5,2.8931,224712285443503664
pgm128,512,5,8.7662,224712285443503664
rs22_e32,512,5,8.4518,224712285443503664
rs18_e16,512,5,6.0532,224712285443503664
rs22_e16,512,5,8.2047,224712285443503664
pgm16,512,5,15.3320,224712285443503664
rs22_e8,512,5,7.8171,224712285443503664
clusterjump,512,5,10.4370,224712285443503664
pgm32,512,5,14.3112,224712285443503664
splus16,512,5,4.9683,224712285443503664
clusterjump,512,6,10.4065,224712285443503664
rs22_e16,512,6,7.6126,224712285443503664
pgm128,512,6,8.6975,224712285443503664
rs18_e8,512,6,6.3156,224712285443503664
pgm32,512,6,14.6332,224712285443503664
rs22_e8,512,6,7.7957,224712285443503664
rs18_e16,512,6,6.3141,224712285443503664
splus16,512,6,4.9713,224712285443503664
pgm16,512,6,15.3015,224712285443503664
pgm64,512,6,13.9954,224712285443503664
splus8,512,6,2.9068,224712285443503664
rs22_e32,512,6,11.4288,224712285443503664
rs18_e32,512,6,7.6172,224712285443503664
rs18_e32,1024,0,7.3074,9167111889173062152
clusterjump,1024,0,9.8053,9167111889173062152
pgm32,1024,0,16.2308,9167111889173062152
rs22_e16,1024,0,7.6385,9167111889173062152
pgm64,1024,0,15.0192,9167111889173062152
splus8,1024,0,4.2557,9167111889173062152
splus16,1024,0,4.7958,9167111889173062152
rs22_e32,1024,0,8.5709,9167111889173062152
rs18_e16,1024,0,6.7810,9167111889173062152
rs18_e8,1024,0,7.2174,9167111889173062152
pgm16,1024,0,16.4551,9167111889173062152
rs22_e8,1024,0,10.8322,9167111889173062152
pgm128,1024,0,15.8112,9167111889173062152
rs18_e16,1024,1,6.2485,9167111889173062152
pgm32,1024,1,16.2781,9167111889173062152
splus8,1024,1,4.1885,9167111889173062152
rs18_e32,1024,1,7.1045,9167111889173062152
rs18_e8,1024,1,6.1508,9167111889173062152
splus16,1024,1,4.8767,9167111889173062152
rs22_e8,1024,1,7.4097,9167111889173062152
pgm64,1024,1,14.9918,9167111889173062152
pgm128,1024,1,14.9033,9167111889173062152
rs22_e16,1024,1,8.8699,9167111889173062152
rs22_e32,1024,1,9.3872,9167111889173062152
pgm16,1024,1,16.3544,9167111889173062152
clusterjump,1024,1,9.7595,9167111889173062152
pgm16,1024,2,16.3300,9167111889173062152
splus16,1024,2,4.9713,9167111889173062152
pgm128,1024,2,14.9506,9167111889173062152
clusterjump,1024,2,9.6069,9167111889173062152
pgm32,1024,2,16.2613,9167111889173062152
