structure,n,rep,ns_per_query,checksum
pgm64,256,0,7.3196,237270821
pgm16,256,0,11.8286,237270821
rs18_e16,256,0,8.5953,237270821
rs18_e8,256,0,8.9661,237270821
clusterjump,256,0,4.8874,237270821
splus16,256,0,2.8259,237270821
pgm128,256,0,10.8139,237270821
rs18_e32,256,0,9.3536,237270821
splus8,256,0,3.0167,237270821
pgm32,256,0,14.4302,237270821
rs22_e16,256,0,13.0997,237270821
rs22_e32,256,0,12.3001,237270821
rs22_e8,256,0,17.1707,237270821
pgm16,256,1,11.8164,237270821
clusterjump,256,1,4.9026,237270821
splus8,256,1,2.8839,237270821
splus16,256,1,2.8397,237270821
rs18_e32,256,1,7.8506,237270821
pgm32,256,1,14.4867,237270821
rs22_e8,256,1,10.4034,237270821
rs18_e16,256,1,7.1182,237270821
pgm128,256,1,10.7864,237270821
rs18_e8,256,1,7.5729,237270821
rs22_e16,256,1,12.0514,237270821
rs22_e32,256,1,12.6251,237270821
pgm64,256,1,7.2601,237270821
pgm16,256,2,11.9019,237270821
splus16,256,2,2.8458,237270821
splus8,256,2,2.9007,237270821
pgm128,256,2,10.8261,237270821
rs22_e32,256,2,10.7483,237270821
rs22_e16,256,2,10.9482,237270821
pgm64,256,2,7.3303,237270821
rs18_e8,256,2,7.3883,237270821
pgm32,256,2,14.4684,237270821
rs18_e16,256,2,6.9733,237270821
clusterjump,256,2,4.7272,237270821
rs18_e32,256,2,8.0780,237270821
rs22_e8,256,2,16.0522,237270821
rs18_e32,256,3,7.7469,237270821
pgm32,256,3,14.4089,237270821
pgm16,256,3,11.9141,237270821
pgm64,256,3,7.2891,237270821
rs22_e8,256,3,10.3821,237270821
splus8,256,3,3.0212,237270821
clusterjump,256,3,4.7653,237270821
rs18_e8,256,3,7.6340,237270821
splus16,256,3,2.8534,237270821
rs18_e16,256,3,7.1457,237270821
rs22_e32,256,3,22.6273,237270821
pgm128,256,3,10.8063,237270821
rs22_e16,256,3,18.7500,237270821
splus8,256,4,2.8885,237270821
splus16,256,4,2.8427,237270821
rs18_e16,256,4,6.9199,237270821
rs18_e8,256,4,7.2281,237270821
clusterjump,256,4,4.7501,237270821
rs22_e8,256,4,11.1420,237270821
pgm16,256,4,11.9431,237270821
rs18_e32,256,4,7.7591,237270821
rs22_e16,256,4,11.2350,237270821
pgm128,256,4,10.7025,237270821
rs22_e32,256,4,13.9862,237270821
pgm32,256,4,14.5370,237270821
pgm64,256,4,7.2525,237270821
rs18_e16,256,5,6.6696,237270821
splus16,256,5,2.8351,237270821
rs22_e16,256,5,10.3607,237270821
splus8,256,5,2.8915,237270821
rs22_e8,256,5,11.3968,237270821
rs18_e8,256,5,7.2754,237270821
pgm32,256,5,14.3387,237270821
rs22_e32,256,5,12.1994,237270821
pgm64,256,5,7.2586,237270821
clusterjump,256,5,4.7195,237270821
rs18_e32,256,5,7.8400,237270821
pgm16,256,5,11.9537,237270821
pgm128,256,5,10.7819,237270821
rs22_e32,256,6,11.0641,237270821
rs22_e8,256,6,10.7941,237270821
pgm32,256,6,14.3845,237270821
pgm64,256,6,7.3502,237270821
rs18_e32,256,6,7.6935,237270821
splus16,256,6,2.8381,237270821
clusterjump,256,6,4.7379,237270821
rs18_e16,256,6,6.9061,237270821
pgm128,256,6,10.6979,237270821
pgm16,256,6,11.8790,237270821
rs18_e8,256,6,7.1472,237270821
rs22_e16,256,6,12.3260,237270821
splus8,256,6,2.8900,237270821
splus8,512,0,2.9465,260582017
clusterjump,512,0,4.7409,260582017
pgm32,512,0,12.8464,260582017
pgm128,512,0,8.2275,260582017
rs18_e8,512,0,9.5474,260582017
rs22_e8,512,0,17.1371,260582017
splus16,512,0,4.7791,260582017
rs18_e32,512,0,9.3948,260582017
pgm64,512,0,15.0253,260582017
rs18_e16,512,0,8.3740,260582017
rs22_e16,512,0,17.5430,260582017
rs22_e32,512,0,16.7130,260582017
pgm16,512,0,12.1582,260582017
pgm128,512,1,8.2199,260582017
splus8,512,1,2.9022,260582017
splus16,512,1,4.9576,260582017
rs22_e32,512,1,12.0590,260582017
rs22_e8,512,1,20.0638,260582017
pgm64,512,1,14.8392,260582017
rs18_e32,512,1,9.6436,260582017
rs18_e8,512,1,9.3552,260582017
pgm32,512,1,12.8906,260582017
rs18_e16,512,1,8.2367,260582017
pgm16,512,1,11.8881,260582017
clusterjump,512,1,4.7363,260582017
rs22_e16,512,1,19.7433,260582017
pgm128,512,2,8.2092,260582017
rs18_e16,512,2,7.7637,260582017
rs22_e32,512,2,13.3179,260582017
splus8,512,2,2.9007,260582017
rs22_e16,512,2,10.4340,260582017
rs18_e32,512,2,8.6746,260582017
pgm32,512,2,12.8967,260582017
pgm16,512,2,12.6221,260582017
rs22_e8,512,2,17.5537,260582017
splus16,512,2,4.9713,260582017
pgm64,512,2,14.7964,260582017
rs18_e8,512,2,8.9905,260582017
clusterjump,512,2,4.7226,260582017
pgm64,512,3,14.7598,260582017
pgm128,512,3,8.1970,260582017
rs18_e16,512,3,8.1604,260582017
splus8,512,3,2.9007,260582017
rs18_e32,512,3,7.8949,260582017
rs22_e8,512,3,12.6770,260582017
rs22_e32,512,3,27.8809,260582017
pgm32,512,3,12.9211,260582017
pgm16,512,3,11.9507,260582017
rs18_e8,512,3,8.6746,260582017
rs22_e16,512,3,27.1515,260582017
clusterjump,512,3,4.6768,260582017
splus16,512,3,4.9759,260582017
rs18_e16,512,4,8.0109,260582017
pgm64,512,4,14.8621,260582017
rs22_e16,512,4,9.8190,260582017
splus8,512,4,2.8976,260582017
pgm128,512,4,8.1894,260582017
rs18_e8,512,4,7.7484,260582017
pgm32,512,4,12.9272,260582017
rs22_e32,512,4,16.8701,260582017
rs18_e32,512,4,9.5856,260582017
pgm16,512,4,11.9034,260582017
clusterjump,512,4,4.7211,260582017
splus16,512,4,4.9667,260582017
rs22_e8,512,4,19.9966,260582017
rs18_e8,512,5,6.9427,260582017
pgm64,512,5,14.7690,260582017
rs18_e32,512,5,8.5114,260582017
splus8,512,5,2.9007,260582017
pgm128,512,5,8.2504,260582017
rs22_e32,512,5,12.2284,260582017
rs18_e16,512,5,7.2647,260582017
rs22_e16,512,5,13.1531,260582017
pgm16,512,5,11.8896,260582017
rs22_e8,512,5,11.9171,260582017
clusterjump,512,5,4.6371,260582017
pgm32,512,5,12.8922,260582017
splus16,512,5,4.9576,260582017
clusterjump,512,6,4.5654,260582017
rs22_e16,512,6,10.3409,260582017
pgm128,512,6,8.1924,260582017
rs18_e8,512,6,7.1777,260582017
pgm32,512,6,12.8143,260582017
rs22_e8,512,6,10.2966,260582017
rs18_e16,512,6,6.7642,260582017
splus16,512,6,4.9530,260582017
pgm16,512,6,11.8484,260582017
pgm64,512,6,15.0009,260582017
splus8,512,6,2.8778,260582017
rs22_e32,512,6,13.0203,260582017
rs18_e32,512,6,8.1039,260582017
rs18_e32,1024,0,8.7326,152655150
clusterjump,1024,0,4.9026,152655150
pgm32,1024,0,13.3972,152655150
rs22_e16,1024,0,10.6247,152655150
pgm64,1024,0,13.2950,152655150
splus8,1024,0,4.2725,152655150
splus16,1024,0,4.9637,152655150
rs22_e32,1024,0,11.6089,152655150
rs18_e16,1024,0,8.3939,152655150
rs18_e8,1024,0,8.4702,152655150
pgm16,1024,0,11.8210,152655150
rs22_e8,1024,0,13.4659,152655150
pgm128,1024,0,15.7227,152655150
rs18_e16,1024,1,6.6742,152655150
pgm32,1024,1,13.7299,152655150
splus8,1024,1,4.1779,152655150
rs18_e32,1024,1,8.1253,152655150
rs18_e8,1024,1,6.9183,152655150
splus16,1024,1,4.9545,152655150
rs22_e8,1024,1,10.2554,152655150
pgm64,1024,1,13.2233,152655150
pgm128,1024,1,15.5991,152655150
rs22_e16,1024,1,11.7798,152655150
rs22_e32,1024,1,13.4430,152655150
pgm16,1024,1,11.8256,152655150
clusterjump,1024,1,4.8080,152655150
pgm16,1024,2,11.7355,152655150
splus16,1024,2,4.9240,152655150
pgm128,1024,2,15.6631,152655150
clusterjump,1024,2,4.8096,152655150
pgm32,1024,2,13.4537,152655150
rs22_e16,1024,2,10.5438,152655150
rs18_e16,1024,2,6.7062,152655150
pgm64,1024,2,13.2065,152655150
rs18_e32,1024,2,7.9193,152655150
splus8,1024,2,4.4449,152655150
rs18_e8,1024,2,6.8848,152655150
rs22_e8,1024,2,11.1374,152655150
rs22_e32,1024,2,12.1277,152655150
rs18_e32,1024,3,7.9880,152655150
pgm32,1024,3,13.5574,152655150
pgm16,1024,3,11.7401,152655150
rs22_e8,1024,3,23.1201,152655150
rs18_e16,1024,3,9.3781,152655150
pgm128,1024,3,15.7120,152655150
rs22_e16,1024,3,27.3163,152655150
rs22_e32,1024,3,26.6556,152655150
splus16,1024,3,4.9774,152655150
splus8,1024,3,4.4647,152655150
pgm64,1024,3,13.2065,152655150
rs18_e8,1024,3,9.9289,152655150
clusterjump,1024,3,4.7852,152655150
pgm128,1024,4,15.6708,152655150
pgm32,1024,4,13.2660,152655150
rs18_e32,1024,4,9.1370,152655150
rs22_e32,1024,4,13.2034,152655150
splus8,1024,4,4.4342,152655150
rs18_e16,1024,4,8.8974,152655150
rs22_e16,1024,4,19.2062,152655150
pgm16,1024,4,11.8225,152655150
rs18_e8,1024,4,7.4280,152655150
pgm64,1024,4,13.1531,152655150
splus16,1024,4,5.0095,152655150
clusterjump,1024,4,4.7745,152655150
rs22_e8,1024,4,23.2269,152655150
clusterjump,1024,5,4.8599,152655150
splus16,1024,5,4.9530,152655150
rs22_e8,1024,5,9.4788,152655150
pgm16,1024,5,11.9171,152655150
rs18_e32,1024,5,8.6914,152655150
rs18_e16,1024,5,7.0435,152655150
pgm32,1024,5,13.3789,152655150
pgm128,1024,5,15.7150,152655150
rs18_e8,1024,5,6.7688,152655150
pgm64,1024,5,13.1927,152655150
rs22_e32,1024,5,15.2023,152655150
rs22_e16,1024,5,13.3026,152655150
splus8,1024,5,4.4388,152655150
pgm16,1024,6,11.8866,152655150
rs18_e16,1024,6,6.6605,152655150
pgm128,1024,6,15.8966,152655150
splus16,1024,6,4.7897,152655150
rs18_e32,1024,6,8.2855,152655150
pgm64,1024,6,13.5147,152655150
rs18_e8,1024,6,6.9656,152655150
splus8,1024,6,4.4342,152655150
pgm32,1024,6,13.3667,152655150
rs22_e16,1024,6,11.0352,152655150
rs22_e8,1024,6,14.6851,152655150
clusterjump,1024,6,4.8203,152655150
rs22_e32,1024,6,15.7944,152655150
rs22_e16,2048,0,10.7422,2084475802
clusterjump,2048,0,3.8849,2084475802
splus8,2048,0,4.4861,2084475802
rs18_e16,2048,0,8.2230,2084475802
rs18_e8,2048,0,8.7448,2084475802
rs22_e8,2048,0,14.8117,2084475802
pgm16,2048,0,14.5828,2084475802
rs22_e32,2048,0,13.5071,2084475802
pgm64,2048,0,13.7314,2084475802
pgm32,2048,0,12.3779,2084475802
pgm128,2048,0,14.2654,2084475802
rs18_e32,2048,0,10.3577,2084475802
splus16,2048,0,4.8325,2084475802
rs22_e16,2048,1,13.7680,2084475802
splus8,2048,1,4.4510,2084475802
clusterjump,2048,1,3.8879,2084475802
pgm16,2048,1,14.4287,2084475802
rs18_e8,2048,1,7.7942,2084475802
splus16,2048,1,4.9728,2084475802
rs22_e8,2048,1,14.8590,2084475802
rs18_e16,2048,1,7.9086,2084475802
pgm128,2048,1,14.2761,2084475802
pgm32,2048,1,12.1765,2084475802
rs22_e32,2048,1,14.4699,2084475802
rs18_e32,2048,1,8.9035,2084475802
pgm64,2048,1,13.8916,2084475802
pgm64,2048,2,13.6047,2084475802
splus8,2048,2,4.1977,2084475802
pgm128,2048,2,14.2227,2084475802
rs18_e16,2048,2,7.5775,2084475802
rs18_e32,2048,2,7.3730,2084475802
splus16,2048,2,4.9698,2084475802
rs22_e16,2048,2,20.6802,2084475802
rs18_e8,2048,2,8.9676,2084475802
rs22_e8,2048,2,23.5321,2084475802
pgm16,2048,2,14.4440,2084475802
rs22_e32,2048,2,26.0422,2084475802
pgm32,2048,2,12.2162,2084475802
clusterjump,2048,2,3.9108,2084475802
pgm32,2048,3,12.2284,2084475802
rs22_e16,2048,3,18.6615,2084475802
rs18_e8,2048,3,8.0948,2084475802
rs18_e16,2048,3,8.0521,2084475802
splus16,2048,3,4.9805,2084475802
pgm16,2048,3,14.5294,2084475802
rs22_e8,2048,3,16.3605,2084475802
pgm128,2048,3,14.3524,2084475802
pgm64,2048,3,13.7787,2084475802
splus8,2048,3,4.2526,2084475802
rs18_e32,2048,3,10.5469,2084475802
rs22_e32,2048,3,24.9435,2084475802
clusterjump,2048,3,3.8071,2084475802
rs22_e16,2048,4,22.7859,2084475802
pgm16,2048,4,14.4485,2084475802
pgm64,2048,4,14.2532,2084475802
rs22_e8,2048,4,20.9961,2084475802
pgm32,2048,4,12.2925,2084475802
rs18_e8,2048,4,9.6634,2084475802
pgm128,2048,4,14.4089,2084475802
clusterjump,2048,4,3.8452,2084475802
rs22_e32,2048,4,19.2795,2084475802
rs18_e16,2048,4,8.9432,2084475802
rs18_e32,2048,4,9.9533,2084475802
splus16,2048,4,4.9820,2084475802
splus8,2048,4,4.2770,2084475802
rs22_e32,2048,5,11.7462,2084475802
rs22_e8,2048,5,13.2126,2084475802
pgm64,2048,5,13.8031,2084475802
pgm128,2048,5,14.1861,2084475802
rs18_e32,2048,5,9.0836,2084475802
rs18_e8,2048,5,7.9956,2084475802
clusterjump,2048,5,3.8956,2084475802
splus16,2048,5,4.9683,2084475802
pgm16,2048,5,14.4913,2084475802
rs18_e16,2048,5,7.4142,2084475802
rs22_e16,2048,5,18.9987,2084475802
splus8,2048,5,4.2633,2084475802
pgm32,2048,5,12.2314,2084475802
pgm16,2048,6,14.4516,2084475802
rs18_e8,2048,6,6.9107,2084475802
rs22_e16,2048,6,11.5280,2084475802
splus16,2048,6,4.9957,2084475802
rs22_e32,2048,6,15.9286,2084475802
pgm128,2048,6,14.3311,2084475802
rs22_e8,2048,6,17.9291,2084475802
splus8,2048,6,4.4647,2084475802
