"mode","dataset","rival","sessions","clusterjump_ns","rival_ns","ratio_median","ratio_min","ratio_max","verdict"
"lat","books","best_splus",3,303.3218,321.7346,0.944425622858095,0.935412396677343,0.951220001718533,"beats"
"lat","fb","best_splus",3,318.6218,323.111,0.994326363942612,0.980029798741612,0.994871421895262,"beats"
"lat","osm","best_splus",3,322.4075,321.46,0.995580787656318,0.981235206120443,1.00351908276007,"ties"
"lat","wiki","best_splus",3,305.9662,320.6345,0.955200748438874,0.954252271667584,0.96624455557348,"beats"
"lat","books","pgm16",3,303.3218,240.9912,1.25608096013876,1.25483129674445,1.2707356330892,"loses"
"lat","fb","pgm16",3,318.6218,298.5367,1.05790979802483,1.05199178010188,1.11219178527711,"loses"
"lat","osm","pgm16",3,322.4075,291.8182,1.11477564649507,1.10482313988641,1.12309934450656,"loses"
"lat","wiki","pgm16",3,305.9662,232.8827,1.3100011293239,1.305166770537,1.33745935668045,"loses"
"lat","books","rs18_e16",3,303.3218,251.4191,1.20643896983165,1.19273128144246,1.22163621699901,"loses"
"lat","fb","rs18_e16",3,318.6218,352.9327,0.902783448515822,0.893398621536338,0.915239513950934,"beats"
"lat","osm","rs18_e16",3,322.4075,283.017,1.13213290272979,1.13116106457428,1.13918068525919,"loses"
"lat","wiki","rs18_e16",3,305.9662,243.7943,1.27749399803762,1.24350067193317,1.27758114115055,"loses"
"tput","books","best_splus",3,47.3633,107.8796,0.43869902207234,0.431103748994249,0.440721258573506,"beats"
"tput","fb","best_splus",3,69.9112,108.5526,0.640886793888441,0.640786157272317,0.64585832121939,"beats"
"tput","osm","best_splus",3,65.6464,107.9193,0.608291566012752,0.592706812113702,0.626468030188256,"beats"
"tput","wiki","best_splus",3,46.2585,107.2464,0.428043272314968,0.424458186441658,0.43164229074561,"beats"
"tput","books","pgm16",3,47.3633,112.0132,0.419206656609368,0.415194816325219,0.42626245353829,"beats"
"tput","fb","pgm16",3,69.9112,151.1551,0.456476162564148,0.452061012787513,0.487731574339244,"beats"
"tput","osm","pgm16",3,65.6464,148.6816,0.441523362675677,0.43364408946161,0.444711173013383,"beats"
"tput","wiki","pgm16",3,46.2585,110.4584,0.421717591103918,0.415596278780066,0.423289355931459,"beats"
"tput","books","rs18_e16",3,47.3633,64.8758,0.727854707607065,0.716866689890529,0.730817004507111,"beats"
"tput","fb","rs18_e16",3,69.9112,180.6885,0.381865475666686,0.380805675328835,0.390337654297274,"beats"
"tput","osm","rs18_e16",3,65.6464,97.0215,0.677864171907107,0.662619110197224,0.68896728342367,"beats"
"tput","wiki","rs18_e16",3,46.2585,61.6791,0.760644291120699,0.749986624318448,0.764004628333016,"beats"
