structure,n,rep,ns_per_query,checksum
rs18_e16,256,0,20.7840,1353297204205380315
spline32,256,0,25.4593,1353297204205380315
splus16,256,0,12.5931,1353297204205380315
clusterjump,256,0,15.2695,1353297204205380315
btree8_bl,256,0,22.4258,1353297204205380315
splus8,256,0,15.8600,1353297204205380315
sorted_array,256,0,13.0341,1353297204205380315
pgm16,256,0,28.4729,1353297204205380315
splus8,256,1,15.7272,1353297204205380315
btree8_bl,256,1,21.9818,1353297204205380315
spline32,256,1,25.3448,1353297204205380315
splus16,256,1,12.5244,1353297204205380315
rs18_e16,256,1,20.6772,1353297204205380315
sorted_array,256,1,12.8189,1353297204205380315
pgm16,256,1,28.4058,1353297204205380315
clusterjump,256,1,15.3076,1353297204205380315
splus8,256,2,15.8264,1353297204205380315
spline32,256,2,25.8728,1353297204205380315
rs18_e16,256,2,20.7794,1353297204205380315
btree8_bl,256,2,21.9055,1353297204205380315
splus16,256,2,13.9450,1353297204205380315
clusterjump,256,2,15.1520,1353297204205380315
pgm16,256,2,27.9449,1353297204205380315
sorted_array,256,2,12.7747,1353297204205380315
splus8,256,3,15.5563,1353297204205380315
clusterjump,256,3,14.7751,1353297204205380315
spline32,256,3,25.2975,1353297204205380315
sorted_array,256,3,12.8799,1353297204205380315
rs18_e16,256,3,20.7397,1353297204205380315
btree8_bl,256,3,21.9315,1353297204205380315
pgm16,256,3,27.9068,1353297204205380315
splus16,256,3,12.5351,1353297204205380315
splus16,256,4,12.4924,1353297204205380315
pgm16,256,4,27.8412,1353297204205380315
clusterjump,256,4,14.7705,1353297204205380315
rs18_e16,256,4,20.7214,1353297204205380315
splus8,256,4,15.5472,1353297204205380315
spline32,256,4,25.3555,1353297204205380315
btree8_bl,256,4,21.9025,1353297204205380315
sorted_array,256,4,12.8036,1353297204205380315
btree8_bl,256,5,21.9254,1353297204205380315
sorted_array,256,5,12.7777,1353297204205380315
rs18_e16,256,5,20.7092,1353297204205380315
clusterjump,256,5,14.8163,1353297204205380315
spline32,256,5,26.2421,1353297204205380315
splus8,256,5,15.6464,1353297204205380315
splus16,256,5,12.5397,1353297204205380315
pgm16,256,5,27.8717,1353297204205380315
spline32,256,6,25.3036,1353297204205380315
btree8_bl,256,6,21.8475,1353297204205380315
splus16,256,6,12.5336,1353297204205380315
splus8,256,6,15.5121,1353297204205380315
rs18_e16,256,6,20.8969,1353297204205380315
clusterjump,256,6,15.0757,1353297204205380315
pgm16,256,6,28.4439,1353297204205380315
sorted_array,256,6,13.1119,1353297204205380315
btree8_bl,256,7,22.1481,1353297204205380315
clusterjump,256,7,14.7614,1353297204205380315
splus16,256,7,12.5122,1353297204205380315
sorted_array,256,7,12.7762,1353297204205380315
pgm16,256,7,28.0563,1353297204205380315
splus8,256,7,15.5472,1353297204205380315
spline32,256,7,25.7523,1353297204205380315
rs18_e16,256,7,20.9656,1353297204205380315
btree8_bl,256,8,21.9193,1353297204205380315
clusterjump,256,8,14.9857,1353297204205380315
splus8,256,8,15.5136,1353297204205380315
spline32,256,8,25.3006,1353297204205380315
pgm16,256,8,28.6499,1353297204205380315
sorted_array,256,8,12.9089,1353297204205380315
splus16,256,8,12.5168,1353297204205380315
rs18_e16,256,8,20.7108,1353297204205380315
splus16,256,9,12.4908,1353297204205380315
clusterjump,256,9,14.8758,1353297204205380315
rs18_e16,256,9,20.7169,1353297204205380315
sorted_array,256,9,12.7762,1353297204205380315
splus8,256,9,15.5716,1353297204205380315
pgm16,256,9,27.9099,1353297204205380315
btree8_bl,256,9,22.2214,1353297204205380315
spline32,256,9,25.8606,1353297204205380315
splus16,256,10,12.8143,1353297204205380315
sorted_array,256,10,13.0478,1353297204205380315
rs18_e16,256,10,20.9030,1353297204205380315
pgm16,256,10,27.9175,1353297204205380315
spline32,256,10,25.2914,1353297204205380315
splus8,256,10,15.5548,1353297204205380315
btree8_bl,256,10,22.2198,1353297204205380315
clusterjump,256,10,14.8895,1353297204205380315
pgm16,256,11,27.8275,1353297204205380315
spline32,256,11,25.2640,1353297204205380315
splus16,256,11,12.6755,1353297204205380315
splus8,256,11,15.8875,1353297204205380315
btree8_bl,256,11,22.9599,1353297204205380315
sorted_array,256,11,13.2004,1353297204205380315
clusterjump,256,11,15.1825,1353297204205380315
rs18_e16,256,11,21.1563,1353297204205380315
splus16,256,12,12.5351,1353297204205380315
splus8,256,12,15.5502,1353297204205380315
spline32,256,12,25.2747,1353297204205380315
sorted_array,256,12,12.8220,1353297204205380315
pgm16,256,12,27.8595,1353297204205380315
clusterjump,256,12,14.8514,1353297204205380315
rs18_e16,256,12,20.7764,1353297204205380315
btree8_bl,256,12,21.9589,1353297204205380315
spline32,256,13,25.7645,1353297204205380315
btree8_bl,256,13,22.2702,1353297204205380315
clusterjump,256,13,15.1840,1353297204205380315
pgm16,256,13,27.9755,1353297204205380315
sorted_array,256,13,12.7792,1353297204205380315
rs18_e16,256,13,20.8221,1353297204205380315
splus16,256,13,12.4878,1353297204205380315
splus8,256,13,15.5502,1353297204205380315
sorted_array,256,14,12.7762,1353297204205380315
clusterjump,256,14,14.8636,1353297204205380315
splus16,256,14,12.5320,1353297204205380315
pgm16,256,14,27.8000,1353297204205380315
splus8,256,14,16.7038,1353297204205380315
rs18_e16,256,14,21.1746,1353297204205380315
btree8_bl,256,14,22.2595,1353297204205380315
spline32,256,14,25.6836,1353297204205380315
clusterjump,512,0,15.1108,7534076873178092618
splus16,512,0,17.4942,7534076873178092618
splus8,512,0,15.6097,7534076873178092618
sorted_array,512,0,14.1083,7534076873178092618
rs18_e16,512,0,20.9671,7534076873178092618
btree8_bl,512,0,21.4691,7534076873178092618
spline32,512,0,23.7198,7534076873178092618
pgm16,512,0,28.8940,7534076873178092618
