structure,n,rep,ns_per_query,checksum
rs18_e16,256,0,7.2876,4265774587248865526
spline32,256,0,11.9171,4265774587248865526
splus16,256,0,2.9526,4265774587248865526
clusterjump,256,0,7.7805,4265774587248865526
btree8_bl,256,0,12.7380,4265774587248865526
splus8,256,0,3.0685,4265774587248865526
sorted_array,256,0,4.3594,4265774587248865526
pgm16,256,0,12.9395,4265774587248865526
splus8,256,1,3.0838,4265774587248865526
btree8_bl,256,1,12.6602,4265774587248865526
spline32,256,1,11.8759,4265774587248865526
splus16,256,1,2.9526,4265774587248865526
rs18_e16,256,1,7.3105,4265774587248865526
sorted_array,256,1,4.3579,4265774587248865526
pgm16,256,1,12.8540,4265774587248865526
clusterjump,256,1,7.8781,4265774587248865526
splus8,256,2,3.0762,4265774587248865526
spline32,256,2,11.8484,4265774587248865526
rs18_e16,256,2,7.2311,4265774587248865526
btree8_bl,256,2,12.7060,4265774587248865526
splus16,256,2,2.9373,4265774587248865526
clusterjump,256,2,7.7744,4265774587248865526
pgm16,256,2,12.9410,4265774587248865526
sorted_array,256,2,4.3579,4265774587248865526
splus8,256,3,3.0869,4265774587248865526
clusterjump,256,3,7.6233,4265774587248865526
spline32,256,3,11.8988,4265774587248865526
sorted_array,256,3,4.3701,4265774587248865526
rs18_e16,256,3,7.2510,4265774587248865526
btree8_bl,256,3,12.6190,4265774587248865526
pgm16,256,3,12.8952,4265774587248865526
splus16,256,3,2.9495,4265774587248865526
splus16,256,4,2.9419,4265774587248865526
pgm16,256,4,12.7716,4265774587248865526
clusterjump,256,4,7.9147,4265774587248865526
rs18_e16,256,4,7.2205,4265774587248865526
splus8,256,4,3.0807,4265774587248865526
spline32,256,4,11.8423,4265774587248865526
btree8_bl,256,4,12.5580,4265774587248865526
sorted_array,256,4,4.3564,4265774587248865526
btree8_bl,256,5,12.5290,4265774587248865526
sorted_array,256,5,4.3900,4265774587248865526
rs18_e16,256,5,7.2968,4265774587248865526
clusterjump,256,5,7.8278,4265774587248865526
spline32,256,5,11.9034,4265774587248865526
splus8,256,5,3.0777,4265774587248865526
splus16,256,5,2.9465,4265774587248865526
pgm16,256,5,12.8693,4265774587248865526
spline32,256,6,11.8958,4265774587248865526
btree8_bl,256,6,12.7640,4265774587248865526
splus16,256,6,2.8854,4265774587248865526
splus8,256,6,3.0762,4265774587248865526
rs18_e16,256,6,7.2586,4265774587248865526
clusterjump,256,6,7.9651,4265774587248865526
pgm16,256,6,12.8555,4265774587248865526
sorted_array,256,6,4.4006,4265774587248865526
btree8_bl,256,7,12.5778,4265774587248865526
clusterjump,256,7,7.7820,4265774587248865526
splus16,256,7,2.9938,4265774587248865526
sorted_array,256,7,4.3671,4265774587248865526
pgm16,256,7,12.8403,4265774587248865526
splus8,256,7,3.0838,4265774587248865526
spline32,256,7,11.9339,4265774587248865526
rs18_e16,256,7,7.2754,4265774587248865526
btree8_bl,256,8,13.4949,4265774587248865526
clusterjump,256,8,7.8018,4265774587248865526
splus8,256,8,3.1387,4265774587248865526
spline32,256,8,11.8393,4265774587248865526
pgm16,256,8,12.8555,4265774587248865526
sorted_array,256,8,4.3594,4265774587248865526
splus16,256,8,2.9434,4265774587248865526
rs18_e16,256,8,7.2983,4265774587248865526
splus16,256,9,2.9556,4265774587248865526
clusterjump,256,9,7.8262,4265774587248865526
rs18_e16,256,9,7.2113,4265774587248865526
sorted_array,256,9,4.3579,4265774587248865526
splus8,256,9,3.0746,4265774587248865526
pgm16,256,9,12.7640,4265774587248865526
btree8_bl,256,9,12.7090,4265774587248865526
spline32,256,9,11.8546,4265774587248865526
splus16,256,10,2.8992,4265774587248865526
sorted_array,256,10,4.4159,4265774587248865526
rs18_e16,256,10,7.2388,4265774587248865526
pgm16,256,10,12.7716,4265774587248865526
spline32,256,10,11.8958,4265774587248865526
splus8,256,10,3.0746,4265774587248865526
btree8_bl,256,10,12.4451,4265774587248865526
clusterjump,256,10,7.8873,4265774587248865526
pgm16,256,11,12.8357,4265774587248865526
spline32,256,11,11.8881,4265774587248865526
splus16,256,11,2.9465,4265774587248865526
splus8,256,11,3.1784,4265774587248865526
btree8_bl,256,11,12.4573,4265774587248865526
sorted_array,256,11,4.3640,4265774587248865526
clusterjump,256,11,7.8079,4265774587248865526
rs18_e16,256,11,7.3120,4265774587248865526
splus16,256,12,2.9480,4265774587248865526
splus8,256,12,3.0746,4265774587248865526
spline32,256,12,11.8530,4265774587248865526
sorted_array,256,12,4.3594,4265774587248865526
pgm16,256,12,21.8109,4265774587248865526
