node,keys,mode,ns,cycles
btree_scan_early_exit,8,tput,6.824,34.4
btree_scan_early_exit,8,lat,8.154,41.2
btree_scan_branchfree,8,tput,0.702,3.5
btree_scan_branchfree,8,lat,5.469,27.6
btree_scan_branchfree,16,tput,1.038,5.2
btree_scan_branchfree,16,lat,5.963,30.1
fusion_original,8,tput,8.020,40.5
fusion_original,8,lat,11.798,59.5
fusion_branchfree,8,tput,7.349,37.1
fusion_branchfree,8,lat,11.957,60.3
fusion_compact,8,tput,8.466,42.7
fusion_compact,8,lat,12.463,62.9
fusion_wide_avx2,16,tput,8.862,44.7
fusion_wide_avx2,16,lat,16.730,84.4
