"baseline","n","ratio","lo","hi"
"btree8_bl",256,2.16314790117317,2.08697000276238,2.21077880983975
"btree8_bl",512,3.04516215829879,3.01248381031962,3.08854858496552
"btree8_bl",1024,1.70727801562143,1.67867883119003,1.72608314573233
"btree8_bl",2048,2.1805460182277,2.11347638717958,2.19087621379958
"btree8_bl",4096,2.75003873286716,2.73669607908864,2.83032519060215
"btree8_bl",8192,2.31028759862022,2.24678994254541,2.3269289362196
"btree8_bl",16384,2.09555607957469,1.99101273745732,2.20938763544938
"btree8_bl",32768,2.71713993523095,2.65271481001727,2.8281109962082
"btree8_bl",65536,2.87418727915194,2.6808480565371,2.9501228441901
"btree8_bl",131072,2.36106038626732,2.28992957953811,2.44430673881044
"btree8_bl",262144,2.87579138640059,2.8597237301971,2.9802665961036
"btree8_bl",524288,3.22183027952387,3.11608414271264,3.39299337078278
"btree8_bl",1048576,2.61666426531523,2.33501175206248,2.72021725856971
"btree8_bl",2097152,2.86726032322613,2.81105793412489,2.96617696866389
"btree8_bl",4194304,2.93592188241883,2.58621793921023,3.11974318229036
"btree8_bl",8388608,2.66651893409945,2.25819366582596,3.16378499278631
"btree8_bl",16777216,2.76181287216315,2.69727424207746,3.18630043453269
"btree8_bl",33554432,3.01101647874518,2.6843941702588,3.3821775319356
"btree8",256,1.83003054975211,1.75712055623659,1.86510070324834
"btree8",512,1.50931884106291,1.49141190584536,1.53015664099995
"btree8",1024,1.77832285004293,1.74488667041726,1.79699390451672
"btree8",2048,1.7614957148531,1.70547920511047,1.77865664973275
"btree8",4096,1.56108293512357,1.55085933380143,1.60354904397958
"btree8",8192,1.72370657328923,1.67457232146719,1.73410100999178
"btree8",16384,1.60792336525077,1.5232160486194,1.69135035933695
"btree8",32768,1.63654898418011,1.61322960679618,1.70082052175067
"btree8",65536,1.7025447276571,1.60623003053971,1.74692069494829
"btree8",131072,1.87680073979699,1.82836348179392,1.93227538680248
"btree8",262144,1.90536003759577,1.88865977129888,1.98019517849453
"btree8",524288,1.91588543478909,1.85399042333458,1.93596346991822
"btree8",1048576,1.52034527621167,1.47893459265459,1.58536069582743
"btree8",2097152,1.50257960003793,1.47845668471552,1.52571144297165
"btree8",4194304,1.45022192370966,1.34824715783532,1.48354526334339
"btree8",8388608,1.3431321169102,1.08240464855455,1.52099428803161
"btree8",16777216,1.43359688861694,1.29544475174168,1.6398697097983
"btree8",33554432,1.34046827146464,1.2085780023643,1.48234073002686
"sorted_array",256,8.52692076362745,8.23804437323364,8.69044381534072
"sorted_array",512,7.12939740535858,7.07685192474219,7.20719727542965
"sorted_array",1024,8.27194355987966,8.11228156275744,8.35060433857035
"sorted_array",2048,8.36988630160488,8.10452766037088,8.41991966863311
"sorted_array",4096,7.25834196608691,7.22885165508786,7.43997873181638
"sorted_array",8192,7.02935190380321,6.82267870910893,7.05811995906735
"sorted_array",16384,6.50643548293162,6.17636324779299,6.87647339262523
"sorted_array",32768,5.04706575148169,5.00405651316787,5.24618414574101
"sorted_array",65536,4.48237952222192,4.18555127486047,4.5698099466394
"sorted_array",131072,5.59642132373266,5.44862530278376,5.77033077949614
"sorted_array",262144,4.77374750294355,4.73364016058802,4.86571123719556
"sorted_array",524288,2.93289036949333,2.87539361957873,2.98774399107196
"sorted_array",1048576,3.73993521609888,3.64300824920218,3.83401354567672
"sorted_array",2097152,2.63437120225004,2.58428479153942,2.66537284561803
"sorted_array",4194304,1.44345062624388,1.41980177817186,1.48060054160654
"sorted_array",8388608,1.32901095137426,1.14184293378376,1.52718885771066
"sorted_array",16777216,0.96638837549381,0.933815851050998,1.10874122552651
"sorted_array",33554432,0.850872921626631,0.816666748358271,0.967618616142422
