"baseline","n","ratio","lo","hi"
"btree8_bl",256,1.54887174387969,1.52021784833857,1.55756150137641
"btree8_bl",512,1.86066385766553,1.84976340347828,1.87181498834201
"btree8_bl",1024,1.36009191919709,1.33623064963852,1.36628114541677
"btree8_bl",2048,1.56448038887863,1.54509128573746,1.56748405775398
"btree8_bl",4096,1.77765728786765,1.7629735037614,1.79125687614602
"btree8_bl",8192,1.54594649829055,1.5206080504861,1.56390926147024
"btree8_bl",16384,1.46303698102337,1.44410597937543,1.49725293132328
"btree8_bl",32768,1.63866885557462,1.61276573204322,1.66946807549896
"btree8_bl",65536,1.68067527824963,1.65411798507545,1.76526982851739
"btree8_bl",131072,1.76398426034799,1.59942767404805,1.91093657379964
"btree8_bl",262144,1.895279031109,1.85892136766537,2.03558819135058
"btree8_bl",524288,2.03250187155486,1.91198993520039,2.17082403040026
"btree8_bl",1048576,1.52427775610269,1.47739928823383,1.57250640744877
"btree8_bl",2097152,1.667515864736,1.62752809299802,1.72299884828572
"btree8_bl",4194304,1.73681113121173,1.56551335666613,1.78020955229185
"btree8",256,1.72991946303284,1.71088370968717,1.73492812875174
"btree8",512,1.521170410738,1.51320921412718,1.53511441288268
"btree8",1024,1.63799702907439,1.61350182743266,1.64646289668485
"btree8",2048,1.69679722429714,1.68134552608254,1.70897404848528
"btree8",4096,1.55244482551493,1.53790651141486,1.56322463374539
"btree8",8192,1.49702736800442,1.47783275524797,1.518375032959
"btree8",16384,1.52318016215719,1.49027308783778,1.53742045705237
"btree8",32768,1.46962414359467,1.44525351105373,1.5032055025631
"btree8",65536,1.47503581014366,1.45269748489844,1.55089473413634
"btree8",131072,1.68638324955149,1.52867832008824,1.82831096241033
"btree8",262144,1.66725298563087,1.60945109943808,1.7949999752155
"btree8",524288,1.62545935897986,1.52216436411211,1.75010074676988
"btree8",1048576,1.31737870418732,1.28956690357462,1.3635010974216
"btree8",2097152,1.32279463409786,1.25802228250931,1.37360018424689
"btree8",4194304,1.34440585790978,1.22826137020499,1.39092683331312
"sorted_array",256,5.8455891416597,5.75417074231062,5.89298679070795
"sorted_array",512,5.07532395787046,5.04838651566647,5.10533317145417
"sorted_array",1024,5.68497502433389,5.56525294031321,5.70355346248528
"sorted_array",2048,5.88147057168052,5.8309545007263,5.91628880362748
"sorted_array",4096,5.07133532190301,5.02212905462913,5.11795803995968
"sorted_array",8192,3.55137590899977,3.50310906786904,3.59207359600782
"sorted_array",16384,3.46197045632354,3.41716940411567,3.49483232120063
"sorted_array",32768,2.82532982014257,2.78650164554729,2.87094056630651
"sorted_array",65536,2.68942818963484,2.61265662605761,2.80304061435076
"sorted_array",131072,4.2380232692447,3.92167626266878,4.3823666923355
"sorted_array",262144,3.02365422908944,2.96958452607483,3.25016297850048
"sorted_array",524288,2.34303305328188,2.25340401251449,2.49015515986937
"sorted_array",1048576,2.43741123690149,2.35673278199,2.51534018915428
"sorted_array",2097152,1.59022147487953,1.54437099966565,1.67068632050543
"sorted_array",4194304,0.998857397260212,0.87400310205795,1.03087553869622
