"baseline","n","ratio","lo","hi"
"btree8_bl",256,2.50099211396591,2.48470002590353,2.51975906487195
"btree8_bl",512,3.8339509381445,3.81110305213049,3.86468390172971
"btree8_bl",1024,1.93788916170018,1.92079271719714,1.94588924356882
"btree8_bl",2048,2.51813856255574,2.5024448997231,2.53259386149279
"btree8_bl",4096,3.43527556000245,3.41532011573885,3.49024392771284
"btree8_bl",8192,2.68108475546492,2.58806519723086,2.72170135001409
"btree8_bl",16384,2.44737860988093,2.36089228152546,2.55221149427788
"btree8_bl",32768,3.10659553254848,3.03678300790973,3.23334685952104
"btree8_bl",65536,3.09342461724666,2.88453312766993,3.22342261861879
"btree8_bl",131072,2.81930629239332,2.46334759566622,2.86141124314827
"btree8_bl",262144,3.33201299871864,3.13719768985769,3.44976616542463
"btree8_bl",524288,3.56597073960042,3.44830774191778,3.71973808324557
"btree8_bl",1048576,2.41995820377048,2.35491617406856,2.89820702495939
"btree8_bl",2097152,3.12613737498211,3.01020301173381,3.21844715949062
"btree8_bl",4194304,3.271404827948,2.87747613999377,3.39290655976114
"btree8",256,2.10253351646002,2.0925538624971,2.11702964350574
"btree8",512,1.91452769602405,1.91095557825293,1.92657157506325
"btree8",1024,2.02059727976061,2.00330050254258,2.02696331830776
"btree8",2048,2.05384428015615,2.04293205048746,2.07314699251481
"btree8",4096,1.99457299777407,1.97985663652675,2.01498913354987
"btree8",8192,1.96314663020101,1.93927970380343,1.98557513804735
"btree8",16384,1.89860600225475,1.8009444137886,1.9536522981554
"btree8",32768,1.9022469298024,1.86871985440013,1.96344640161047
"btree8",65536,1.93229479470639,1.82399543556444,2.00118994712354
"btree8",131072,2.13176205624348,1.96108837708018,2.18967674136514
"btree8",262144,2.14730579031372,2.03157261794635,2.23182516757494
"btree8",524288,2.08347010858861,2.02228435045305,2.13529935587894
"btree8",1048576,1.57968767934125,1.52764691898291,1.67629413853751
"btree8",2097152,1.61691789922317,1.58165185536021,1.66472853209518
"btree8",4194304,1.55230211999205,1.53775704125091,1.57482178457597
"sorted_array",256,9.76219687106953,9.70853054485415,9.82146561045036
"sorted_array",512,8.84332456683168,8.81288809427687,8.88462207448351
"sorted_array",1024,9.2018797829176,9.14458036306719,9.23030926068706
"sorted_array",2048,9.75016798187358,9.70282137518685,9.80620360965701
"sorted_array",4096,9.10071134912907,9.04715273650656,9.13124712503721
"sorted_array",8192,8.07236572807376,8.05088740838006,8.14175669835782
"sorted_array",16384,7.66659743971024,7.33902194060441,7.88526812021214
"sorted_array",32768,5.99599839426012,5.90001330874385,6.1830295730451
"sorted_array",65536,5.03476319786441,4.79296796901517,5.17551250040684
"sorted_array",131072,6.43768277030156,5.91776608791067,6.58418773216146
"sorted_array",262144,5.32177086548612,5.06997762448315,5.49919571874903
"sorted_array",524288,3.43024599691693,3.31274681391279,3.49214057402979
"sorted_array",1048576,3.79618390418238,3.70582419910397,4.04415499676225
"sorted_array",2097152,2.80510580610753,2.73453402288799,2.88286628717995
"sorted_array",4194304,1.51354511885101,1.49264287247817,1.53407437000249
