"baseline","n","ratio","lo","hi"
"btree8",256,1.70234365629573,1.67607561741737,1.71418210810447
"btree8",512,1.32376801877305,1.30854711560291,1.36696494607401
"btree8",1024,1.66433502254499,1.63500201442486,1.71002116895698
"btree8",2048,1.687408728956,1.51548320935406,1.69525563205843
"btree8",4096,1.49555411427495,1.41897781186966,1.54774521031292
"btree8",8192,1.5714589015368,1.51204883963952,1.63621426681705
"btree8",16384,1.51487652648253,1.49602815746843,1.5497999616828
"btree8",32768,1.54962978372089,1.5414805195922,1.5550001084387
"btree8",65536,1.53322355392621,1.52228005536386,1.55460163224465
"btree8",131072,1.51916199971787,1.48731371760961,1.55165111245292
"btree8",262144,1.58413910782482,1.56972157998018,1.59285248156283
"btree8",524288,1.54222212028694,1.52537111938356,1.55751975683891
"btree8",1048576,1.60843934782443,1.52786032075066,1.64920933724432
"btree8",2097152,1.51962240341378,1.46748844750956,1.60296589976021
"btree8",4194304,1.62750838094339,1.57642944302041,1.68436242564662
"sorted_array",256,8.05201170944244,7.92715006133297,8.107404633853
"sorted_array",512,6.74547318073112,6.67039571556084,6.79141758750478
"sorted_array",1024,7.70223256329289,7.63320591656972,7.88971250942667
"sorted_array",2048,7.9652890680887,7.94626308528767,8.01198239321813
"sorted_array",4096,7.22154712079665,7.2019483330928,7.26140857266561
"sorted_array",8192,6.65543079796187,6.62115003913264,6.78862670853343
"sorted_array",16384,6.16544124240088,6.13347203328799,6.20415767270643
"sorted_array",32768,4.98160286998015,4.96789879889685,4.99724696469145
"sorted_array",65536,4.14262218168975,4.1158078934053,4.19669766878786
"sorted_array",131072,4.08747539803341,4.01236114264242,4.18441622362762
"sorted_array",262144,3.72410295255817,3.71452795585277,3.74507673413212
"sorted_array",524288,2.10045937304766,2.08418533866295,2.1253979519416
"sorted_array",1048576,2.72041576167628,2.59493319756316,2.77854995868075
"sorted_array",2097152,1.97992318634887,1.94677008186542,2.08371167539807
"sorted_array",4194304,1.25219534416391,1.21460616904139,1.2809913679943
