structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0859,7332120115377446846
spline32,256,0,25.1892,7332120115377446846
splus16,256,0,12.7258,7332120115377446846
clusterjump,256,0,12.6694,7332120115377446846
btree8_bl,256,0,21.6736,7332120115377446846
splus8,256,0,15.8310,7332120115377446846
btree8_bl,256,1,21.7224,7332120115377446846
splus8,256,1,16.0858,7332120115377446846
clusterjump,256,1,12.6663,7332120115377446846
spline32,256,1,23.8892,7332120115377446846
splus16,256,1,12.7213,7332120115377446846
sorted_array,256,1,13.0508,7332120115377446846
splus8,256,2,15.7791,7332120115377446846
spline32,256,2,24.0356,7332120115377446846
splus16,256,2,12.6740,7332120115377446846
btree8_bl,256,2,21.6125,7332120115377446846
clusterjump,256,2,12.6740,7332120115377446846
sorted_array,256,2,13.0219,7332120115377446846
splus8,256,3,15.8249,7332120115377446846
splus16,256,3,12.6236,7332120115377446846
spline32,256,3,23.9914,7332120115377446846
btree8_bl,256,3,21.6064,7332120115377446846
sorted_array,256,3,13.0219,7332120115377446846
clusterjump,256,3,12.6709,7332120115377446846
splus8,256,4,15.7837,7332120115377446846
clusterjump,256,4,12.6678,7332120115377446846
splus16,256,4,12.6266,7332120115377446846
sorted_array,256,4,13.0524,7332120115377446846
spline32,256,4,23.9304,7332120115377446846
btree8_bl,256,4,22.4182,7332120115377446846
sorted_array,256,5,13.1378,7332120115377446846
spline32,256,5,23.7625,7332120115377446846
splus16,256,5,12.6740,7332120115377446846
splus8,256,5,15.8463,7332120115377446846
clusterjump,256,5,12.5931,7332120115377446846
btree8_bl,256,5,21.5485,7332120115377446846
splus16,256,6,12.6999,7332120115377446846
splus8,256,6,16.1194,7332120115377446846
sorted_array,256,6,12.8815,7332120115377446846
clusterjump,256,6,12.6328,7332120115377446846
btree8_bl,256,6,21.5179,7332120115377446846
spline32,256,6,23.7961,7332120115377446846
spline32,256,7,23.7946,7332120115377446846
splus8,256,7,15.9500,7332120115377446846
sorted_array,256,7,12.8891,7332120115377446846
clusterjump,256,7,12.6282,7332120115377446846
splus16,256,7,12.7213,7332120115377446846
btree8_bl,256,7,21.5469,7332120115377446846
splus16,256,8,12.6678,7332120115377446846
spline32,256,8,23.7640,7332120115377446846
splus8,256,8,15.8279,7332120115377446846
btree8_bl,256,8,21.5378,7332120115377446846
sorted_array,256,8,12.8891,7332120115377446846
clusterjump,256,8,12.6221,7332120115377446846
clusterjump,256,9,12.5977,7332120115377446846
splus16,256,9,12.6572,7332120115377446846
spline32,256,9,23.8617,7332120115377446846
btree8_bl,256,9,22.5571,7332120115377446846
sorted_array,256,9,12.9944,7332120115377446846
splus8,256,9,15.7806,7332120115377446846
splus8,256,10,15.8249,7332120115377446846
