structure,n,rep,ns_per_query,checksum
sorted_array,256,0,12.8571,62006224939
spline32,256,0,23.6877,62006224939
splus16,256,0,12.6953,62006224939
clusterjump,256,0,13.1195,62006224939
btree8_bl,256,0,21.7255,62006224939
splus8,256,0,15.9607,62006224939
btree8_bl,256,1,21.6339,62006224939
splus8,256,1,15.7883,62006224939
clusterjump,256,1,13.1470,62006224939
spline32,256,1,23.8373,62006224939
splus16,256,1,12.6251,62006224939
sorted_array,256,1,13.0798,62006224939
splus8,256,2,16.0736,62006224939
spline32,256,2,24.1531,62006224939
splus16,256,2,12.7182,62006224939
btree8_bl,256,2,21.8201,62006224939
clusterjump,256,2,13.1531,62006224939
sorted_array,256,2,12.8998,62006224939
splus8,256,3,15.7806,62006224939
splus16,256,3,12.7319,62006224939
spline32,256,3,23.9471,62006224939
btree8_bl,256,3,21.6248,62006224939
sorted_array,256,3,13.0676,62006224939
clusterjump,256,3,13.1180,62006224939
splus8,256,4,16.0736,62006224939
clusterjump,256,4,13.0920,62006224939
splus16,256,4,12.6312,62006224939
sorted_array,256,4,12.9166,62006224939
spline32,256,4,24.0204,62006224939
btree8_bl,256,4,21.5393,62006224939
sorted_array,256,5,12.9318,62006224939
spline32,256,5,24.0433,62006224939
splus16,256,5,12.7090,62006224939
splus8,256,5,15.7761,62006224939
clusterjump,256,5,13.0890,62006224939
btree8_bl,256,5,21.5378,62006224939
splus16,256,6,12.6266,62006224939
splus8,256,6,15.8249,62006224939
sorted_array,256,6,12.8891,62006224939
clusterjump,256,6,13.0646,62006224939
btree8_bl,256,6,21.5286,62006224939
spline32,256,6,23.8327,62006224939
spline32,256,7,23.9151,62006224939
splus8,256,7,15.8417,62006224939
sorted_array,256,7,12.8891,62006224939
clusterjump,256,7,13.0692,62006224939
splus16,256,7,12.6251,62006224939
btree8_bl,256,7,21.5302,62006224939
splus16,256,8,12.6740,62006224939
spline32,256,8,23.9288,62006224939
splus8,256,8,16.0538,62006224939
btree8_bl,256,8,21.5408,62006224939
sorted_array,256,8,12.9333,62006224939
clusterjump,256,8,13.0371,62006224939
clusterjump,256,9,13.0661,62006224939
splus16,256,9,12.6282,62006224939
spline32,256,9,24.0570,62006224939
btree8_bl,256,9,21.5515,62006224939
sorted_array,256,9,17.2119,62006224939
splus8,256,9,15.7791,62006224939
splus8,256,10,16.0797,62006224939
spline32,256,10,23.8098,62006224939
splus16,256,10,12.6663,62006224939
btree8_bl,256,10,22.3389,62006224939
sorted_array,256,10,13.2538,62006224939
clusterjump,256,10,13.1073,62006224939
splus8,256,11,16.1102,62006224939
spline32,256,11,23.9212,62006224939
sorted_array,256,11,12.9349,62006224939
splus16,256,11,12.7701,62006224939
clusterjump,256,11,13.0020,62006224939
btree8_bl,256,11,21.5424,62006224939
splus8,256,12,15.7776,62006224939
spline32,256,12,24.2493,62006224939
splus16,256,12,12.6938,62006224939
btree8_bl,256,12,21.6461,62006224939
sorted_array,256,12,12.9333,62006224939
clusterjump,256,12,13.0157,62006224939
clusterjump,256,13,13.0295,62006224939
splus16,256,13,12.6266,62006224939
splus8,256,13,16.0004,62006224939
btree8_bl,256,13,21.5424,62006224939
sorted_array,256,13,12.8906,62006224939
spline32,256,13,23.9685,62006224939
clusterjump,256,14,13.0264,62006224939
splus16,256,14,12.7182,62006224939
spline32,256,14,23.8586,62006224939
btree8_bl,256,14,21.4920,62006224939
splus8,256,14,16.0233,62006224939
sorted_array,256,14,12.9120,62006224939
splus8,512,0,16.0172,132746390025
sorted_array,512,0,14.3860,132746390025
clusterjump,512,0,14.6393,132746390025
spline32,512,0,23.8815,132746390025
splus16,512,0,17.8421,132746390025
btree8_bl,512,0,21.0800,132746390025
clusterjump,512,1,14.6362,132746390025
spline32,512,1,24.0753,132746390025
sorted_array,512,1,14.3539,132746390025
btree8_bl,512,1,21.4340,132746390025
splus8,512,1,16.0736,132746390025
splus16,512,1,17.8955,132746390025
clusterjump,512,2,14.6057,132746390025
