structure,n,rep,ns_per_query,checksum
sorted_array,256,0,13.0554,644259256125047814
spline32,256,0,24.0341,644259256125047814
splus16,256,0,12.7213,644259256125047814
clusterjump,256,0,17.5720,644259256125047814
btree8_bl,256,0,21.7331,644259256125047814
splus8,256,0,15.8173,644259256125047814
btree8_bl,256,1,21.8018,644259256125047814
splus8,256,1,15.8798,644259256125047814
clusterjump,256,1,17.4850,644259256125047814
spline32,256,1,23.8846,644259256125047814
splus16,256,1,12.6251,644259256125047814
sorted_array,256,1,13.0417,644259256125047814
splus8,256,2,16.0858,644259256125047814
spline32,256,2,23.9319,644259256125047814
splus16,256,2,12.6221,644259256125047814
btree8_bl,256,2,21.6400,644259256125047814
clusterjump,256,2,17.4377,644259256125047814
sorted_array,256,2,12.9242,644259256125047814
splus8,256,3,16.0385,644259256125047814
splus16,256,3,12.6251,644259256125047814
spline32,256,3,23.8098,644259256125047814
btree8_bl,256,3,21.6827,644259256125047814
sorted_array,256,3,12.8937,644259256125047814
clusterjump,256,3,17.5247,644259256125047814
splus8,256,4,15.7959,644259256125047814
clusterjump,256,4,17.5293,644259256125047814
splus16,256,4,12.6724,644259256125047814
sorted_array,256,4,12.9700,644259256125047814
spline32,256,4,23.9273,644259256125047814
btree8_bl,256,4,21.5729,644259256125047814
sorted_array,256,5,12.8906,644259256125047814
spline32,256,5,24.5972,644259256125047814
splus16,256,5,12.7701,644259256125047814
splus8,256,5,16.1575,644259256125047814
clusterjump,256,5,17.4973,644259256125047814
btree8_bl,256,5,21.5866,644259256125047814
splus16,256,6,12.6694,644259256125047814
splus8,256,6,15.9058,644259256125047814
sorted_array,256,6,12.9227,644259256125047814
clusterjump,256,6,17.4194,644259256125047814
btree8_bl,256,6,21.5683,644259256125047814
spline32,256,6,23.9563,644259256125047814
spline32,256,7,23.7930,644259256125047814
splus8,256,7,15.8752,644259256125047814
sorted_array,256,7,12.9028,644259256125047814
clusterjump,256,7,17.5064,644259256125047814
splus16,256,7,12.6694,644259256125047814
btree8_bl,256,7,21.6354,644259256125047814
splus16,256,8,12.7396,644259256125047814
spline32,256,8,24.0204,644259256125047814
splus8,256,8,15.8539,644259256125047814
btree8_bl,256,8,21.5485,644259256125047814
