structure,n,rep,ns_per_query,checksum
sorted_array,256,0,12.7579,153461988
spline32,256,0,23.5901,153461988
splus16,256,0,13.5056,153461988
clusterjump,256,0,15.0055,153461988
btree8_bl,256,0,21.3806,153461988
splus8,256,0,15.5746,153461988
btree8_bl,256,1,21.2067,153461988
splus8,256,1,15.5273,153461988
clusterjump,256,1,14.9689,153461988
spline32,256,1,23.6053,153461988
splus16,256,1,12.7441,153461988
sorted_array,256,1,12.6282,153461988
splus8,256,2,15.6662,153461988
spline32,256,2,23.4177,153461988
splus16,256,2,12.3795,153461988
btree8_bl,256,2,21.2067,153461988
clusterjump,256,2,15.0253,153461988
sorted_array,256,2,12.6694,153461988
splus8,256,3,15.7562,153461988
splus16,256,3,12.9837,153461988
spline32,256,3,23.7305,153461988
btree8_bl,256,3,21.1807,153461988
sorted_array,256,3,12.6648,153461988
clusterjump,256,3,14.9414,153461988
splus8,256,4,15.6067,153461988
clusterjump,256,4,14.9261,153461988
splus16,256,4,12.4283,153461988
sorted_array,256,4,12.6373,153461988
spline32,256,4,23.3704,153461988
btree8_bl,256,4,21.1731,153461988
sorted_array,256,5,12.6358,153461988
spline32,256,5,23.5428,153461988
splus16,256,5,12.3795,153461988
splus8,256,5,15.7761,153461988
clusterjump,256,5,14.9475,153461988
btree8_bl,256,5,21.1334,153461988
splus16,256,6,12.4802,153461988
splus8,256,6,15.4663,153461988
sorted_array,256,6,12.6617,153461988
clusterjump,256,6,14.9567,153461988
btree8_bl,256,6,21.2158,153461988
spline32,256,6,23.4039,153461988
spline32,256,7,23.3566,153461988
splus8,256,7,15.4907,153461988
sorted_array,256,7,12.6358,153461988
clusterjump,256,7,15.6326,153461988
splus16,256,7,12.3795,153461988
btree8_bl,256,7,21.1334,153461988
splus16,256,8,12.3932,153461988
spline32,256,8,23.5840,153461988
splus8,256,8,15.6250,153461988
btree8_bl,256,8,21.1014,153461988
sorted_array,256,8,12.6373,153461988
clusterjump,256,8,14.9414,153461988
clusterjump,256,9,14.9063,153461988
splus16,256,9,12.4039,153461988
spline32,256,9,23.3521,153461988
btree8_bl,256,9,21.0648,153461988
sorted_array,256,9,12.6877,153461988
splus8,256,9,15.4694,153461988
splus8,256,10,16.0217,153461988
spline32,256,10,23.6893,153461988
splus16,256,10,12.3779,153461988
btree8_bl,256,10,21.1075,153461988
sorted_array,256,10,12.6373,153461988
clusterjump,256,10,14.9261,153461988
splus8,256,11,15.4663,153461988
spline32,256,11,23.5748,153461988
sorted_array,256,11,12.7060,153461988
splus16,256,11,12.3764,153461988
clusterjump,256,11,14.9490,153461988
btree8_bl,256,11,21.0556,153461988
splus8,256,12,15.7349,153461988
spline32,256,12,23.8647,153461988
splus16,256,12,12.9974,153461988
btree8_bl,256,12,21.5927,153461988
sorted_array,256,12,12.8922,153461988
clusterjump,256,12,15.0864,153461988
clusterjump,256,13,14.9246,153461988
splus16,256,13,12.3779,153461988
splus8,256,13,15.5090,153461988
btree8_bl,256,13,21.0602,153461988
sorted_array,256,13,12.6694,153461988
spline32,256,13,23.4146,153461988
clusterjump,256,14,14.8911,153461988
splus16,256,14,12.4207,153461988
spline32,256,14,23.3566,153461988
btree8_bl,256,14,21.0907,153461988
splus8,256,14,15.7288,153461988
sorted_array,256,14,12.6312,153461988
splus8,512,0,15.5426,2045983631
sorted_array,512,0,14.0747,2045983631
clusterjump,512,0,12.5610,2045983631
spline32,512,0,23.4131,2045983631
splus16,512,0,17.4637,2045983631
btree8_bl,512,0,20.6772,2045983631
clusterjump,512,1,12.5427,2045983631
spline32,512,1,23.5001,2045983631
sorted_array,512,1,14.1083,2045983631
btree8_bl,512,1,20.6787,2045983631
splus8,512,1,16.5100,2045983631
splus16,512,1,17.4713,2045983631
clusterjump,512,2,12.5824,2045983631
splus8,512,2,15.4694,2045983631
sorted_array,512,2,14.1403,2045983631
splus16,512,2,17.4210,2045983631
spline32,512,2,23.6099,2045983631
