structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4113,7332120115377446846
spline32,256,0,11.1679,7332120115377446846
splus16,256,0,2.9129,7332120115377446846
clusterjump,256,0,3.5065,7332120115377446846
btree8_bl,256,0,12.5381,7332120115377446846
splus8,256,0,3.0212,7332120115377446846
btree8_bl,256,1,12.3657,7332120115377446846
splus8,256,1,3.0167,7332120115377446846
clusterjump,256,1,3.4637,7332120115377446846
spline32,256,1,11.4578,7332120115377446846
splus16,256,1,2.9144,7332120115377446846
sorted_array,256,1,4.4022,7332120115377446846
splus8,256,2,2.8732,7332120115377446846
spline32,256,2,11.1694,7332120115377446846
splus16,256,2,2.8229,7332120115377446846
btree8_bl,256,2,12.4146,7332120115377446846
clusterjump,256,2,3.4637,7332120115377446846
sorted_array,256,2,4.4052,7332120115377446846
splus8,256,3,2.8931,7332120115377446846
splus16,256,3,2.8809,7332120115377446846
spline32,256,3,10.9406,7332120115377446846
btree8_bl,256,3,13.3804,7332120115377446846
sorted_array,256,3,4.3137,7332120115377446846
clusterjump,256,3,3.4622,7332120115377446846
splus8,256,4,3.1616,7332120115377446846
clusterjump,256,4,3.5370,7332120115377446846
splus16,256,4,2.8641,7332120115377446846
sorted_array,256,4,4.3121,7332120115377446846
spline32,256,4,11.4334,7332120115377446846
btree8_bl,256,4,12.3596,7332120115377446846
sorted_array,256,5,4.4052,7332120115377446846
spline32,256,5,11.4288,7332120115377446846
splus16,256,5,2.8549,7332120115377446846
splus8,256,5,2.8946,7332120115377446846
clusterjump,256,5,3.3676,7332120115377446846
btree8_bl,256,5,12.3154,7332120115377446846
splus16,256,6,2.8183,7332120115377446846
splus8,256,6,2.9114,7332120115377446846
sorted_array,256,6,4.4189,7332120115377446846
clusterjump,256,6,3.3401,7332120115377446846
btree8_bl,256,6,12.2849,7332120115377446846
spline32,256,6,11.4349,7332120115377446846
spline32,256,7,11.3907,7332120115377446846
splus8,256,7,2.8748,7332120115377446846
sorted_array,256,7,4.4189,7332120115377446846
clusterjump,256,7,3.3310,7332120115377446846
splus16,256,7,2.8412,7332120115377446846
btree8_bl,256,7,12.2452,7332120115377446846
splus16,256,8,2.8427,7332120115377446846
spline32,256,8,11.4487,7332120115377446846
splus8,256,8,2.8748,7332120115377446846
btree8_bl,256,8,12.3474,7332120115377446846
sorted_array,256,8,4.4220,7332120115377446846
clusterjump,256,8,3.4073,7332120115377446846
clusterjump,256,9,3.4088,7332120115377446846
splus16,256,9,2.8625,7332120115377446846
spline32,256,9,11.4960,7332120115377446846
btree8_bl,256,9,12.2482,7332120115377446846
sorted_array,256,9,4.4235,7332120115377446846
splus8,256,9,2.8961,7332120115377446846
splus8,256,10,2.8641,7332120115377446846
spline32,256,10,11.3007,7332120115377446846
splus16,256,10,2.8290,7332120115377446846
btree8_bl,256,10,12.1582,7332120115377446846
sorted_array,256,10,4.4250,7332120115377446846
clusterjump,256,10,3.3707,7332120115377446846
splus8,256,11,2.8870,7332120115377446846
spline32,256,11,11.0016,7332120115377446846
sorted_array,256,11,4.4037,7332120115377446846
splus16,256,11,2.8503,7332120115377446846
clusterjump,256,11,3.2639,7332120115377446846
btree8_bl,256,11,12.1323,7332120115377446846
splus8,256,12,2.8946,7332120115377446846
spline32,256,12,11.3525,7332120115377446846
splus16,256,12,2.8458,7332120115377446846
btree8_bl,256,12,12.2650,7332120115377446846
sorted_array,256,12,4.4052,7332120115377446846
clusterjump,256,12,3.3325,7332120115377446846
clusterjump,256,13,3.3127,7332120115377446846
splus16,256,13,2.8366,7332120115377446846
splus8,256,13,2.8778,7332120115377446846
btree8_bl,256,13,12.2269,7332120115377446846
sorted_array,256,13,4.4037,7332120115377446846
spline32,256,13,11.0764,7332120115377446846
clusterjump,256,14,3.3249,7332120115377446846
splus16,256,14,2.8488,7332120115377446846
spline32,256,14,11.1221,7332120115377446846
btree8_bl,256,14,12.0560,7332120115377446846
splus8,256,14,2.8763,7332120115377446846
sorted_array,256,14,4.4037,7332120115377446846
splus8,512,0,2.9175,5892312993833319425
sorted_array,512,0,5.1010,5892312993833319425
clusterjump,512,0,4.7623,5892312993833319425
spline32,512,0,11.0947,5892312993833319425
splus16,512,0,4.8111,5892312993833319425
btree8_bl,512,0,9.3109,5892312993833319425
clusterjump,512,1,4.7272,5892312993833319425
spline32,512,1,11.0489,5892312993833319425
sorted_array,512,1,5.1270,5892312993833319425
btree8_bl,512,1,9.1568,5892312993833319425
splus8,512,1,2.8976,5892312993833319425
splus16,512,1,4.9149,5892312993833319425
clusterjump,512,2,4.6570,5892312993833319425
splus8,512,2,2.8854,5892312993833319425
sorted_array,512,2,5.1056,5892312993833319425
splus16,512,2,4.8035,5892312993833319425
