structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.2374,31522413981
spline32,256,0,10.7849,31522413981
splus16,256,0,2.7786,31522413981
clusterjump,256,0,5.7327,31522413981
btree8_bl,256,0,12.4954,31522413981
splus8,256,0,2.9663,31522413981
btree8_bl,256,1,12.3947,31522413981
splus8,256,1,2.8732,31522413981
clusterjump,256,1,5.6992,31522413981
spline32,256,1,10.7254,31522413981
splus16,256,1,2.7939,31522413981
sorted_array,256,1,4.2328,31522413981
splus8,256,2,2.8427,31522413981
spline32,256,2,10.9222,31522413981
splus16,256,2,2.8000,31522413981
btree8_bl,256,2,12.1750,31522413981
clusterjump,256,2,5.6671,31522413981
sorted_array,256,2,4.3350,31522413981
splus8,256,3,2.8320,31522413981
splus16,256,3,2.8030,31522413981
spline32,256,3,10.6949,31522413981
btree8_bl,256,3,12.0911,31522413981
sorted_array,256,3,4.3442,31522413981
clusterjump,256,3,5.5634,31522413981
splus8,256,4,2.8488,31522413981
clusterjump,256,4,5.5115,31522413981
splus16,256,4,2.7924,31522413981
sorted_array,256,4,4.3243,31522413981
spline32,256,4,11.1954,31522413981
btree8_bl,256,4,11.9705,31522413981
sorted_array,256,5,4.3243,31522413981
spline32,256,5,11.2579,31522413981
splus16,256,5,2.8229,31522413981
splus8,256,5,2.8198,31522413981
clusterjump,256,5,5.6213,31522413981
btree8_bl,256,5,12.1643,31522413981
splus16,256,6,2.7588,31522413981
splus8,256,6,2.8641,31522413981
sorted_array,256,6,4.3640,31522413981
clusterjump,256,6,5.6458,31522413981
btree8_bl,256,6,12.0728,31522413981
spline32,256,6,10.9711,31522413981
spline32,256,7,12.2986,31522413981
splus8,256,7,3.0701,31522413981
sorted_array,256,7,4.3198,31522413981
clusterjump,256,7,5.6503,31522413981
splus16,256,7,2.8305,31522413981
btree8_bl,256,7,12.0621,31522413981
splus16,256,8,2.8122,31522413981
spline32,256,8,10.7193,31522413981
splus8,256,8,2.8473,31522413981
btree8_bl,256,8,11.9675,31522413981
sorted_array,256,8,4.3182,31522413981
clusterjump,256,8,5.6290,31522413981
clusterjump,256,9,5.5725,31522413981
splus16,256,9,2.8015,31522413981
spline32,256,9,10.9818,31522413981
btree8_bl,256,9,11.9766,31522413981
sorted_array,256,9,4.3304,31522413981
splus8,256,9,2.8473,31522413981
splus8,256,10,2.8152,31522413981
spline32,256,10,11.2442,31522413981
splus16,256,10,2.8214,31522413981
btree8_bl,256,10,11.8973,31522413981
sorted_array,256,10,4.3289,31522413981
clusterjump,256,10,5.5099,31522413981
splus8,256,11,2.8564,31522413981
spline32,256,11,11.2762,31522413981
sorted_array,256,11,4.3396,31522413981
splus16,256,11,2.7985,31522413981
clusterjump,256,11,5.5252,31522413981
btree8_bl,256,11,11.9568,31522413981
splus8,256,12,2.8488,31522413981
spline32,256,12,11.2427,31522413981
splus16,256,12,2.7924,31522413981
btree8_bl,256,12,11.8774,31522413981
sorted_array,256,12,4.3152,31522413981
clusterjump,256,12,5.5130,31522413981
clusterjump,256,13,5.5405,31522413981
splus16,256,13,2.8183,31522413981
splus8,256,13,2.8198,31522413981
btree8_bl,256,13,12.1597,31522413981
sorted_array,256,13,4.3304,31522413981
spline32,256,13,11.0504,31522413981
clusterjump,256,14,5.5954,31522413981
splus16,256,14,2.7817,31522413981
spline32,256,14,11.2015,31522413981
btree8_bl,256,14,12.0941,31522413981
splus8,256,14,2.8381,31522413981
sorted_array,256,14,4.3213,31522413981
splus8,512,0,2.8625,79996388620
sorted_array,512,0,4.9820,79996388620
clusterjump,512,0,5.4337,79996388620
spline32,512,0,11.0596,79996388620
splus16,512,0,4.7211,79996388620
btree8_bl,512,0,9.0622,79996388620
clusterjump,512,1,5.4962,79996388620
spline32,512,1,11.1206,79996388620
sorted_array,512,1,5.0308,79996388620
btree8_bl,512,1,9.0591,79996388620
splus8,512,1,2.8503,79996388620
splus16,512,1,4.7531,79996388620
clusterjump,512,2,5.3772,79996388620
splus8,512,2,2.8488,79996388620
sorted_array,512,2,5.0308,79996388620
splus16,512,2,4.8355,79996388620
spline32,512,2,10.9665,79996388620
btree8_bl,512,2,8.9508,79996388620
splus16,512,3,4.8172,79996388620
splus8,512,3,2.8183,79996388620
sorted_array,512,3,5.0323,79996388620
spline32,512,3,11.9507,79996388620
clusterjump,512,3,5.5603,79996388620
btree8_bl,512,3,8.9233,79996388620
sorted_array,512,4,5.0568,79996388620
clusterjump,512,4,5.3146,79996388620
spline32,512,4,10.7224,79996388620
splus16,512,4,4.6967,79996388620
btree8_bl,512,4,8.9355,79996388620
splus8,512,4,2.8412,79996388620
splus8,512,5,2.8137,79996388620
splus16,512,5,4.7104,79996388620
spline32,512,5,11.2137,79996388620
sorted_array,512,5,5.0827,79996388620
btree8_bl,512,5,8.9203,79996388620
clusterjump,512,5,5.4047,79996388620
clusterjump,512,6,5.4504,79996388620
splus16,512,6,4.8462,79996388620
sorted_array,512,6,4.9774,79996388620
spline32,512,6,11.2457,79996388620
btree8_bl,512,6,8.8272,79996388620
splus8,512,6,2.8214,79996388620
splus16,512,7,4.8401,79996388620
clusterjump,512,7,5.4138,79996388620
splus8,512,7,2.8290,79996388620
sorted_array,512,7,5.0339,79996388620
spline32,512,7,11.2381,79996388620
btree8_bl,512,7,8.8730,79996388620
splus16,512,8,4.8279,79996388620
splus8,512,8,2.8168,79996388620
sorted_array,512,8,5.0278,79996388620
btree8_bl,512,8,8.8943,79996388620
spline32,512,8,11.2625,79996388620
clusterjump,512,8,5.2444,79996388620
spline32,512,9,11.0657,79996388620
clusterjump,512,9,5.3314,79996388620
sorted_array,512,9,5.0446,79996388620
btree8_bl,512,9,8.8486,79996388620
splus16,512,9,4.8889,79996388620
splus8,512,9,2.9312,79996388620
splus8,512,10,2.9388,79996388620
clusterjump,512,10,5.5115,79996388620
btree8_bl,512,10,8.9783,79996388620
sorted_array,512,10,5.0323,79996388620
splus16,512,10,4.9240,79996388620
spline32,512,10,10.9482,79996388620
spline32,512,11,11.4014,79996388620
sorted_array,512,11,5.1453,79996388620
splus8,512,11,2.8992,79996388620
clusterjump,512,11,5.3970,79996388620
splus16,512,11,4.8462,79996388620
btree8_bl,512,11,8.8806,79996388620
sorted_array,512,12,5.0278,79996388620
splus16,512,12,4.8264,79996388620
clusterjump,512,12,5.3955,79996388620
spline32,512,12,11.2289,79996388620
splus8,512,12,2.9144,79996388620
btree8_bl,512,12,8.8242,79996388620
splus8,512,13,2.8397,79996388620
splus16,512,13,4.8096,79996388620
btree8_bl,512,13,8.8074,79996388620
sorted_array,512,13,5.0613,79996388620
spline32,512,13,11.2198,79996388620
clusterjump,512,13,5.3482,79996388620
clusterjump,512,14,5.4688,79996388620
splus8,512,14,2.8412,79996388620
spline32,512,14,11.2366,79996388620
splus16,512,14,4.8218,79996388620
sorted_array,512,14,5.0262,79996388620
btree8_bl,512,14,8.8333,79996388620
btree8_bl,1024,0,20.5505,129076008131
splus8,1024,0,4.1077,129076008131
clusterjump,1024,0,6.1981,129076008131
splus16,1024,0,4.7897,129076008131
sorted_array,1024,0,5.6763,129076008131
spline32,1024,0,11.2289,129076008131
btree8_bl,1024,1,20.5994,129076008131
splus16,1024,1,4.8737,129076008131
sorted_array,1024,1,5.6976,129076008131
