structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.3732,644259256125047814
spline32,256,0,11.0031,644259256125047814
splus16,256,0,2.8976,644259256125047814
clusterjump,256,0,9.6848,644259256125047814
btree8_bl,256,0,12.5778,644259256125047814
splus8,256,0,3.0243,644259256125047814
btree8_bl,256,1,12.3703,644259256125047814
splus8,256,1,2.9205,644259256125047814
clusterjump,256,1,9.5840,644259256125047814
spline32,256,1,11.4273,644259256125047814
splus16,256,1,2.8549,644259256125047814
sorted_array,256,1,4.3976,644259256125047814
splus8,256,2,2.8793,644259256125047814
spline32,256,2,10.9116,644259256125047814
splus16,256,2,2.8519,644259256125047814
btree8_bl,256,2,12.3734,644259256125047814
clusterjump,256,2,9.4818,644259256125047814
sorted_array,256,2,4.4159,644259256125047814
splus8,256,3,2.8976,644259256125047814
splus16,256,3,2.8534,644259256125047814
spline32,256,3,11.2991,644259256125047814
btree8_bl,256,3,12.2421,644259256125047814
sorted_array,256,3,4.4113,644259256125047814
clusterjump,256,3,9.1187,644259256125047814
splus8,256,4,2.9480,644259256125047814
clusterjump,256,4,9.4742,644259256125047814
splus16,256,4,2.8503,644259256125047814
sorted_array,256,4,4.4083,644259256125047814
spline32,256,4,11.3358,644259256125047814
btree8_bl,256,4,12.2467,644259256125047814
sorted_array,256,5,4.4113,644259256125047814
spline32,256,5,11.4594,644259256125047814
splus16,256,5,2.8458,644259256125047814
splus8,256,5,2.8931,644259256125047814
clusterjump,256,5,9.3903,644259256125047814
btree8_bl,256,5,12.2757,644259256125047814
splus16,256,6,2.8488,644259256125047814
splus8,256,6,2.8824,644259256125047814
sorted_array,256,6,4.4052,644259256125047814
clusterjump,256,6,9.5016,644259256125047814
btree8_bl,256,6,12.5092,644259256125047814
spline32,256,6,11.1435,644259256125047814
spline32,256,7,11.2839,644259256125047814
splus8,256,7,2.9053,644259256125047814
sorted_array,256,7,4.4037,644259256125047814
clusterjump,256,7,9.5749,644259256125047814
splus16,256,7,2.8931,644259256125047814
btree8_bl,256,7,12.3993,644259256125047814
splus16,256,8,2.8412,644259256125047814
spline32,256,8,11.4334,644259256125047814
