structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.6478,153461988
spline32,256,0,10.9543,153461988
splus16,256,0,2.8290,153461988
clusterjump,256,0,6.7902,153461988
btree8_bl,256,0,12.6556,153461988
splus8,256,0,3.0289,153461988
btree8_bl,256,1,12.5839,153461988
splus8,256,1,2.8687,153461988
clusterjump,256,1,6.7245,153461988
spline32,256,1,10.6979,153461988
splus16,256,1,2.8473,153461988
sorted_array,256,1,4.3320,153461988
splus8,256,2,2.8305,153461988
spline32,256,2,11.1038,153461988
splus16,256,2,2.8214,153461988
btree8_bl,256,2,12.1384,153461988
clusterjump,256,2,6.7627,153461988
sorted_array,256,2,4.3365,153461988
splus8,256,3,2.8412,153461988
splus16,256,3,2.8244,153461988
spline32,256,3,11.2167,153461988
btree8_bl,256,3,12.2955,153461988
sorted_array,256,3,4.3488,153461988
clusterjump,256,3,6.7139,153461988
splus8,256,4,3.0228,153461988
clusterjump,256,4,6.7749,153461988
splus16,256,4,2.8519,153461988
sorted_array,256,4,4.4205,153461988
spline32,256,4,11.2015,153461988
btree8_bl,256,4,12.3840,153461988
sorted_array,256,5,4.4052,153461988
spline32,256,5,11.4838,153461988
splus16,256,5,2.8412,153461988
splus8,256,5,2.8946,153461988
clusterjump,256,5,6.8466,153461988
btree8_bl,256,5,12.3291,153461988
splus16,256,6,2.8305,153461988
splus8,256,6,2.8961,153461988
sorted_array,256,6,4.4006,153461988
clusterjump,256,6,6.6620,153461988
btree8_bl,256,6,12.2910,153461988
spline32,256,6,11.3159,153461988
spline32,256,7,10.8917,153461988
splus8,256,7,2.8427,153461988
sorted_array,256,7,4.3182,153461988
clusterjump,256,7,6.5048,153461988
splus16,256,7,2.8320,153461988
btree8_bl,256,7,11.9705,153461988
splus16,256,8,2.7817,153461988
spline32,256,8,11.2213,153461988
splus8,256,8,2.8412,153461988
btree8_bl,256,8,11.9934,153461988
sorted_array,256,8,4.3198,153461988
clusterjump,256,8,6.3766,153461988
clusterjump,256,9,6.3293,153461988
splus16,256,9,2.8229,153461988
spline32,256,9,10.8505,153461988
btree8_bl,256,9,11.9324,153461988
sorted_array,256,9,4.3228,153461988
splus8,256,9,2.8152,153461988
splus8,256,10,2.9938,153461988
spline32,256,10,11.2183,153461988
splus16,256,10,2.7878,153461988
btree8_bl,256,10,11.9003,153461988
sorted_array,256,10,4.3503,153461988
clusterjump,256,10,6.5140,153461988
splus8,256,11,2.8488,153461988
spline32,256,11,10.9955,153461988
sorted_array,256,11,4.3549,153461988
