"candidate","mode","keys","n","sessions","candidate_ns","best_splus_ns","ratio_median","ratio_min","ratio_max","beats_splus"
"clusterjump","lat","books",256,3,12.6282,12.6617,0.996386302666877,0.970240962903876,1.06498023460836,FALSE
"clusterjump","lat","books",512,3,13.3774,15.8127,0.845990880747753,0.824714238853423,0.873117780528053,TRUE
"clusterjump","lat","books",1024,3,13.1577,17.7979,0.752270952592285,0.709443248922626,0.753103661433322,TRUE
"clusterjump","lat","books",2048,3,12.7762,17.868,0.726332262121001,0.701796507723304,0.728977188437882,TRUE
"clusterjump","lat","books",4096,3,13.0508,17.9077,0.732307010113529,0.72878147389112,0.733759294714814,TRUE
"clusterjump","lat","books",8192,3,13.6307,23.6176,0.57334000410509,0.570508366747307,0.57759467515751,TRUE
"clusterjump","lat","books",16384,3,14.3265,24.2477,0.590839543544336,0.590776694954379,0.593775624147579,TRUE
"clusterjump","lat","books",32768,3,16.1804,25.3769,0.634232893345345,0.63397362625108,0.637603489787957,TRUE
"clusterjump","lat","books",65536,3,18.7805,27.3132,0.686140907230958,0.68487486398259,0.689553036626979,TRUE
"clusterjump","lat","books",131072,3,23.8846,35.8307,0.640191442906925,0.627676572305558,0.669149639833997,TRUE
"clusterjump","lat","books",262144,3,37.352,46.8842,0.785720574547833,0.705459577927089,0.79668630370146,TRUE
"clusterjump","lat","books",524288,3,59.3323,59.7672,1.0056812428634,0.850161961744903,1.00725405313641,FALSE
"clusterjump","lat","books",1048576,3,108.9951,107.2113,1.04563646701521,1.00278981786435,1.07231253117471,FALSE
"clusterjump","lat","books",2097152,3,157.7454,149.8383,1.04393661945266,1.03137959073045,1.09110154079431,FALSE
"clusterjump","lat","books",4194304,3,204.0024,186.4807,1.09971479849267,1.08603893057029,1.10463475464943,FALSE
"clusterjump","lat","books",8388608,3,245.5841,222.3969,1.09960584458644,1.09724146334774,1.12591227201196,FALSE
"clusterjump","lat","books",16777216,3,277.8091,263.7695,1.05403695271819,1.03221957838667,1.05731024176469,FALSE
"clusterjump","lat","books",33554432,3,301.7639,317.7094,0.949099720719873,0.94606014175218,0.960522818647321,TRUE
"clusterjump","lat","fb",256,3,13.8229,12.674,1.10697865158792,1.03118194729367,1.11289218804093,FALSE
"clusterjump","lat","fb",512,3,14.1449,15.8691,0.88869970596366,0.883030283525891,0.919522846286179,TRUE
"clusterjump","lat","fb",1024,3,14.0442,17.9047,0.783786498794535,0.752171217613252,0.804524700470322,TRUE
"clusterjump","lat","fb",2048,3,13.9908,17.836,0.784413545638036,0.762823513294441,0.785630693939716,TRUE
"clusterjump","lat","fb",4096,3,14.0549,17.9138,0.792121391248097,0.78458506849468,0.792954590577758,TRUE
"clusterjump","lat","fb",8192,3,14.6606,23.7579,0.617083159706876,0.614466799857967,0.618834439203773,TRUE
"clusterjump","lat","fb",16384,3,15.3366,24.0112,0.632854666996781,0.632844924638314,0.639110081961751,TRUE
"clusterjump","lat","fb",32768,3,16.9296,25.4135,0.66713137543142,0.663814770521693,0.669226985657229,TRUE
"clusterjump","lat","fb",65536,3,19.1437,27.2629,0.709098437387485,0.70218868865748,0.713517639267715,TRUE
"clusterjump","lat","fb",131072,3,26.9424,39.5798,0.680710867664819,0.671391018745938,0.733438362138667,TRUE
"clusterjump","lat","fb",262144,3,41.0156,52.9449,0.774684624959156,0.756757395145226,0.792009789085318,TRUE
"clusterjump","lat","fb",524288,3,57.8323,58.8287,0.910446543849176,0.887129419845815,0.983062688789655,TRUE
"clusterjump","lat","fb",1048576,3,105.5466,103.6667,0.930850966196876,0.899270762065995,1.02259356186702,FALSE
"clusterjump","lat","fb",2097152,3,152.1088,148.999,1.02087128101531,0.943257469352133,1.04561533994898,FALSE
"clusterjump","lat","fb",4194304,3,206.2683,187.1643,1.11094260332074,1.10207074746626,1.12321683986684,FALSE
"clusterjump","lat","fb",8388608,3,218.5455,222.821,0.978035007471687,0.965401216284805,1.04730613362295,FALSE
