structure,n,rep,ns_per_query,checksum
sorted_array,256,0,4.4266,3802318259966007189
sorted_array,256,1,4.4022,3802318259966007189
btree8,256,0,22.8592,3802318259966007189
btree8,256,1,21.4447,3802318259966007189
fusion8,256,0,36.8759,3802318259966007189
fusion8,256,1,36.8698,3802318259966007189
sorted_array,512,0,5.5923,18445980686323395203
sorted_array,512,1,4.9713,18445980686323395203
btree8,512,0,26.1887,18445980686323395203
btree8,512,1,26.0818,18445980686323395203
fusion8,512,0,35.3302,18445980686323395203
fusion8,512,1,34.9701,18445980686323395203
sorted_array,1024,0,5.7159,13330139387826418850
sorted_array,1024,1,5.6305,13330139387826418850
btree8,1024,0,30.9616,13330139387826418850
btree8,1024,1,27.7573,13330139387826418850
fusion8,1024,0,43.9117,13330139387826418850
fusion8,1024,1,43.7088,13330139387826418850
